AuthorID;Author;Date;Content;Attachments;Reactions;
"459844460625526824";"hyperDEX#6586";"06-Dec-19 10:32 AM";"im trying to get a community team together to push hyperDEX forward.";"";"";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 10:33 AM";"We have a working version but would like to have other things in place to make sure we can support this properly.";"";"";
"231533083818590211";"Oszy#5734";"06-Dec-19 10:40 AM";"what do you need?";"";"";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 10:42 AM";"I am trying to get devs / QA / general support / marketing all aligned. I already have jl777 who will be chief complainer for hyperDEX 🙂";"";"";
"231533083818590211";"Oszy#5734";"06-Dec-19 10:43 AM";"Count me in on support";"";"";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 10:43 AM";"Might need a project manager as well as my time is mostly split doing useless real life stuff 😦";"";"";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 10:43 AM";"Thanks Oszy! Will put you down";"";"👍 (1)";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 10:44 AM";"When GUI earnings generate anything decent, it will be used to reward the community of helpers and or projects to help komodo in general.";"";"";
"231533083818590211";"Oszy#5734";"06-Dec-19 10:45 AM";"happy to help no incentive needed";"";"";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 10:46 AM";"I really appreciate it 🙂 I hope we can get more users and in the long run, help push up the KMD price hehe";"";"";
"231533083818590211";"Oszy#5734";"06-Dec-19 10:47 AM";"a good team and willingness is a good start";"";"";
"231533083818590211";"Oszy#5734";"06-Dec-19 10:48 AM";"is there a discord for hyperdex or planning to have one?";"";"";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 11:18 AM";"I am planning to open one once i have an idea of who is interested";"";"";
"459844460625526824";"hyperDEX#6586";"06-Dec-19 11:18 AM";"Then open it for the public that want to follow along";"";"";
"231533083818590211";"Oszy#5734";"06-Dec-19 11:23 AM";"cool";"";"";
"347922216429813760";"grewalsatinder#9653";"06-Dec-19 01:05 PM";"🙂 👍";"";"";
"440969153227259914";"jansako#3330";"06-Dec-19 04:43 PM";"@hyperDEX I would be interested in helping out with QA, that & UX design/support is my day job. I can muddle along with CLI, but no scripting/coding skills.";"";"";
