AuthorID;Author;Date;Content;Attachments;Reactions;
"395274075985018880";"Regnar#6164";"10-Dec-19 02:58 AM";"https://twitter.com/Regnar__/status/1204233890887618562?s=20";"";"";
"395274075985018880";"Regnar#6164";"10-Dec-19 03:01 AM";"Let me get some likes and retweets, considering he is talking about issuing securities on RSK and Liquid because their ""relation to Bitcoin"" without the limitations of Ethereum, it only seems logical to just issue on your own chain, secure it to Bitcoin and not be limited";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 04:21 AM";"When will we have uniswap or kyber like liquidity provider in the komodo ecosystem. I for instance find it hard to buy verus coin even though it seems to be really good project.";"";"";
"406179072922746882";"polycryptoblog#1173";"10-Dec-19 04:24 AM";"@Enkh D  after public release,  we are still in the beta testing phase.";"";"";
"406179072922746882";"polycryptoblog#1173";"10-Dec-19 04:26 AM";"As testing goes forward more people will put in coins for liquidity as well.  Or you could coordinate with a seller and just use Atomicdex as the trustless mechanism for swapping";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 04:26 AM";"When is the decentralized poker dapp launching? Will it still have its own token or use kmd instead?";"";"";
"406179072922746882";"polycryptoblog#1173";"10-Dec-19 04:27 AM";"I haven’t been following it but it will use Chips coin.";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 04:28 AM";"Is komodo team launching stable coin? or is it one of the feature that is added to antara framework?";"";"";
"406179072922746882";"polycryptoblog#1173";"10-Dec-19 04:49 AM";"Cc pegs has been in development for some time.  A stablecoin is in development though  I’m not sure it’s accurate to say the team launched it";"";"";
"406179072922746882";"polycryptoblog#1173";"10-Dec-19 04:51 AM";"It will utilize Komodo tech and notaries .";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 05:09 AM";"Will it launch along with the oracle solution? I read something about staking in the report - is it referring to 5 interest paid to kmd holders or some lock up functionality?";"";"";
"418126508650135553";"ѕℓιм#1031";"10-Dec-19 05:25 AM";"@Enkh D https://support.komodoplatform.com/support/solutions/articles/29000024428-komodo-5-active-user-reward-all-you-need-to-know";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 05:30 AM";"How many notary nodes are there now?";"";"";
"418126508650135553";"ѕℓιм#1031";"10-Dec-19 05:33 AM";"64 I believe";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 05:33 AM";"@ѕℓιм Thanks.";"";"";
"418126508650135553";"ѕℓιм#1031";"10-Dec-19 05:33 AM";"yep";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 05:48 AM";"Will stable coins be backed by kmd tokens or real fiat? Also, will oracle solution be blovkchain agnostic or only applicable to komodo like coins?";"";"";
"418126508650135553";"ѕℓιм#1031";"10-Dec-19 05:49 AM";"I do not know those answers sorry, hopefully someone else can help!";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:52 AM";"pegged coins are backed by crypto, the tech is agnostic to which coin, but the ones we setup will be backed by KMD. the oracles use the DTO, which is specific to komodod chains";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:53 AM";"https://medium.com/@jameslee777/decentralized-trustless-oracles-dto-by-piggybacking-on-timestamp-consensus-rules-2adce34d67b6";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:54 AM";"we also have aggregated oracles, which are not as secure but can still be useful if designed properly for cases where chain value exceeds whatever value the oracle affects";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:54 AM";"and also cases where just having the data available from a specific pubkey is enough";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 05:56 AM";"@jl777c Thanks. What do you think will be the differentiating usecase for komodo in the years to come? Do you  think atomic dex will still be the main focus for the near future?";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:57 AM";"atomicDEX is just one of many aspects";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:57 AM";"it is the focus now as it is needed by other parts of the system";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:58 AM";"once it is in place and working stable at scale, then we wont need to spend so much manhours on it, yet it will be a very important part of the overall picture, especially with all the regulation that will hit the CEX and fake DEX projects";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 05:58 AM";"not sure if you are talking about usecase for KMD or for komodo tech";"";"";
"414138361045975040";"Enkh D#1827";"10-Dec-19 06:02 AM";"I feel like kmd tokens have not found its true utility after all these amazing developments. Barterdex never caught on - And I am just worried that what if atomic dex does not also attract many users as well.";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 06:02 AM";"https://medium.com/@jameslee777/tokenomics-are-for-tokens-not-for-coins-3f262d0aa4b3";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 06:05 AM";"since we dont like taxation schemes it must be the usage of KMD that comes indirectly from all the projects that use it creates. by having the ONLY no-tax platform, projects that care about costs have a strong incentive to use komodo";"";"";
"455741312273219595";"jl777c#5810";"10-Dec-19 06:06 AM";"creating an end user product is a lot of work and is very expensive, we do not have the resources to make all the different end user projects that could be built with komodo tech.";"";"";
