AuthorID,Author,Date,Content,Attachments,Reactions
"567367687324565515","jkluwu0499#8218","12-Dec-19 12:19 PM","Oszy told that the kmdice is not maintained.","",""
"567367687324565515","jkluwu0499#8218","12-Dec-19 12:19 PM","Is there any plan to fix it? I see there is huge potential on Kmdice. Its success would greatly show the potential of CC and scalability of Kmd's smartchain.","",""
"249256116150730753","PHBA2061#2530","12-Dec-19 04:03 PM","last time I heard, cc-dice is broken, don't know if it get fixed yet","",""
"405011811511828481","Alright#0419","12-Dec-19 09:13 PM","this chain was launched with a very early CC which was essentially *just* a proof of concept","",""
"405011811511828481","Alright#0419","12-Dec-19 09:13 PM","the people who launched it were warned not to use it yet","",""
"405011811511828481","Alright#0419","12-Dec-19 09:13 PM","It's broken. I can rob the house if I wanted","",""
"405011811511828481","Alright#0419","12-Dec-19 09:14 PM","@jorian .....killing it?","",""
"405011811511828481","Alright#0419","12-Dec-19 09:15 PM","the CC needs a significant rewrite before it can be used in production","",""
"405011811511828481","Alright#0419","12-Dec-19 09:16 PM","rob the house, burn the coins? 😅","",""
"405011811511828481","Alright#0419","12-Dec-19 09:16 PM","would that finally get it into people's heads that this chain shouldn't be used?","",""
"242635006516658197","jorian#4555","12-Dec-19 10:51 PM","This chain shouldn't be used","",""
"242635006516658197","jorian#4555","12-Dec-19 10:52 PM","It was a premature release of something that should've been a test","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","12-Dec-19 10:52 PM","that's what he said","","🤣 (2)"
"405011811511828481","Alright#0419","12-Dec-19 10:53 PM","lmao","",""
"249256116150730753","PHBA2061#2530","12-Dec-19 10:55 PM","welcome back CG, I thought you're gone, the chat would be so boring w/o you 🤣","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","12-Dec-19 10:58 PM","I'm not back, but some things can't be overlooked","",""
