AuthorID,Author,Date,Content,Attachments,Reactions
"272003866906722306","TonyL#3577","15-Dec-19 08:01 PM","let me count succesful only","",""
"405011811511828481","Alright#0419","15-Dec-19 08:01 PM","ty","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:02 PM","```
3649
4206
```","",""
"405011811511828481","Alright#0419","15-Dec-19 08:02 PM","🤔","",""
"405011811511828481","Alright#0419","15-Dec-19 08:02 PM","that is all of them for sure?","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:02 PM","yes, no any timestamp filtering","",""
"405011811511828481","Alright#0419","15-Dec-19 08:03 PM","oh nope >.<","",""
"405011811511828481","Alright#0419","15-Dec-19 08:03 PM","ok, yep likely an issue with my script, could you dump txids of each step for me?","",""
"405011811511828481","Alright#0419","15-Dec-19 08:04 PM","for every swap 😅","",""
"405011811511828481","Alright#0419","15-Dec-19 08:04 PM","oh does that include old RICK/MORTY chains?","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:04 PM","yeah, it parsing `all` RICK/MORTY swaps","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:05 PM","I can use timestamp of genesis of new RICK/MORTY to filter by time also","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:05 PM","lemme try","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:08 PM","numbers lowered a little bit more 😅 
```
2989
3616
```","",""
"405011811511828481","Alright#0419","15-Dec-19 08:10 PM","could you dump all 5 txids of each swap for me please?","",""
"405011811511828481","Alright#0419","15-Dec-19 08:10 PM","two separate dumps if you can please, one RICK/MORTY, one MORTY/RICK","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:11 PM","sure, let me check how to grab it","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:38 PM","```wc -l rick_morty_txids.txt 
8964 rick_morty_txids.txt
wc -l morty_rick_txids.txt 
10848 morty_rick_txids.txt
```","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:38 PM","will share files now","",""
"272003866906722306","TonyL#3577","15-Dec-19 08:42 PM","","https://cdn.discordapp.com/attachments/597801063042646026/655872391083458570/rick_morty_txids.txt",""
"272003866906722306","TonyL#3577","15-Dec-19 08:42 PM","","https://cdn.discordapp.com/attachments/597801063042646026/655872415175540767/morty_rick_txids.txt",""
"272003866906722306","TonyL#3577","15-Dec-19 08:43 PM","wrote only 3 txids for each swap (taker/maker payments and spent) without fee tx","",""
"405011811511828481","Alright#0419","15-Dec-19 09:29 PM","@TonyL is it not possible to get dex fee txid as well?","",""
"405011811511828481","Alright#0419","15-Dec-19 09:29 PM","that's mainly what I needed","",""
"405011811511828481","Alright#0419","15-Dec-19 09:29 PM","thank you, can try to work with this, but dex fee txids would be most useful","",""
"272003866906722306","TonyL#3577","15-Dec-19 09:52 PM","Sure, when wake up I can make two more dumps with fee txids only","",""
