AuthorID,Author,Date,Content,Attachments,Reactions
"524306900914012181","spudboy999#5256","19-Dec-19 05:23 PM","@ComputerGenie 👴🏼📢  Will this change in Komodo make my InnoSilicon , and Antminer Z9's no longer able to mine Komodo on your or any other pools?  And do you want me to shut down my miners for a few days while you upgrade  your server software?","",""
"524306900914012181","spudboy999#5256","19-Dec-19 05:25 PM","Im the  miner ending in 94s96","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","19-Dec-19 05:25 PM","chickenpool will be down for 5-9 minutes ~9 hrs from now for the final daemon swap
provided you properly set up your fail-overs on your miner you will come back to it shortly after it is back up","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","19-Dec-19 05:26 PM","(if you didn't notice the downtime a few hrs ago, then you will not notice it tonight)","",""
"524306900914012181","spudboy999#5256","19-Dec-19 05:28 PM","ok thats no problem for me  then my miners have been reconnecting without any difficulties that I have noticed.","","👍🏽 (1)"
"524306900914012181","spudboy999#5256","19-Dec-19 05:29 PM","thank you @ComputerGenie 👴🏼📢   your pool is my favorite!","","shexy (1)"
"474206298427097099","ComputerGenie 👴🏼📢#7004","19-Dec-19 05:29 PM","If you like it now, then you'll love it in the months to come 😉","",""
"524306900914012181","spudboy999#5256","19-Dec-19 05:30 PM","Awesome!  I can't wait...","",""
"524306900914012181","spudboy999#5256","19-Dec-19 05:31 PM","Any chance you will also support mining DGB (Digibyte) in the future?  I would love to  move my other miners from Prohashing to Chickenpool for that algo....","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","19-Dec-19 05:32 PM","it's possible, but not likely in the immediate future
It's been intentionally only equihash and only ecosystem coins since day 1 and I'm not sure how I feel about changing that","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","19-Dec-19 05:33 PM","but there are some interesting features and setups to come
*or at least I think they are an interesting idea anyway","",""
"524306900914012181","spudboy999#5256","19-Dec-19 05:34 PM","No problems  You have to do what is right for reaching your goals in the cryptoworld...","",""
