AuthorID,Author,Date,Content,Attachments,Reactions
"474206298427097099","ComputerGenie 👴🏼📢#7004","20-Dec-19 10:48 PM","🤗","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 10:48 PM","there is always a reason that is true, and it can be fixed with cooperation","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 10:48 PM",":troll_thuglife:","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","20-Dec-19 10:48 PM","`and it can be fixed with cooperation`
wasn't aware that word was in your vocabulary :troll:","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 10:49 PM","fixed?","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","20-Dec-19 10:59 PM","there ain't no fixin' me","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:02 PM","cooperation?","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:11 PM","how  can  16000  UTXOs  ALL be  uneligible","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:12 PM","[LABS:288197] 33s until elegible...","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:15 PM","try changing the daemon code to set prev blocktime +3s instead of prevblocktime + 27 ... maybe that will help not sure","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:15 PM","33s is quite good really...","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:16 PM","[LABS:288197] 324s until elegible","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:16 PM","started at","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:16 PM","doesnt matter though","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:17 PM","Mined # 288198<<--Staked her ass from segid 61","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:18 PM","the  mechanics  are not  making  much  sense","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:18 PM","[LABS:288199] 278s until elegible","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:19 PM","the prints are random .. it could wait for a while before printing anything... What is the chains total utxos with size above 1 that are staking?
maybe 16,000 isnt that many ?","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:20 PM","eligibility  requirements","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:20 PM","I  guess  that  makes  no  math  sense  to  me","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:21 PM","605,785 utxos in total... would say not all these are staking... if even 33% are able to and being staked... you only have 7% of the utxos","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:21 PM","which is almost my staking  ratio","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:21 PM","16,000 may take a while to process also, so a block can arrive before you make a valid block","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:22 PM","yeah  I  hear my  system  sometimes","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:22 PM","Mined # 288199<<--Staked her ass from segid 63","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:22 PM","I know how to multithread the staker, but seems dumb, except adding 1 thread for staker so a daemon can stake all the tiem and operate normally and daemon PoW mine at same time 🙂","",""
"405011811511828481","Alright#0419","20-Dec-19 11:22 PM","`605,785` where did you get this","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:23 PM","sorry I think that is wrong... its 159132","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:23 PM","read wrong line 😫","",""
"405011811511828481","Alright#0419","20-Dec-19 11:24 PM","where are you seeing that","",""
"405011811511828481","Alright#0419","20-Dec-19 11:24 PM","that is total amount of >1 utxos on chain?","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:24 PM","no that is the total... its in derbug.log for every block, the size of the coin cache","",""
"405011811511828481","Alright#0419","20-Dec-19 11:24 PM","ah right","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:24 PM","all unspent utxos are stored in ram. that is the size of it","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:25 PM","[nix-shell:~/utxo-dump]$ utxo2csv ~/.komodo/LABS/chainstate | pv > utxo.csv","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:25 PM","attmepting to use the coins cache to fetch notarization vins atm, should speed thigns up a bit, and if it fails, can jsut fall back to GetTransaction.","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:26 PM","should be  able  to  see ALL  utxos in  chainstate.db","",""
"459028995024093194","kmdkrazy#8280","20-Dec-19 11:29 PM","was working  on  a cheat  but  had to  go  back  to  flippin hamburger patties  to make enough  money  for gas 
 and  cigarettes","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:30 PM","💸","",""
"402210705476026368","bishop#9773","20-Dec-19 11:43 PM","This best on main chain? `041caff40b6ea3ee74af628278251f997cdfab4608eda37531240e6cbd5a2d0a`","",""
"402210705476026368","bishop#9773","20-Dec-19 11:43 PM","dexstats explorer is stalled","",""
"402210705476026368","bishop#9773","20-Dec-19 11:45 PM","`045d073c8d5672c01d050164b44ba6edafa2356f397d0f2efec7a21c7aa3f425` 288208?","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","20-Dec-19 11:47 PM","```genie@StakedNotary:~/LabsNotary$ komodo-cli -ac_name=LABS getblockcount
288210
genie@StakedNotary:~/LabsNotary$ komodo-cli -ac_name=LABS getbestblockhash
0c022aa84c271ea0be14cb2be4bfbc5d317249f7e1214e40e1dad5af18530d12
genie@StakedNotary:~/LabsNotary$ komodo-cli -ac_name=LABS getblockhash 288208
045d073c8d5672c01d050164b44ba6edafa2356f397d0f2efec7a21c7aa3f425
```
@bishop 👆🏽","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","20-Dec-19 11:48 PM","-------------------
meanwhile, on the pool....
`2019-12-20 23:44:12 Still rescanning. At block 156350. Progress=0.482981`
🤣","",""
"402210705476026368","bishop#9773","20-Dec-19 11:49 PM","Thanks, took 5 hours to sync fresh. Now to see if notas actually happen","",""
"232679450301431808","blackjok3r#3181","20-Dec-19 11:50 PM","Can I have more info on your system @bishop  ? That is awefully long ? or you mean KMD?","",""
