AuthorID,Author,Date,Content,Attachments,Reactions
"408251982885945344","actionslacks#4072","26-Dec-19 01:41 AM","those are some good points but it is the multichain compatibility that   pisses upon the competition from a great height. If a cosmos ecosystem product could atomically swap btc for eth, or even cosmos natively, it would be heralded as the second coming. Kmd's only real problem is that it's not holding hundreds of millions of ico funds and/or bagholders to throw at crypto carnival barkers. I hope maybe once the dex is out of beta some dev bandwidth can be more effectively pointed at cc origination, things will probably get a little easier to put together. defi is a giant buzzword now but if the price of eth is any indicator, concentional investor interest and corporate devs are likely mostly being thrown at permissioned and ip secured blockchains right now.","",""
"371114647052615681","Mylo#8306","26-Dec-19 01:55 AM","100% agree @artik123 thanks for articulating. From a pragmatic point of view, there are a few devs - yes.  UTXO based contracts - yes harder than a VM at this stage.  Accounts, yes, has not been focus by devs.  100s millions in marketing budget, no.

So, to use your ship analogy because I am a passionate sailor ❤️ ⛵️, the wind is blowing a bear market, and the goal is around the corner of the point in the distance, the current is against us, but it will change with the tide.  Current course is out to sea where few people can see us, but we have radio contact and good relationships with key people.  When we are headed on final tack with solutions to some key integration points (atomic swaps, btc security in dPoW, nspv light clients with existing CC support, FSM & better community mgmt) headed to the goal - we will have a welcoming party behind the point at our goal.

Timing.  Ppl are hard at work, stuff is still in alpha/beta.","",""
"371114647052615681","Mylo#8306","26-Dec-19 01:56 AM","Happy new year 🎊","",""
"403206506171990047","artik123#2884","26-Dec-19 02:10 AM","@actionslacks Thanks 
""Kmd's only real problem is that it's not holding hundreds of millions of ico funds""
 - are you sure about that? 

I much prefer to win a poker table when I'm 
being dealt with 10 and a jack rather  than two aces. Usually when I'm being dealt with two aces I lose...

The other side of your argument is that if komodo succeeds your ROI will be much better.

Microsoft & Apple won the battle against a monstrous giant IBM !  (With practically an unlimited amount of cash) Starting as 2 guys from a garage...  who would have believed this could happen at that time?

My point is that you should play with the cards you have. And if you play them really well, you have a decent chance","",""
"403206506171990047","artik123#2884","26-Dec-19 02:13 AM","@Mylo I didn't know you're a sailor. You're a really good spirit guy ⚓","","🙏 (1)"
"403206506171990047","artik123#2884","26-Dec-19 05:31 AM","It reminds me something.
In the early 90's Microsoft was an open system and Apple was a closed system. Probably the biggest reason why they lost.","",""
"455741312273219595","jl777c#5810","26-Dec-19 05:44 AM","i have trained several devs to make CC, not just to code them, but to be able to design them. the reason we dont have a lot more is simple: budget","",""
"455741312273219595","jl777c#5810","26-Dec-19 05:44 AM","if we can hire 100 devs, we can have 100 CC devs","",""
"455741312273219595","jl777c#5810","26-Dec-19 05:45 AM","but devs dont work for free and this is where the 100s of millions raised in ICO makes a difference, they can and do hire hundreds of devs","",""
"455741312273219595","jl777c#5810","26-Dec-19 05:46 AM","with CC, it is harder to make than an ETH smart contract, but easier to do than a ETH smart contract to invoke an existing CC. and this using of the existing CC is far more what is the level of the less serious developer","",""
