AuthorID,Author,Date,Content,Attachments,Reactions
"370245916235399170","agnewpickens#7393","28-Dec-19 03:16 AM","I am a free agent.","",""
"493734328224841739","Ahmed of $ETHO#7195","28-Dec-19 11:46 AM","Hello my friends im new here","",""
"493734328224841739","Ahmed of $ETHO#7195","28-Dec-19 11:46 AM",":yassinkmodo:","","👋🏽 (4)"
"345992331276713984","Acura#2748","28-Dec-19 11:47 AM","hi & welcome","",""
"493734328224841739","Ahmed of $ETHO#7195","28-Dec-19 01:09 PM","@Acura thank you so much sir","",""
"493734328224841739","Ahmed of $ETHO#7195","28-Dec-19 01:10 PM","There is some rains and bounty here in the discord i dont know so much about the community ❤️","",""
"480696889096798219","gigamesh#3544","28-Dec-19 02:34 PM","how to convince Binance to reduce confs for KMD deposits? 120 confs makes it the slowest (?) coin for Binance tranfers. shouldnt dPoW alone justify a reduction?","",""
"395274075985018880","Regnar#6164","28-Dec-19 02:47 PM","should, but it's hard for them to willingly do things like that. I personally understand. As a business they take risks on accepting any coin at all, and a sure way to mitigate those risks for ALL coins is to raise conf numbers. Easier to do that than to look at each individual project and weigh risks of reducing the conf times.","",""
"395274075985018880","Regnar#6164","28-Dec-19 02:47 PM","however I don't mean we shouldn't try and get them to anyway. Just have to keep reaching out and talking about dPoW","",""
"303794669945618442","PTYX#6840","28-Dec-19 02:50 PM","120 does seem like overkill","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","28-Dec-19 02:52 PM","almost every exchange that has 120 did so after that article came out about how easy it was to 51% most chains in the crypto-sphere and they've not been convinced to lower it since","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","28-Dec-19 02:54 PM","`Easier to do that than to look at each individual project and weigh risks of reducing the conf times.`
yes, that
it was a blanket thing for all equihash coins at the time","",""
"564916213067808778","joe_sd#9053","28-Dec-19 07:58 PM","Hello  everyone , what means Error code: -4 Missing sitness for Sapling note?","",""
"564916213067808778","joe_sd#9053","28-Dec-19 07:58 PM","On verus agama eallet","",""
"454786445702463507","𝙊𝙞𝙣𝙠#3612","28-Dec-19 08:12 PM","restart Agama and start up with the `daemon param: rescan` option (don't use the shortcut on the welcome page but the `Activate coin` button)","",""
"564916213067808778","joe_sd#9053","28-Dec-19 08:22 PM","Does it metter if it is 0.5.7-4 wallet ver.","",""
"402210705476026368","bishop#9773","28-Dec-19 10:35 PM","Yes, update to the latest. It always surprises me when people ask about issues but don't bother to check the main site and update their wallets.","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","28-Dec-19 10:40 PM","_goes to look for ""the main site"" for Bitcoin_","",""
"564916213067808778","joe_sd#9053","28-Dec-19 10:48 PM","@bishop I’ve tried with 0.6.0 it was the same issue","",""
