AuthorID,Author,Date,Content,Attachments,Reactions
"412482228359266328","CrisF#3405","29-Dec-19 02:41 AM","Seems like I've been missing a big conversation.

The above summary of your though has some good ideas worth implementing, imo, @artik123 .

With the goal of having your ideas provide true benefit I have a question.

I'm curious, what are you going to contribute (**do**) to start putting these ideas into practice?

---
Here is an example of what I mean:

I also would like to see more people build on the modules.  I recognize that for many devs this can may take more resources and skills they have at the moment.

As steps towards having more people start building on the platform I have been actively approaching both projects that have the resources and devs that have the motivation to start working on this.  There have been enough minor successes to continue down this path.

Also, I have found that actively participating in testing and using the various tools has given me the chance to see some of my (small) suggestions implemented.

My technical skills are very low, but even so I have found many areas where I am able to **do** things that contribute towards seeing my ideas becoming reality.
---

I'm not suggesting that this is the path you should take.  Just giving an example of **do**ing what my current skills and situation allow to see my ideas bring concrete results.

With your technical skills I imagine that your contributions would bring everyone great benefit, as your ideas are realized.","",""
"412482228359266328","CrisF#3405","29-Dec-19 02:48 AM","-

Although I shouldn't be replying in this channel I felt a strong need to.  Apologies 🙇

I'll head over to #dev-general after suggesting that others, who are interested, follow the full discussion in the other channels.","",""
"403206506171990047","artik123#2884","29-Dec-19 03:00 AM","@CrisF My situation is very unique (i don't wish to elaborate more on that). In the past I have made a project or two for this community and also been a x4 notary node operator for a year and a half. If these ideas go through, it's worth x100 more than I could ever possibly do.","",""
"403206506171990047","artik123#2884","29-Dec-19 03:25 AM","Business development is not considered **do**ing?","",""
"412482228359266328","CrisF#3405","29-Dec-19 03:28 AM","Understand, and remember seeing you as a NN.
Would like to see `how, who, what, etc`. Not expecting big ideas like that to be done by one person.
Yes, business dev is not just ideas and thoughts though.  It's also putting them into action by making a concrete plan, implementing those plans, etc.
I'm very curious on your ideas on implementation and am willing to put some time into  this.","",""
"403206506171990047","artik123#2884","29-Dec-19 03:30 AM","Let's first wait for jl response","",""
"412482228359266328","CrisF#3405","29-Dec-19 03:31 AM","I saw that he, and others, have responded in the other channels where this was discussed.","",""
"455741312273219595","jl777c#5810","29-Dec-19 05:54 AM","you put words into my mouth, as we do not want to have 100s of CC core devs, we want to make the reference implementations and show what is possible.","",""
"455741312273219595","jl777c#5810","29-Dec-19 05:55 AM","also there is nothing that prevents a solidity CC, other than the relatively large amount of work it would take","",""
"455741312273219595","jl777c#5810","29-Dec-19 05:55 AM","and i have nothing against such middleware","",""
"455741312273219595","jl777c#5810","29-Dec-19 05:57 AM","also, i will repeat that the marketing guys are working on getting consulting companies up to speed along with our training docs so that projects can hire a CC dev when they need one. realistically a funded project will need a spectrum of resources, including a CC dev (relatively small amount of work), GUI dev (more work), systems, etc. so i dont think the problem is the funded projects","",""
"371114647052615681","Mylo#8306","29-Dec-19 06:01 AM","this is the key, _a funded company_ that is producing a new service.   they'll be looking to implement some customization.  this funded company / start up will have maybe one or two coders that know what they are doing, will need to get up to speed or get assistance.

it's the same model parity uses with substrate.  it's all a timing (when ICO was) & budget (bear market) related thing.  all the pieces are in place, are still being built etc.

another 6-12 months, plenty more tech to build on & a flagship GUI trading network (atomicdex api) with the flagship security application (dpow) which offers an IoT solution with nSPV.","",""
"412482228359266328","CrisF#3405","29-Dec-19 06:01 AM","Yes, it is clear that steps are being taken to this end.  
The amount of docs and resources for developers and users have exploded over the last year!
Been doing what I can and am glad to find other things that I can do to maximize my usefulness.","",""
"371114647052615681","Mylo#8306","29-Dec-19 06:02 AM","the stablecoin solution is another interesting fintech innovation for the ecosystem.","",""
"455741312273219595","jl777c#5810","29-Dec-19 06:06 AM","any project would be able to launch their own algorithmic stablecoin, via commandline and no coding","",""
"455741312273219595","jl777c#5810","29-Dec-19 06:06 AM","maybe i am wrong, but that seems to be a unique thing","",""
"371114647052615681","Mylo#8306","29-Dec-19 06:06 AM","","https://cdn.discordapp.com/attachments/455851625915875338/660725352192147496/unknown.png",""
"371114647052615681","Mylo#8306","29-Dec-19 06:06 AM","to put into perspective the bear market 👆","",""
"455741312273219595","jl777c#5810","29-Dec-19 06:06 AM","and it is an example of bash scripts + existing CC being able to do what otherwise needs a lot of coding","","💯 (1),👀 (1)"
"412482228359266328","CrisF#3405","29-Dec-19 06:10 AM","`solidity CC`","",""
"403206506171990047","artik123#2884","29-Dec-19 06:10 AM","@CrisF If it would be on a virtual machine, with an account based contracts then yes.","",""
"412482228359266328","CrisF#3405","29-Dec-19 06:11 AM","What would the first step in getting that done be?","",""
"403206506171990047","artik123#2884","29-Dec-19 06:12 AM","https://qtum.org/en looking inside their codebase","",""
"412482228359266328","CrisF#3405","29-Dec-19 06:16 AM","Qtum","",""
