AuthorID,Author,Date,Content,Attachments,Reactions
"301766691992371210","Markus#5464","30-Dec-19 11:52 PM","it can go to 1k but the ride back up will take forever","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:52 PM","if anything, I now big boys are very very patient 🙂","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:52 PM","know*","",""
"515535619150184448","richardt#2807","30-Dec-19 11:52 PM","I'm patient","",""
"301766691992371210","Markus#5464","30-Dec-19 11:56 PM","Anyway its nice to see ur view @Lanii","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:56 PM","Ty, happy to share","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:56 PM","if we can get some good discussion about stuff","",""
"301766691992371210","Markus#5464","30-Dec-19 11:56 PM","yea its definitely needed","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:57 PM","I might be rude from time to time, apologize for that =/","",""
"301766691992371210","Markus#5464","30-Dec-19 11:57 PM","no worries 😄","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:57 PM","However I'd like to think I have a pretty good understanding about price","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:58 PM","Far from what the big boys do but also better then the averege trader","",""
"301766691992371210","Markus#5464","30-Dec-19 11:58 PM","whats your opinion now regarding btc? bottom in?","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:58 PM","nah","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:58 PM","unless","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:58 PM","we can get above 9k","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:58 PM","then probability wise bottom might be in","",""
"301766691992371210","Markus#5464","30-Dec-19 11:58 PM","why 9k","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:58 PM","I just dont like to talk in absolutes, serves me or others no good","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:59 PM","https://www.tradingview.com/x/qQE4qkyE/","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:59 PM","big reaction to the tipside","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:59 PM","topside*","",""
"301766691992371210","Markus#5464","30-Dec-19 11:59 PM","https://www.tradingview.com/x/aiuqw86x/","",""
