AuthorID,Author,Date,Content,Attachments,Reactions
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:22 AM","oh  shit  - I  lost over  50k in  LABS  while  I  was gone","","abusedsmily (1)"
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:23 AM","it  forked and I used -salvagewallet to try to restore my wallet","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:23 AM","FEK!","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:25 AM","I wonder what happened","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:26 AM","I am  reindexed","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:55 AM","OMG -- like gone","",""
"420119978138664961","CHMEX#0686","30-Dec-19 01:57 AM","If you have the original wallet just sync it from block 0","",""
"420119978138664961","CHMEX#0686","30-Dec-19 01:57 AM","Your coins are there the once you mined staked on the fork will be gone","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:57 AM","pretty sure  I just did","",""
"420119978138664961","CHMEX#0686","30-Dec-19 01:58 AM","But you never had those forked coins anyways","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:58 AM","I owned 60k LABS","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:58 AM","i now have 9000","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 01:58 AM","just reindexed and reimported wallets","",""
"420119978138664961","CHMEX#0686","30-Dec-19 01:59 AM","If you have a backup use that to check...","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:00 AM","""mature"": 9158.06778184,","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:01 AM","I have done everything except trace outgoing txs while  I was on vacation","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:03 AM","and this is why i suggested that last param jok3r made for us... so all stakes could return to their original address. o no matter what... your 64 keys hold it all... no random addys losing coins when the daemon goes to shit.","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:06 AM","oh boy -- ill try all my wallet  backups but I just imported all  the dumps ---","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:07 AM","if you had the splitperc set to 100... you were sending stakes and utxos to random addresses","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:07 AM","I highly doupt  im  gunna  find them","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:08 AM","-returntosegid=1","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:08 AM","I was running out the door when I last set everything though","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:09 AM","block  number  295511","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:09 AM","IDK if the explorer is up to date but you might just check a few addresses there see if the balance is correct","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:09 AM","60064 LABS","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:09 AM","You good?","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:09 AM","19076 UTXOs","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:09 AM","lol","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:10 AM","now  I have  shit","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:10 AM","how?","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:10 AM","should  I reindex  1 more  fing time?","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:11 AM","9158.06778184 LABS","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:11 AM","id grab a boostrap","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:11 AM","let it sync a clean wallet fromt here","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:11 AM","and then chec k your 64 addys","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:11 AM","3005 UTXOs","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:12 AM","I synced a clean wallet","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:13 AM","my node is down right now but check the explorer","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:13 AM","Block Height: 300312","",""
"133773904471785473","daemonfox#6136","30-Dec-19 02:13 AM","From mininglabs.rocks","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:14 AM","<pre>height=300313</pre>","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:16 AM","OK ---  welll shit","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:16 AM","I found my  missing shit","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:16 AM","but how do I import all these wif keys","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:17 AM","1 at a time?","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:17 AM","they are in LABS.json","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:20 AM","looks like something wiped my wallet and put  in new addresses and keys","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:21 AM","my dump file doesnt match my json","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:23 AM","maybe  -salvagewallet @dukeleto ?","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 02:39 AM","there has to be a command  to get this list.json back  into my wallet","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 03:42 AM","whole lot of cut copy and  paste --- damn  that sucked","",""
"448777271701143562","smk762#7640","30-Dec-19 04:05 AM","@kmdkrazy https://github.com/KMDLabs/pos64staker/blob/master/importlist.py","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 04:06 AM","too late ---  thanks","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 04:07 AM","-salvagewallet  made  a  clean  backup","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 04:07 AM","finally found and used a working wallet.dat","",""
"459028995024093194","kmdkrazy#8280","30-Dec-19 04:08 AM","back  in  bidness","",""
