AuthorID,Author,Date,Content,Attachments,Reactions
"426545771568168960","Hegelian#0018","30-Dec-19 08:07 AM","Does anyone have the link to the current supernet holdings?","",""
"455741312273219595","jl777c#5810","30-Dec-19 08:12 AM","https://dexstats.info/supernetnav.php","",""
"426545771568168960","Hegelian#0018","30-Dec-19 08:36 AM","Thank you, very interesting","",""
"641854200854085632","steinsg8#0288","30-Dec-19 09:04 AM","Hmmmmm","",""
"410172452253990912","bogybogy#3962","30-Dec-19 09:54 AM","Hi, I hope everyone had an exceptional year and congratulations to the Komodo team for providing the crypto market, education and training in the new technology which, having a huge impact on the society, I notice that throwing the technological markets is massive towards artificial intelligence and we will see projects that want to collaborate with those at komodo, a happy new year for everyone","","2561_feelsevilman (1),KMD (3)"
"546999949728940034","Tom.T#6920","30-Dec-19 11:01 AM","@bogybogy Thank you for your word. Best wish for you in the upcoming happy new year. Hope that we will have you till next bull market:2561_feelsevilman:","",""
"410172452253990912","bogybogy#3962","30-Dec-19 11:11 AM","My pleasure to follow Komodo from beginning","",""
"439780323497082880","CMaurice#1685","30-Dec-19 12:42 PM","I'd like to echo those sentiments: I've really enjoyed coming to a more settled understanding of how the komodoverse progresses and its direction, and looking forward to the next year","",""
"190474021924503552","kaks#6612","30-Dec-19 12:44 PM","i can translate the kmd website to Italian and Arabic","",""
"591555923533758484","alperC#7758","30-Dec-19 01:07 PM","Hey @kaks ! Check DM","","👌 (1)"
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:30 PM","only 246 Arrr in NAV ...","",""
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:31 PM","also interesting byteball is not any more on cmc... not sure usd values are good ?","",""
"264236295432175616","Gordon Komodo#7477","30-Dec-19 04:36 PM","obyte is the new name","",""
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:36 PM","yes","",""
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:36 PM","but anyway nav page is not relevant","",""
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:37 PM","if there is no liquidity for Obyte 70k USD is just a dream, reality is like 7-10k USD","",""
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:37 PM","judging by mcap chart Obyte looks pretty dead","",""
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:39 PM","same with vericoin","",""
"452374492283404288","passcombo.com 🏴☠🍋#0622","30-Dec-19 04:40 PM","syscoin a bit better","",""
