AuthorID,Author,Date,Content,Attachments,Reactions
"546662653825646592","Bico#7646","02-Jan-20 04:46 AM","👀","",""
"451722179415900170","SquireAu#2727","02-Jan-20 05:40 AM","!kmdtip balance","",""
"499325474128920597","KMD TipBot#0077","02-Jan-20 05:40 AM","","",""
"451722179415900170","SquireAu#2727","02-Jan-20 05:40 AM","thanks","",""
"623972522135781396","Priva99#5191","02-Jan-20 06:26 AM","!kmdtip balance","",""
"499325474128920597","KMD TipBot#0077","02-Jan-20 06:26 AM","","",""
"414073716633370635","_PureHate_#9411","02-Jan-20 07:43 AM","!kmdtip balance","",""
"499325474128920597","KMD TipBot#0077","02-Jan-20 07:43 AM","","",""
"436632473867124736","bubu#1031","02-Jan-20 08:16 AM","Happy New Year to all friends","",""
"442950788034068480","root#5462","02-Jan-20 02:44 PM","!kmdtip balance","",""
"499325474128920597","KMD TipBot#0077","02-Jan-20 02:44 PM","","",""
"391197023476645898","ufano#1962","02-Jan-20 10:53 PM","!kmdtip balance","",""
"499325474128920597","KMD TipBot#0077","02-Jan-20 10:53 PM","","",""
