AuthorID,Author,Date,Content,Attachments,Reactions
"469738391215407104","Micah68#5652","05-Jan-20 06:31 AM","@SHossain  I'm trying to send ZEC from the VerusAgama wallet (0.6.0-8) which generates an error message: ""can't broadcast transaction"" Debug Info reads: {""code"". 1 ""the transaction was rejected by network rules. \n\n16: mandatory-script-verity-flag-failed (Script evaluated without error but finished with a false/empty topo stack element)\n[ then a zillion characters-long script which is in a code of sorts (those were my words)].   I'm running in Lite Mode.  This persists whether I'm sinding .5 ZEC or 2 dozen. Switching SPV Electrum servers yields the same error message.  Would the recent Komodo network upgrade have affected this?  Thanks!","",""
"345992331276713984","Acura#2748","05-Jan-20 09:57 AM","@Micah68 Try to update your Agama, there is a newer one","",""
"219932428616073217","ZaferGraph#5482","05-Jan-20 12:45 PM","is something going wrong on blockchain?","",""
"219932428616073217","ZaferGraph#5482","05-Jan-20 12:46 PM","on reward mech","",""
"423176312354635779","gcharang#6833","05-Jan-20 12:46 PM","@ZaferGraph what error are you seeing?","",""
"219932428616073217","ZaferGraph#5482","05-Jan-20 12:47 PM","rewarding stopped and shows zero at https://dexstats.info/rewards.php","",""
"423176312354635779","gcharang#6833","05-Jan-20 12:48 PM","try <https://www.atomicexplorer.com/#/rewards>","",""
"423176312354635779","gcharang#6833","05-Jan-20 12:48 PM","it has more info","",""
"219932428616073217","ZaferGraph#5482","05-Jan-20 12:50 PM","yes, it's working, I'll inform magnum wallet, I guess they are taking data from different place","","👍 (1)"
"469738391215407104","Micah68#5652","05-Jan-20 04:38 PM","@Acura thanks for the reply, but it unfortunately generates the same error message with v0.6.1","",""
"454786445702463507","𝙊𝙞𝙣𝙠#3612","05-Jan-20 05:48 PM","cipi in Verus discord:
> ZEC had the Blossom network upgrade, which changed some stuff
> AtomicDEX needed to make this change: https://github.com/KomodoPlatform/atomicDEX-API/commit/546426b2aad359eadd8924f3669f885d5808b5c1
> i guess the same is needed for Agama
> the error before the fix in AtomicDEX was the same `the transaction was rejected by network rules. \n\n16: mandatory-script-verity-flag-failed (Script evaluated without error but finished with a false/empty topo stack element)`","",""
"454786445702463507","𝙊𝙞𝙣𝙠#3612","05-Jan-20 05:48 PM","Wallet devs are aware of this","",""
"469738391215407104","Micah68#5652","05-Jan-20 07:15 PM","@𝙊𝙞𝙣𝙠 Thanks for checking into this; as you can see I also went to the Agama wallet folks. I see you are in both spots - you're everywhere!! (that's a good thing).  I went to that github link and it doesn't look like it's anything I am able to do. I'll hold tight and test the Agama wallet periodically.","",""
"454786445702463507","𝙊𝙞𝙣𝙠#3612","05-Jan-20 07:43 PM","There's nothing you can do, that's why I made our devs aware of this info cipi supplied, although I'm convinced they would have seen it just as fast anyway.","",""
"469738391215407104","Micah68#5652","05-Jan-20 07:51 PM","Thanks!","",""
"397528472685117485","marktyler#0324","05-Jan-20 09:27 PM","have an atomic dex issue, tried to make a swap with kmd. It timed out after an hour. Komodo never refunded back to me. Suggestions?","",""
