AuthorID,Author,Date,Content,Attachments,Reactions
"401454267812151298","zatJUM#9924","05-Jan-20 09:20 AM","<https://kmd.explorer.dexstats.info/> is down","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","05-Jan-20 01:00 PM","@CHMEX 👆🏽","",""
"420119978138664961","CHMEX#0686","05-Jan-20 02:11 PM","Thanks back","",""
"454704011761811458","eclips#1570","05-Jan-20 05:40 PM","how much is the bounty to break dpow ?","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","05-Jan-20 05:43 PM","define ""break""","",""
"454704011761811458","eclips#1570","05-Jan-20 05:49 PM","reverse a transacton","",""
"454704011761811458","eclips#1570","05-Jan-20 05:49 PM","either on kmd or ac","",""
"455741312273219595","jl777c#5810","05-Jan-20 05:57 PM","how do you propose to do this? if you can achieve it on a notarized transaction, we can give a bounty for it","",""
"455741312273219595","jl777c#5810","05-Jan-20 05:57 PM","transactions that are not notarized have no dPoW protection and is not covered","",""
"454704011761811458","eclips#1570","05-Jan-20 05:58 PM","(it's a french dude asking elsewhere, just the messenger here)","",""
"455741312273219595","jl777c#5810","05-Jan-20 06:01 PM","if they can reverse an already notarized tx, then it would definitely deserve a big bounty. but it would need to be responsibly disclosed","",""
