AuthorID,Author,Date,Content,Attachments,Reactions
"459028995024093194","kmdkrazy#8280","06-Jan-20 12:23 AM","% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.57    0.655247        4339       151        75 futex
  1.43    0.009505        9505         1         1 restart_syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.664752                   152        76 total","",""
"459028995024093194","kmdkrazy#8280","06-Jan-20 12:24 AM","ill  keep working  on my debuging  skills","",""
"459028995024093194","kmdkrazy#8280","06-Jan-20 12:47 AM","https://pastebin.com/wPxejws5","",""
"459028995024093194","kmdkrazy#8280","06-Jan-20 12:49 AM","ok  - I  am  done  for  the  night","",""
"455741312273219595","jl777c#5810","06-Jan-20 05:43 AM","not sure what errors this indicates, it also would help if you use the latest versionj","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:17 AM","@TonyL  @SHossain updated to a new hardforking version. this one is close to feature complete at the messaging layer. untagged packets (like from broadcast ffff) will get a general tag. i tested filtering by priority, and basic tracking based on tags, but there should be some bugs to find in complex cases. i didnt test the min/max amount filters, so that is a good one to test.

keep in mind that i expect things can crash after an hour, i need to add protection against that, so if it crashes after an hour, then just restart for now. i will work on that after i increase the 64 tags total limit.

please ask questions, the DEX_broadcast and DEX_list have quite a few parameters","","👍 (3)"
"455741312273219595","jl777c#5810","06-Jan-20 08:19 AM","also destpubkey encryption is not implemented yet","",""
"272003866906722306","TonyL#3577","06-Jan-20 08:20 AM","Just returned from holiday. Gonna wrap head quickly over the progress and proceed with the testing","","🎆 (1)"
"455741312273219595","jl777c#5810","06-Jan-20 08:21 AM","my tests show that as long as you dont exceed the p2p network capacity (determined by the network topology and speed of nodes), then only about 1 in a million packets are out of sync","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:21 AM","with low end nodes, we saw the limit at about 3000/sec","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:22 AM","with higher end nodes, around 10000/sec","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:22 AM","txpow is active now at a minimal level and it would take a lot of cores to reach 10,000/sec","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:23 AM","i dont have priority based routing implemented yet, but the idea is that if the network is under spam attack, the nodes could detect this and increase the priority level they broadcast at. so without changing ""consensus"" limits, each client can increase the priority level until it sees all its packets arriving in the peer nodes","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:24 AM","the one hour limit is a bit arbitrary and can be increased, but it doesnt seem like too much overhead for a GTC order to have to broadcast once per hour","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:25 AM","i imagine realtime games designed for UDP could work without too much changes to use -dexp2p mode","",""
"272003866906722306","TonyL#3577","06-Jan-20 08:44 AM","`~/komodo/src/komodod -ac_name=DEXRDO -ac_supply=999999 -addnode=37.9.62.186 -addnode=94.130.224.11 &` is this AC from pinned message actual one?","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:49 AM","you can use any chain now, but needs a -dexp2p=2 added to it, using my DEX branch","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:50 AM","there is no blockchain, nothing to sync","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:50 AM","though you can have normal blocks too, they dont affect the dexp2p and dexp2p doesnt affect blocks","",""
"412323938782150658","SHossain#0007","06-Jan-20 08:50 AM","i can launch `DEXP2P` chain on those seed nodes","",""
"272003866906722306","TonyL#3577","06-Jan-20 08:50 AM","I see, so only p2p connections matters for data broadcasting across p2p network","",""
"412323938782150658","SHossain#0007","06-Jan-20 08:51 AM","let me compile latest and launch those chains. will share the param shortly","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:51 AM","yes, it just uses the bitcoin peering to establish peers and send/recv messages","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:51 AM","a custom DEX message is supported with -dexp2p set","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:52 AM","everything is in RAM, if you exceed RAM, well bad things will happen","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:52 AM","100% sync is not guaranteed, though unless you overload the network, you will get 99.999%+ in sync","",""
"272003866906722306","TonyL#3577","06-Jan-20 08:52 AM","maybe we should limit it to some specific `-ac_name`s only? Who knows what scary bugs might be inside of it and if all assetchains peers will accept it after code propagation means that everything can be stalled/crashed if bug is discovered","",""
"412323938782150658","SHossain#0007","06-Jan-20 08:52 AM","it is limited to DEX... chains only","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:52 AM","only nodes that add -dexp2p will enable it","","👍 (1)"
"412323938782150658","SHossain#0007","06-Jan-20 08:53 AM","oh...ok. i stand corrected","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:53 AM","you can have a subset of nodes with -dexp2p","",""
"455741312273219595","jl777c#5810","06-Jan-20 08:53 AM","and only they will be doing messages. though i do need to add a nServices bit for this to prevent sending to a node that doesnt support dexp2p, would just be a waste of bandwidth","",""
"412323938782150658","SHossain#0007","06-Jan-20 08:57 AM","```
./komodod -ac_name=DEXP2P -dexp2p=2 -ac_supply=999999 -addnode=37.9.62.186 -addnode=94.130.224.11 &
```","",""
"412323938782150658","SHossain#0007","06-Jan-20 08:58 AM","@TonyL new param. running on one seed node. the other will launch soon as it finish compiling","","👍 (2)"
"272003866906722306","TonyL#3577","06-Jan-20 09:03 AM","Is it expected that I'm getting output print only on first DEX_broadcast? :
```./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
0767656e6572616c index create (general) len.8```
and then no any prints on broadcast:
```root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # ./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # ./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # ./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # ./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # ./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # ./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # ./komodo-cli -ac_name=DEXP2P DEX_broadcast ffff
root@Ubuntu-1804-bionic-64-minimal ~/dex_orderbook_test/komodo/src # DEXpurge.240 for t.1578297840 -> n.0 00000000, total.140 f994de11 R.0 S.140 A.140 duplicates.0 | L.0 A.0 coll.0 | avelag P 0.0, T 0.0 errlag.0 pend.0 | 2/sec```","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:04 AM","```
total.140 f994de11
```","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:04 AM","one seed node seen this. other one still compiling latest","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:05 AM","@TonyL yes, for ffff it is a special packet for blasters","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:05 AM","seems they are in sync","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:05 AM","it will send out 10 packets","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:05 AM","the printout you see is the tag creation of ""general""","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:06 AM","it you send a normal packet with tagA of ""general"" before the ffff packet, it should be totally silent","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:06 AM","packets that are not ffff can be ""an ascii string inside quotes"" or a hexstring","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:06 AM","make sure to understand all fields of DEX_broadcast and DEX_list","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:06 AM","ask if any doubts","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:07 AM","updated the pinned guides with new chain param","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:09 AM","i just updated (untested yet) using nServices bits to let other nodes know if dexp2p is supported, also made it so komodod -nSPV=1 nodes (superlite) will be able to do dexp2p messages. there are no nSPV remote access commands for dexp2p data (yet), but the plan is to add that and nodes with dexp2p=2 will be the fullnodes that respond to such requests, with dexp2p=1 nodes not responding","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:10 AM","@gcharang i think it is ready to start documenting -dexp2p mode","","👍 (1)"
"455741312273219595","jl777c#5810","06-Jan-20 09:11 AM","for now it is just in my DEX branch, at some point it will be possible to make it compatible with normal branches (ie. not allocate a bunch of static data)","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:13 AM","2nd seed node up","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:18 AM","started 2 blasters. one on each node","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:19 AM","~100txs/sec","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:20 AM","on each blaster","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:21 AM","with 3 blasters, ~300txs/sec","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:23 AM","i confirmed that the latest node wont send messages to nodes without the dexp2p bit in nServices","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:23 AM","this is in effect a hardforking change from a few minutes ago","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:24 AM","but now, we should be able to have dexp2p nodes on the same network as normal nodes and they wont interfere with each other","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:24 AM","nice","",""
"455741312273219595","jl777c#5810","06-Jan-20 09:25 AM","also please try nSPV=1 nodes to make sure in superlite mode it works. i think that would be the preferable way as dexp2p nodes should be very lightweight","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:28 AM","```
git pull
fatal: unable to access 'https://github.com/jl777/komodo/': Failed to connect to github.com port 443: Connection timed out
```","",""
"412323938782150658","SHossain#0007","06-Jan-20 09:28 AM","getting this on the VPS node","",""
