AuthorID,Author,Date,Content,Attachments,Reactions
"429101104480124929","jspook16#3059","08-Jan-20 12:12 AM","I doubt that","",""
"429101104480124929","jspook16#3059","08-Jan-20 12:13 AM","It'll hatch when it hatches","",""
"422858760898215937","siu - Chainmakers#3920","08-Jan-20 12:17 AM","Hey guys, take it easy, no need to dump your kmd so furiously","","💯 (2),shexy (1)"
"414518440649555970","tolken#2655","08-Jan-20 12:36 AM","Love it when KMD dumps price while at same time dump to higher position on CMC. Hah","",""
"388092138208100356","Buddz1993#5380","08-Jan-20 12:40 AM","Buh.","",""
"515535619150184448","richardt#2807","08-Jan-20 01:04 AM","@Buddz1993 probably not for a long time unless they somehow could fund for devs to help test/build the app","",""
"457884604167225374","meatspoon#7860","08-Jan-20 01:21 AM","I like how the BTC pump has the old crows coming out talking about accumulating... keep in mind, these voices that are again talking about accumulating have been wrong every time they have spoken up for the past 2 years.  BTC has always been the better buy every time the KMD Krew starts talking about, ""What a great time to buy!""  Time may prove them right, buuuuut... it also may not.  Time has not been kind to the KMD maximalists.","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:57 AM","@meatspoon I was just explaining how accumulation tends to work. Never said kmd being in one. I haven't been here for 2 years, nor have I once called a kmd bottom (I never speak in absolutes, just probabilities). Im also not a kmd maximalist, was at one point but learned my lesson long ago. However you seem to be one and thats why you are frustrated and salty like this. But sure, go ahead and tell us more about how btc is a great buy after a 20+% pump with no pullbacks worth mentioning.","",""
"515535619150184448","richardt#2807","08-Jan-20 02:42 AM","Yeah  @meatspoon, get it straight!  BTC and ETH were dead 2 years ago!  Only KMD lives on","",""
"457884604167225374","meatspoon#7860","08-Jan-20 03:22 AM","@Lanii I apologize if it came across as if I were targeting you with my comment.  I was responding more to the subtext and actual text of others in here recently  (several days) who are saying now is the time to accumulate (not that the charts show that we are in an accumulation phase).  I was pointing out how the active users who often claim that KMD is a steal at the the current price have been claiming that for 2 frigging years and how BTC has owned them at every single turn for 2 years.  I was also responding to the general haranguing of coingirl.  I agree with little of what she says, but she is critical of KMD which I appreciate and people bag on her, especially the KMD maximalists.  I am not and have never been a KMD maximalist.  I am, however, a salty MF in general.   I am also not saying BTC is a great buy after a 20% pump, but I miiiight still wager that $100 spent on BTC right now will be worth more in 6 months than $100 spent on KMD.  But shiiiiit, i am not buying BTC right now.  Come on man, don't straw man me into the position of a chromosome-challenged individual.","",""
"429101104480124929","jspook16#3059","08-Jan-20 03:51 AM","So are you saying go all in on Spank?","","👏🏻 (2),🍑 (2)"
"441651066040483851","Goose#4551","08-Jan-20 06:42 AM","Most people first buy btc and then buy alts","",""
"589198378680975371","Flint#6435","08-Jan-20 07:27 AM","it should be recognized that large investors KMD is now not at all interesting and these small pumps that we see are just minor manipulations and nothing more! Real money does not go into Komodo, and this shows how it bleeds when bitcoin grows. No matter how the defenders and developers of Komodo deny, but probably the time has come to recognize that the Agama hack - the official wallet of the project has scared off potential large investors no longer wants to take such a risk and check whether the same thing happens with Verus Agama or AtomisDEX and of course the team did it well funds and returned them, but this will not completely erase the reputation and any major investor, thinking about investing, will look at this page of history with a hack and bypass at least until he is sure that all the risks are now Do! After all, investors are not techno experts and masters of the program crypto code and they are alien to talk about the complexities and innovations of the blockchain - they look at the investment attractiveness and use of the asset and, most importantly, its liquidity, which is now very bad for the coin as well as for volumes!","",""
"361480872291074068","ronyi#5719","08-Jan-20 07:51 AM","🙂 just wait, I have time and KMD is good. Halving, WWWIII, hashrate.... I think BTC going down (volume). If not that's good for me. https://imgur.com/a/BpTH7vD","",""
"589198378680975371","Flint#6435","08-Jan-20 07:53 AM","The only thing that saves the Komodo from an even lower decline is rewards of 5%, but this is done exclusively by exchanges, the Komodo team and the desperate FOMO who bought the coin at the last peak of the price six months ago and who wants to at least leave this game without losing at least 5 % per annum so you can take a screenshot of this forecast but I’m guaranteed for sure that when the price touches the previous peak again at $ 1.5-1.8 we will see a massive coin drain so that FOMO investors will return their and possibly new bottom below $ 0.4 per coin, especially with the growing dominance of bitcoin and especially if at that time the use of KMD is a matter of a maximum of thousands of people around the world as it is today!","",""
"361480872291074068","ronyi#5719","08-Jan-20 08:03 AM","Early NXT, BTS, AMP charts.... 🙂 Yes, many people is only BTC and BTC and BTC... I'm tried of BTC, almost all alts is under water. What is the reason for 50 thousand? 3k-14k = Facebook libra; now 6,5k- 8,4k (9K) WWWIII and halving. Bitmain is rationalize..... I have position all sides, we will see.","",""
"589198378680975371","Flint#6435","08-Jan-20 08:17 AM","as long as the cryptocurrency joke meme with a dog has a trading volume comparable and often greater with the capitalization of the super technological and innovative Komodo system that only the Binance director knows about, several hundred Chinese traders who do not care what to trade and readers of contention, there will be no price increase, but rather We will see more than one bottom and the migration of the last investment in profitable assets! And when web 3.0 really becomes the standard and we see exchange applications without nasty sounds with killed user experience and enough liquidity, then maybe we'll do the applause! But this is 5-10 years minimum","",""
"361480872291074068","ronyi#5719","08-Jan-20 08:22 AM","I do not want to get rich quckly, but very much. 😄","",""
"589198378680975371","Flint#6435","08-Jan-20 08:23 AM","but with games in the lottery with altcoins you can become poor very quickly😉","",""
"361480872291074068","ronyi#5719","08-Jan-20 08:25 AM","🙂 just like BTC, SP500.....","",""
"589198378680975371","Flint#6435","08-Jan-20 09:34 AM","if there was an indicator of fear and greed for Komodo then he would have broken many times the lower bar of extreme fear and would never have gotten out of there until the price returned at least above $ 1.8😂","",""
"388092138208100356","Buddz1993#5380","08-Jan-20 09:57 AM","So guys what you are saying is that kmd is pretty much fcked and no bright future ahead of it .","",""
"388092138208100356","Buddz1993#5380","08-Jan-20 09:57 AM","Price wise .","",""
"474019343727067147","designer#4893","08-Jan-20 10:32 AM","I would be happy if Bitcoin and stock markets were decoupling by Iran and US event.","",""
"301766691992371210","Markus#5464","08-Jan-20 11:38 AM","https://www.tradingview.com/x/KIjYlh2M/","",""
"301766691992371210","Markus#5464","08-Jan-20 11:38 AM","🤔","",""
"301766691992371210","Markus#5464","08-Jan-20 11:38 AM","rekt inc? we will see","",""
"301766691992371210","Markus#5464","08-Jan-20 11:38 AM","if that was a wedge then we hit target","",""
"301766691992371210","Markus#5464","08-Jan-20 11:39 AM","maybe a final fakeout wick","",""
"301766691992371210","Markus#5464","08-Jan-20 11:40 AM","gonna watch it and possibly take a small short with tight stoploss if it wicks up","",""
"301766691992371210","Markus#5464","08-Jan-20 11:42 AM","it will retrace most likely cause u have rsi divergence on daily, to get it invalid u would have to wick above 10.5k which is unlikely in such short time","",""
"515535619150184448","richardt#2807","08-Jan-20 12:45 PM","Who's waiting for the Binance US pump? 😄","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:15 PM","Did anyone chort the biitcoin","",""
"402210705476026368","bishop#9773","08-Jan-20 01:24 PM","oh @Flint What changed in 2 months? https://discordapp.com/channels/412898016371015680/429676131726262273/637736212353908768","",""
"231533083818590211","Oszy#5734","08-Jan-20 01:25 PM","not march yet 😬","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:25 PM","https://www.tradingview.com/x/ZLmnTX2I/","",""
"589198378680975371","Flint#6435","08-Jan-20 01:26 PM","because of the events between the usa and Iran, the demand for bitcoin and gold has already begun to increase and the dominance of bitcoin will continue to strengthen, and given that komodo has virtually no liquidity and the only pair with bitcoin, this can mean many years of hibernation if someone does not like the word ""death"" After all, there is no pair with the dollar, and a pair on bittrex with usd is even contemplated due to lack of volume liquidity! The rocket to the moon is canceled. In these circumstances, even the ARRR pirate project is more likely to make a leap to cover the losses of gullible investors.","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:26 PM","I got my fills on kmd also, the saltyness is a nice addition to my TA","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:26 PM","Looking good","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:28 PM","On a serious note, if someone was adding down here and wants a good SL, below 620 ish looks good.","",""
"589198378680975371","Flint#6435","08-Jan-20 01:30 PM","@Lanii Do you naively believe that technical analysis works when liquidity is so low that it even becomes suspicious? This is unforgivably low liquidity and the trading volume only says that there is no interest in the coin completely and the maximum you can count on is a small rebound from the so-called double bottom that we recently saw a flat or new bottom and there will be no end to it until the coin will find REAL application and will not find liquidity!","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:31 PM","You are right, TA on illuquid stuff is kinda meh, however better use my set of rules even if they are kind of iffy, rather then buying blindly","",""
"402210705476026368","bishop#9773","08-Jan-20 01:32 PM","The point I was trying to make back then was how silly it is to guarantee a price target. And broadly speaking, I can't stand it when people say ""guaranteed"" when things can and do change.","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:32 PM","Also, I've been waiting for that zone to buy back in for a while now, imma follow my plan. You do you, I do me.","","2561_feelsevilman (1)"
"589198378680975371","Flint#6435","08-Jan-20 01:36 PM","Does the experience of the past tense tell you anything when we broke all conceivable and not conceivable support levels and moved contrary to the laws of the market, breaking a new bottom? For your technical analysis to work, buyers need investors, and not just sellers who received a coin due to mining or holding in a wallet! So far, this model only works well for developers who received cheap coins at the ICO and created an imaginary coin value of $ 0.5 minimum, and simply pays hundreds of thousands of coins for their bills! But for other investors, this is a pain! And for smart investors, the development of the coin should also be supported by the expansion of liquidity and trading pairs, but this is not alas","","🤔 (1)"
"589198378680975371","Flint#6435","08-Jan-20 01:39 PM","ask yourself what will happen to the price tomorrow if Binance delists kmd? This is a word about liquidity and its effect on value.","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:47 PM","I can ask myself many different questions. What will happen if Bill Gates becomes a kmd maximalist etc, but I truly don't give a shit about that. I use TA to define my entries/stops and risk. I don't bother with the FA part of it, I used to once but then I realized its not fundementals but funnymentals. Any worst case scenario I would already be out as per my defined risk.","",""
"474019343727067147","designer#4893","08-Jan-20 01:47 PM","Regardless of the development of technology, Komodo was shunned by the market.","",""
"474019343727067147","designer#4893","08-Jan-20 01:47 PM","No excuses are allowed in the market.","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:48 PM","We had a 145% pop from the lows where I bet many fomoed in, now that we are back into what (I) assume to be a support people are scared shitless and talking about all kinds of worst case scenarios.","",""
"396617299378962432","Lanii#8302","08-Jan-20 01:50 PM","They could happen for sure, Iran vs US could fully blow out later tonight and ww3 begin then I doubt crypto would matter. But that possible scenario is not gonna stop me from trading the way I have for quite some time now.","",""
"589198378680975371","Flint#6435","08-Jan-20 01:52 PM","KMD value at the moment is held ONLY because of a 5% reward and because of FOMO investors who are waiting for a price return of $ 10-12. But a 5% reward will no longer seem so attractive if we lose another 50%, for example, due to a hack at the Bilaxy exchange that bypassed Binance in Kmd trading but still continues to amuse us with trading volumes of $ 800,000 per day - this is the amount with which Several Singaporean investors are trading a DOGE cryptocurrency meme with a dog, and we do not even have anyone close in the matter of coin value! Yes, the technology is cool but the market does not want to evaluate it and prefers to bypass KMD preferring the dog meme and bitcoin","",""
"301766691992371210","Markus#5464","08-Jan-20 01:56 PM","5% reward is actually inflation so it should decreasse value not increasse","",""
