AuthorID,Author,Date,Content,Attachments,Reactions
"375717149794107402","Vanncoins#3044","08-Jan-20 02:34 AM","Haven’t been able to match a single swap since updating atomicDEX today","",""
"375717149794107402","Vanncoins#3044","08-Jan-20 03:52 AM","Latest update didn’t seem to fix it","",""
"404743523024371744","Bastol#5205","08-Jan-20 04:04 AM","Since update i can't see estimated usd values anymore.","",""
"404743523024371744","Bastol#5205","08-Jan-20 04:05 AM","Aaand it just came back on its own for some reason","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 04:26 AM","strange thing i'm noticing with the android app is that I'll place a bunch of orders in the morning on my phone, phone runs all day with screen on at work so it can properly host orders with internet (mostly) always connected to it and now at night the orders are still on my phone, yet 90% of them are not showing up on the oracle orderbook. This is not with the latest app, but I installed about a week ago.","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 04:27 AM","do orders sometimes disappear if connectivity fails for a while?","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 05:02 AM","so with new version of app I was FINALLY able to get rid of the change sounds. For anyone else wanting to do the same just: 
download audacity, create a new (empty) project and then go to Generate > Silence... default length of 30s is fine. Then go to File > Export audio, and choose MP3. Put this file on your phone and link every sound to it and voila sound free experience.","",""
"559425433112805376","MorganJekyll#8355","08-Jan-20 06:37 AM","When will CHIPS and ARRR be added to the DEX?","",""
"559425433112805376","MorganJekyll#8355","08-Jan-20 06:39 AM","And once ARRR is added is it still technically a “jumbler” for other blockchains via atomic swap? Basically use it as a cloak bridge between blockchains, is this the idea?","",""
"416336575379537941","figgy132#7531","08-Jan-20 06:43 AM","New version crashing when running in the background (android)","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 07:08 AM","@MorganJekyll i doubt arrr will be added since it is private transactions only. I believe visibility of transactions is necessary for atomicdex to work with the coin, but i'm not positive","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 07:34 AM","any suggestions on how to get orderbook queries looking better? I am using jq but at any of these brackets [ ] it makes it a line by itself so one order book entry takes up my whole vertical screen practically","",""
"272003866906722306","TonyL#3577","08-Jan-20 07:36 AM","For human readable format it more practical to use or make GUI","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 07:39 AM","true. yeah i built an excel sheet that queries market data and compares it to the csv oracle download but i'm finding out that oracle orderbook page only has some of the markets, finally found that out after just now compiling and using mm2 for the first time. I was able to see my orders that my phone says exist but don't show up on the orderbook oracle.","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 07:51 AM","hmmm i wonder how difficult it would be to use the orderbook api on mm2 to build & keep up to date a database of trading pairs, just like the oracle orderbook but just for myself with the pairs I want to track.","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:14 AM","hi @smk762 sorry to bug you but do you have any info on documentation / recommendations for me to do the above? I believe you are the one currently maintaining the atomicdex orderbook oracle, no? I'd like to see about making one for myself that has the pairs i'd like to watch 🙂 or, maybe you could check if it is functioning properly, it used to list all sorts of rel's for kmd but now only shows vrsc and axe.

Some of the other coins might be missing some rel's too like VRSC I think was showing FTC but not anymore","",""
"448777271701143562","smk762#7640","08-Jan-20 08:21 AM","which language?","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:22 AM","like programming language? I'm just starting out in all this, so not a programmer but willing to learn!","",""
"448777271701143562","smk762#7640","08-Jan-20 08:22 AM","this will work (python) - https://github.com/smk762/pytomicDEX/blob/master/get_orderbook.py","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:22 AM","cool!","",""
"448777271701143562","smk762#7640","08-Jan-20 08:22 AM","relies on this file for coins - https://github.com/smk762/pytomicDEX/blob/master/lib/coinslib.py","",""
"448777271701143562","smk762#7640","08-Jan-20 08:23 AM","prob easiest to clone the repo, set your MM2.json creds and cron the orderbook script","",""
"448777271701143562","smk762#7640","08-Jan-20 08:23 AM","I'm assuming you are on linux?","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:24 AM","yeah i do a lot with vm's on my machine and have gotten semi decent managing masternodes on my vps, writing firewall iptables code, etc","","👍🏽 (1)"
"440030719386058762","CiPhEr#2091","08-Jan-20 08:24 AM","ubuntu mainly","",""
"448777271701143562","smk762#7640","08-Jan-20 08:24 AM","sweet. havent tested the above on win.","",""
"448777271701143562","smk762#7640","08-Jan-20 08:24 AM","should work, but sometimes some quirks","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:25 AM","cool yeah or i'll probably use linux","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:25 AM","do you know if the current orderbook oracle is working correctly?","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:25 AM","seems to be missing some pairs err some sides of pairs","",""
"448777271701143562","smk762#7640","08-Jan-20 08:25 AM","should be, but only updates every 15 min or so","",""
"448777271701143562","smk762#7640","08-Jan-20 08:26 AM","last update 13 min ago","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:26 AM","ok yeah for kmd only other side showing is axe and vrsc, used to be tons others this morning. Cant manage to find my orders i placed but can see them through mm2 orderbook querry","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:26 AM","been checking a few hours","",""
"448777271701143562","smk762#7640","08-Jan-20 08:26 AM","using vpn?","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:27 AM","actually yes would that affect it","",""
"448777271701143562","smk762#7640","08-Jan-20 08:27 AM","yeah it can sometimes","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:27 AM","oh i'll try turning it off","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:28 AM","showing 153 entries, same for you?","",""
"448777271701143562","smk762#7640","08-Jan-20 08:29 AM","site agrees","",""
"448777271701143562","smk762#7640","08-Jan-20 08:29 AM","I dont have a terminal to that server at the moment","",""
"231533083818590211","Oszy#5734","08-Jan-20 08:29 AM","`figgy132 Today at 06:43
New version crashing when running in the background (android)`
For me too. After switching back to the app.","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:30 AM","yeah no worries, thanks for all your work on it though!","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:30 AM","i built an excel sheet that uses the csv quite nicely","",""
"448777271701143562","smk762#7640","08-Jan-20 08:30 AM","no worries, mm2 has motivated me to learn many new things 😄","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:31 AM","couldn't figure out a way to have excel download the csv by itself to update so i download it manually","",""
"448777271701143562","smk762#7640","08-Jan-20 08:31 AM","havent used excell for a while, and the csv is gen by js so prob no url for it.","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:32 AM","but having those pairs missing made me compile mm2 in my vm to query the orderbook manually to make sure my android app wasn't saying something not real with my orders not showing up anymore","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:32 AM","which i'm glad i did, great to be getting into this stuff again","",""
"448777271701143562","smk762#7640","08-Jan-20 08:35 AM","you can get the json that populates the site from http://cryptocartography.io/json/mm2_orderbook.json","","treasure (1)"
"440030719386058762","CiPhEr#2091","08-Jan-20 08:35 AM","hmmm just checked again i think i was being a moron and not sorting something right in excel i see most everything, just not FTC","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 08:36 AM","oh nice cool man i'll check it out thanks!","","labs (1)"
"440030719386058762","CiPhEr#2091","08-Jan-20 08:37 AM","sick, yeah i might be able to tie excel into that json directly 🙏","",""
"211923166769971201","DRE#7875","08-Jan-20 09:10 AM","when AtomicDex goes Officially to AppStore","",""
"423176312354635779","gcharang#6833","08-Jan-20 09:14 AM","@DRE not anytime soon
the app and mm2 are still in beta and in development","",""
"423176312354635779","gcharang#6833","08-Jan-20 09:15 AM","@Oszy can you DM me the logs? anything in them give a reson for crash?","",""
"423176312354635779","gcharang#6833","08-Jan-20 09:33 AM","@CiPhEr @MorganJekyll arrr will be added to the DEX. but no ETA right now
and yes, it can theoretically be used as a jumblr","","🚀 (3),pirate (1)"
"440030719386058762","CiPhEr#2091","08-Jan-20 09:34 AM","wow thats super awesome","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:35 AM","hey any ideas for this- my app goes into order matching but doesn't proceed to next step, i've tried different amounts, does this mean that maker is already engaged with another taker?","",""
"423176312354635779","gcharang#6833","08-Jan-20 09:36 AM","what is the pair?","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:36 AM","zec / kmd","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:36 AM","i'm trying to be the taker with kmd","",""
"423176312354635779","gcharang#6833","08-Jan-20 09:37 AM","is there only 1 order?","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:37 AM","it is the one for .018 price","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:37 AM","max vol 9.78692999 zec","",""
"423176312354635779","gcharang#6833","08-Jan-20 09:39 AM","if one order doesn't work for you, it is recommended to try matching another order
the non working order could have unupdated node or bad connectivity

ZEC recently had a network upgrade and if the maker didn't update, swap won't go through","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:39 AM","oh ok i see","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:40 AM","so there would be no advantage to just let order matching sit and work right? if order doesn't get matched right away that is probably bad sign","",""
"423176312354635779","gcharang#6833","08-Jan-20 09:41 AM","that's correct most times","",""
"440030719386058762","CiPhEr#2091","08-Jan-20 09:41 AM","ok cool thanks","",""
"231533083818590211","Oszy#5734","08-Jan-20 10:00 AM","sent","","👍 (1)"
"513702187415765012","vogelfreund88#4534","08-Jan-20 10:20 AM","Hi, what is the ECA feature in the update?","",""
"423176312354635779","gcharang#6833","08-Jan-20 10:24 AM","ECA is a coin","",""
"419964976397156352","cipi#4502","08-Jan-20 12:08 PM","btw, there is maker on the network with ZEC that uses `atomicDEX 0.2.7 Android` (also as maker) and fails all swaps (last 2020-01-08 10:05:05 and 2020-01-08 11:52:18), simply because this version can't handle ZEC... so if ZEC-swaps are failing, try another maker","",""
"416336575379537941","figgy132#7531","08-Jan-20 12:16 PM","@gcharang I will send a log and a screenshot of a crash report too","","👍 (1)"
"398864863067373568","CoinKing88#1540","08-Jan-20 03:52 PM","Is there a step by step manual how to send DEX asset to ledger nano AND get them off again (i understand that getting them off is the tricky part?)","",""
"398864863067373568","CoinKing88#1540","08-Jan-20 03:52 PM","I got them mostly stored on the atomicdex wallet, don't want that for longterm HODL","",""
"423176312354635779","gcharang#6833","08-Jan-20 04:00 PM","@CoinKing88 when you move DEX out of ledger, the privatekey of Komodo (as they are the same) will also be exposed to a computer.
If that is ok, here are the steps:
To store:
1) Just send to a KMD address from your Ledger

To move them:
1) Open this webpage in an offline computer: <https://iancoleman.io/bip39/>
2) Input your ledger seed words in the field ""BIP39 Mnemonic""
3) Select KMD in the field named ""Coin""
4) In ""Derivation path"", select the tab ""BIP44""
5) you should see the addresses and privatekeys of your ledger addresses
6) copy the privatekey of the address with your DEX coin and use it to login to Verus Agama and you can move them","",""
"398864863067373568","CoinKing88#1540","08-Jan-20 04:03 PM","Allright, thanks a lot! Last question: what if that website (iancoleman.io) goes offline? :troll_hmm:","",""
"423176312354635779","gcharang#6833","08-Jan-20 04:04 PM","here is the source code: <https://github.com/iancoleman/bip39>
countless other people (including me) have forked it and have offline copies","",""
"398864863067373568","CoinKing88#1540","08-Jan-20 04:05 PM","Thanks, downloaded a copy of the code to be sure. Have a good night!","","👍 (1)"
"423176312354635779","gcharang#6833","08-Jan-20 04:05 PM","anyway, it is just a convinient tool
there are multiple other ways to achieve the same thing","",""
"423176312354635779","gcharang#6833","08-Jan-20 04:16 PM","Pinned a message.","",""
"365460237190168578","scubapanda#2485","08-Jan-20 06:00 PM","Any plans on adding PIRATE in the near future?","",""
"405380797537976320","Cryptoon#3362","08-Jan-20 06:21 PM","ye","",""
"405380797537976320","Cryptoon#3362","08-Jan-20 06:21 PM","s","",""
"405380797537976320","Cryptoon#3362","08-Jan-20 06:21 PM","needs some work to support z adresses trading though 🙂","",""
"405380797537976320","Cryptoon#3362","08-Jan-20 06:21 PM","no firm ETA","",""
"365460237190168578","scubapanda#2485","08-Jan-20 06:37 PM","Yes, this has been the case all along? So no news.","",""
"405380797537976320","Cryptoon#3362","08-Jan-20 06:40 PM","then why ask the question if there was a plan to add it :p","",""
"405380797537976320","Cryptoon#3362","08-Jan-20 06:41 PM","it's finished when it's finished, the days of adding countdown timers are over","",""
"365460237190168578","scubapanda#2485","08-Jan-20 06:42 PM","Will it require a hard fork for Pirate?","",""
"405380797537976320","Cryptoon#3362","08-Jan-20 06:42 PM","not sure in what repo they are doing the dev work, maybe if you look around a bit in the different githubs you might find the progress they are making 🙂","",""
"278064452362960897","Bitfinger#6245","08-Jan-20 06:58 PM","Fyi in case anyone else is having issues installing the latest version, play store only worked for me after ""uninstalling updates"" in app settings. It was not possible to install anything before that. Probably an android issue, but figured I'd mention it","",""
"452368346164363265","MrBizzy#7075","08-Jan-20 08:38 PM","hei people. is Dextop (atomicDEX-Pro) already a useable version?","",""
"416336575379537941","figgy132#7531","08-Jan-20 08:41 PM","Never heard of Dextop","",""
