AuthorID,Author,Date,Content,Attachments,Reactions
"417671530642931713","Andersen#8337","09-Jan-20 07:26 AM","Muricans    https://twitter.com/classicmacro/status/1215125777416642563","","🤦‍♂️ (2)"
"508277543498022923","Crabby Paddy#6239","09-Jan-20 07:26 AM","To be fair I didn’t know either 😂","",""
"508277543498022923","Crabby Paddy#6239","09-Jan-20 07:27 AM","I mean it’s obviously not australia, Russia or Africa","",""
"508277543498022923","Crabby Paddy#6239","09-Jan-20 07:27 AM","But the rest of the map is a mystery to me 👀","",""
"231533083818590211","Oszy#5734","09-Jan-20 08:25 AM","press F for people who marked it in the middle of an ocean","",""
"405380797537976320","Cryptoon#3362","09-Jan-20 08:51 AM","christ people actually pointed inside the US itself","",""
"231533083818590211","Oszy#5734","09-Jan-20 09:10 AM","that was the people from Iran 😂","","troll_king (2),troll_lol (1)"
"405380797537976320","Cryptoon#3362","09-Jan-20 09:15 AM","> point missiles that way bro","",""
"406179072922746882","polycryptoblog#1173","09-Jan-20 09:26 AM","According to ‘Murica","https://cdn.discordapp.com/attachments/429676186583564288/664762026559799316/image0.jpg","troll_compadre (4),👆 (1)"
"370026641323327491","ph03nix#3115","09-Jan-20 09:30 AM","pirate ocean 🤔","","realpirate (3)"
"405380797537976320","Cryptoon#3362","09-Jan-20 10:22 AM","https://twitter.com/ross_homan1/status/1215143386660864000?s=21","",""
"405380797537976320","Cryptoon#3362","09-Jan-20 10:22 AM","Hohoho","",""
"417671530642931713","Andersen#8337","09-Jan-20 08:22 PM","https://twitter.com/binaryFate01/status/1215265006146719746","",""
