AuthorID;Author;Date;Content;Attachments;Reactions;
"591555923533758484";"alperC#7758";"31-Jul-19 07:37 PM";"everyone We'll be holding an AMA on Discord about AtomicDEX on Wednesday, 7th August, 5 PM UTC";"";"👍 (6),👌 (2),KMD (5),yassinkmodo (4),rum (4)";
"591555923533758484";"alperC#7758";"31-Jul-19 07:39 PM";"ADD THIS AMA TO YOUR CALENDAR - https://evt.mx/MxFL58Ly 

A few weeks ago, we've launched one of two new flagship products, the AtomicDEX. Because the feedback has been overwhelmingly positive, we’ve decided to hold an AMA. You can ask the team anything regarding more information about the development, timelines, future plans for AtomicDEX and so on.

We are asking our community to post their questions in this channel, and we'll choose the most popular ones based on how many ￼⬆  each question receives. We will also answer questions live, if time permits.";"";"";
"591555923533758484";"alperC#7758";"31-Jul-19 07:39 PM";"";"https://cdn.discordapp.com/attachments/606102812920905733/606209389140901900/atomicdex_animation.gif";"👏 (4),👌 (3),KMD (4)";
"424272322216591371";"crumb#2550";"31-Jul-19 07:40 PM";"what is the timeline for AtomicDEX desktop version?";"";"👆 (9),⬆ (7),awthanks (2)";
"511105857015119873";"mrtzmp3#2896";"31-Jul-19 07:46 PM";"@alperC I can just ask question now in this channel and will be answered ?";"";"";
"591555923533758484";"alperC#7758";"31-Jul-19 07:48 PM";"@mrtzmp3 Yes, we will choose the most popular ones based on how many 'upvote' each question receives";"";"";
"511105857015119873";"mrtzmp3#2896";"31-Jul-19 07:51 PM";"Ok mate , probably not the most priority request , but have y thought about costum layouts of the Dex? Many trade often and would it be nice to can costomize the Dex ? Darkmode , light mode ok , am talking I upload any picture for background .";"";"";
"511105857015119873";"mrtzmp3#2896";"31-Jul-19 07:52 PM";"It's gimick I know but anyway would be nice imo";"";"⬆ (2)";
"461193166620721172";"Prometheus#2390";"31-Jul-19 08:55 PM";"A quick suggestion: it would be nice to have market rate for the swap. And also how much the bid price is off the market price. Say for eg, 1 kmd is 1.0 usdc. So if my bid 1,10, I'm +10%.";"";"🤔 (1)";
"461193166620721172";"Prometheus#2390";"31-Jul-19 08:55 PM";"Also, if we can have an idea of the orders placed to know what is the current liquidity of each coin.";"";"";
"291353789993320453";"Guinnessstache#3821";"31-Jul-19 10:18 PM";"How quickly can new ERC20 tokens for swapping be added?";"";"";
"397372307154403329";"yorklab#7270";"31-Jul-19 10:52 PM";"The DEX fee is about .13% for takers. Those DEX fees are used to buy KMD. If 5 different projects are using the AtomicDEX back-end software (MM2), do they all have the same basic DEX fee, and are the DEX fees from all those projects used to purchase KMD?";"";"⬆ (2),👏 (2)";
"455741312273219595";"jl777c#5810";"01-Aug-19 03:45 AM";"yes";"";"";
"232989893918195722";"Alexfrog#1338";"01-Aug-19 03:54 AM";"but....that sounds like a reason to own KMD.  I thought KMD was supposed to be useless 😉 😄";"";"";
"455741312273219595";"jl777c#5810";"01-Aug-19 03:55 AM";"i have said KMD doesnt charge a tax, i never said there was no reason to own it. just having all it has and able to claim 5% rewards, that alone should suffice";"";"";
"232989893918195722";"Alexfrog#1338";"01-Aug-19 03:57 AM";"indeed, the smilies were to convey my sarcasm";"";"";
"546708144756228097";"Grisu#3373";"01-Aug-19 07:53 AM";"Will there be a voting system for the next coins that get added to the atomicdex?";"";"";
"249256116150730753";"PHBA2061#2530";"01-Aug-19 08:30 AM";"hi, can anyone point me to where the Ethereum atomic swap contract is ? Thank you in advance";"";"";
"272003866906722306";"TonyL#3577";"01-Aug-19 08:51 AM";"@PHBA2061 Hi! https://etherscan.io/address/0x8500afc0bc5214728082163326c2ff0c73f4a871";"";"👍 (1)";
"249256116150730753";"PHBA2061#2530";"01-Aug-19 09:13 AM";"nice, thank you again !";"";"👍 (1)";
"511105857015119873";"mrtzmp3#2896";"01-Aug-19 09:38 AM";"Will you incentive traders for making many trades ? I am thinking a lottery where your amount of trades are entry tickets for some kind of pricepool , example taken from the fees ? Or even more cheap trading fees , like for owning bnb on binance ?";"";"";
