AuthorID;Author;Date;Content;Attachments;Reactions;
"272003866906722306";"TonyL#3577";"17-Oct-18 08:04 AM";"Oh it's previous lib, not woke up yet lol";"";"";
"406037988850794496";"patchkez#5349";"17-Oct-18 08:06 AM";"yeah, I am sleepy too, more coffee is needed 😃";"";"☕ (2)";
"272003866906722306";"TonyL#3577";"17-Oct-18 08:06 AM";"https://github.com/petertodd/python-bitcoinlib/blob/master/bitcoin/rpc.py#L159 I meant this one actually";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 08:07 AM";"Not sure if my skills will be enough if porting to komodo will be not only bitcoin -> komodo words changing 😃";"";"";
"232679450301431808";"blackjok3r#3181";"17-Oct-18 08:07 AM";"late arvo here, already too much coffee ... and still tired... stayed up too late last night writing code, but I got it working... usually happens next day get nothing done LOL";"";"☕ (1)";
"272003866906722306";"TonyL#3577";"17-Oct-18 08:08 AM";"Next day debug and write comments 😃";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 08:15 AM";"https://docs.python-guide.org/writing/structure/ will start from this point I guess";"";"";
"232679450301431808";"blackjok3r#3181";"17-Oct-18 08:15 AM";"spent the day playing with 2yr old and finishing ryzen workstation. been meaning to get that done for weeks 😂";"";"";
"463633829194891274";"snowdamn#2414";"17-Oct-18 08:18 AM";"teach 'em young 😇";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 08:19 AM";"Maybe 2yr already can learn some scratch programming 🤔";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 08:42 AM";"@Deleted User Should be my flow be a: fork this library, re-write code to be compatible with Komodo, write my rpc-lib in the same repo ?
Or have I to create new repo, import this library as a module and override classes with changes for Komodo as @patchkez adviced?
Confused a little bit regards this flow since never build something with 3rd party modules";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 08:49 AM";"I have to make it work with asset chains on user demand hmm";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 07:00 PM";"Hmm, seems not very flexible if use with tons of assetchains created by users what crypto-conditions assumes";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 07:00 PM";"Have to parse configs on fly I think";"";"";
"272003866906722306";"TonyL#3577";"17-Oct-18 07:01 PM";"Yep, thanks! Just habit of thinking out loud 😃";"";"";
"371114647052615681";"Mylo#8306";"17-Oct-18 10:25 PM";"what happened to remote TUI?  now it looks like i need a config file in my python dreams";"";"";
