AuthorID;Author;Date;Content;Attachments;Reactions;
"406179072922746882";"polycryptoblog#1173";"24-Oct-19 04:43 AM";"@allbits#8882   Demurrage  and interest are not equivalent .";"";"";
"406179072922746882";"polycryptoblog#1173";"24-Oct-19 05:27 AM";"Interest rate is charge on principal. You are not paying 50% of your principal.  Additionally locking coins up in a peg necessarily prevents them from being able to the required action to receive the reward";"";"";
"424224648889106444";"Mihailo#5902";"24-Oct-19 08:58 AM";"@eBit If I may add (I haven't read the whole conversation) to answer your question. When you deposit the funds in pegscc account, let say your example of 3000KMD, you are able to get up to 80% of value of your deposit at that moment. So if price of gold is 1500 KMD (we will avoid USD as JL mentioned we can have direct price but lets say 1 KMD 1$ so if 1500$ is the price of gold then lets say at that moment price of gold in KMD is 1500), you can get maximum 1.6 KGOLD. Again let take your example that you took 1 KGOLD, now the price went up, if you want to get back to KMD, you will get back your deposit so 3000KMD there is no 900KMD.
PegsCC must be looked as a mechanisom of deposit vs. borrow. You give the bank your house and take 200k$ loan, when you return the loan you get back the house.";"";"";
"424224648889106444";"Mihailo#5902";"24-Oct-19 08:59 AM";"So you are not making any money with just holding KGOLD or whatever pegged coin, but you can lose money 😛";"";"";
"424224648889106444";"Mihailo#5902";"24-Oct-19 09:00 AM";"On the other hand if you acquire more KGOLD, then you can exchange it for more tokens.";"";"";
"424224648889106444";"Mihailo#5902";"24-Oct-19 09:03 AM";"The problem gose when price goes down. If it goes up you can always take more KGOLD if you want (not necessary). But if it goes down, then you would need to return, but instead of making a system which would burn coins and take it from users, this system works that someone can repay your debt and take your deposit. Then you are left with your KGOLD and you can exchange it for KMD, but you lost some of it as now the price is lower and you cannot get as much as you deposited.";"";"";
"424224648889106444";"Mihailo#5902";"24-Oct-19 09:04 AM";"It is very confusing and complex at beginning, but when you grasp the fundamentals then everything is logical.";"";"";
"422858760898215937";"siu - Chainmakers#3920";"24-Oct-19 11:34 AM";"Gotta put into perspective that KGOLD will be swappable in atomicDEX";"";"";
"422858760898215937";"siu - Chainmakers#3920";"24-Oct-19 11:35 AM";"So for user friendliness if you want KGOLD you could just buy some";"";"";
"455741312273219595";"jl777c#5810";"24-Oct-19 11:39 AM";"yes. the issuance/liquidation process is not anything most people have to do. once it is put into circulation, it should trade at close to the pegged value";"";"";
"424224648889106444";"Mihailo#5902";"24-Oct-19 02:44 PM";"Someone needs to deposit in order for coins to be issued. But you can always just buy coins regularly. I think most of the people which will make deposits, they will do the liquidation part for profit. Others will regularly use the coins.";"";"";
"349903748539351042";"allbits#5898";"24-Oct-19 05:28 PM";"@polycryptoblog demurrage?? Not sure you're using the right terminology, so your point is lost if you have one. Opportunity cost is cost. I think it's silly to hope nobody would take the opportunity cost Into account when locking KMD";"";"";
"406179072922746882";"polycryptoblog#1173";"24-Oct-19 06:09 PM";"Demurrage = fee for storage .   Interest = payment from borrower on and above the amount borrowed .          How do you figure you are paying a 50% interest rate on a 10:1 peg?";"";"";
"349903748539351042";"allbits#5898";"24-Oct-19 06:51 PM";"Opportunity cost. It's very simple - I feel like you're being willfully blind to a simple point. I have 100 kmd. If I lock it for a year, I forgo about 5% = 5  kmd

If I borrow the equivalent of 10 kmd for that period (the ten percent example) I'm incurring a cost of 5 to borrow 10. There it is. Nothing to do with inaccurately applied terms like demurrage.  Just a simple cost benefit analysis like most normal people would do here.";"";"";
"406179072922746882";"polycryptoblog#1173";"24-Oct-19 07:13 PM";"Ok I get what you mean now,  by your description , interest is also an inaccurate term as well.   Opportunity cost != interest";"";"";
"349903748539351042";"allbits#5898";"24-Oct-19 07:15 PM";"The effect is the same. Presenting this as interest free loan is misleading";"";"";
"406179072922746882";"polycryptoblog#1173";"24-Oct-19 07:18 PM";"If the deposit was not KMD ,  which is possible by cc-peg , then is it misleading?";"";"";
"349903748539351042";"allbits#5898";"24-Oct-19 07:20 PM";"If the deposited coin is a coin that does not have rewards built in, it is quite different.";"";"";
"349903748539351042";"allbits#5898";"24-Oct-19 07:21 PM";"There is slippage or inefficiency when setting up this system with KMD because the rewards ""disappear""";"";"";
"455741312273219595";"jl777c#5810";"24-Oct-19 07:21 PM";"the cc-pegs is implemented as interest free loan, it is coin agnostic. the fact that if using KMD has an opportunity cost is independent of the cc-pegs";"";"👆 (1)";
"406179072922746882";"polycryptoblog#1173";"24-Oct-19 07:22 PM";"That’s what I was trying to get at thanks @jl777c";"";"";
"455741312273219595";"jl777c#5810";"24-Oct-19 07:22 PM";"but for KMD, which is the coin that makes sense to use, it does have a cost of the lost rewards, which is very real for people that actively collect rewards (about half). the upside is that these rewards can go toward compensating the multisig signers";"";"";
"455741312273219595";"jl777c#5810";"24-Oct-19 07:23 PM";"that makes it a sustainable setup and for shorter term usage, the 0.4% per month is really smaller than most spreads, so shouldnt be much of a factor";"";"";
"455741312273219595";"jl777c#5810";"24-Oct-19 07:24 PM";"i think it is fair to describe cc-pegs as being similar to an interest free loan, we just need to explain that if KMD is used, the rewards are going to the multisig signers";"";"";
"349903748539351042";"allbits#5898";"24-Oct-19 07:30 PM";"pegs on mBTC might be more attractive for long term - interest free loan on my btc by first converting it to the mBTC chain that you are setting up.";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:39 PM";"what setup i need to have on the KMD chain to bind gateways?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:44 PM";"@smk762 -  dracocanis ominator";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:44 PM";"funds";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:45 PM";"gateways are on smartchains";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:45 PM";"if doing kmd peg, need kmd funds.";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:45 PM";"cant put gateway on kmd chain tho";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:47 PM";"https://github.com/Mixa84/komodo/wiki/Pegs-CC";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:49 PM";"funds on the same pubkey as in the smartchain, right?";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:50 PM";"there is a z_sendmany tx to deposit. one of the reciepient addresses is gateway, other address' pubkey needs to be one smartchain is launched with to claim";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:51 PM";"ahh";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:51 PM";"that is not in the python tui or is it?";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:51 PM";"gateways is. there are some newer RPCs not yet integrated tho";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:52 PM";"```Gateways created on this assetchain: 

[1] f734077a2e41d9905756a95f79cc7daaf62de7d197d0668d30c5f5f332d5b4e9
[2] 8c574ee9543fc3004b3459b739311ac1a0c6fa5034e1cfd5e2f15e0402d80432
_________________________________________________________________


Select Gateway Bind TXID: 2
Gateways Bind TXID         [8c574ee9543fc3004b3459b739311ac1a0c6fa5034e1cfd5e2f15e0402d80432]
{'result': 'success', 'name': 'Gateways', 'M': 1, 'N': 1, 'pubkeys': ['03bf270c42ec7df480a342779797673de5f10461e7479657b5effd18f98d040f9c'], 'coin': 'KMD', 'oracletxid': '7917a710508d7525e96cbc6323fffddc14630dbe5a9af5e28b548610d0015f18', 'taddr': 0, 'prefix': 60, 'prefix2': 85, 'wiftype': 188, 'deposit': 'RJ8ZnPmwdQufPDehW4EJfzScor4qL8zZAU', 'tokenid': 'ec52db8f216735fecf8e86557405d21d05abd4e421b95ebae9ec51d5c0100214', 'totalsupply': '2.00000000', 'remaining': '2.00000000', 'issued': '0.00000000'}
'oracle_txid'
Something went wrong. Please check your input
```";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:52 PM";"whenever i want to see gatways info i get the ""something went wrong"" meessage";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:53 PM";"tho i did all other steps with no issue and the gateway bind worked.";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:54 PM";"which repo /branch ?";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:55 PM";"I pushed some updates to pegs_tui branch on my repo yesterday";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:55 PM";"im using @dimxy repo";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:55 PM";"or you mean the python tui?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:55 PM";"im using tonyl's";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:55 PM";"I mean for komodo-cctools-python";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:56 PM";"use mine, it has a bucnh of commits not yet merged to Tony's main repo";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:56 PM";"https://github.com/smk762/komodo-cctools-python/
use pegs_tui branch";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:57 PM";"have link?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 12:57 PM";"oh sorry";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:58 PM";"I will PR to Tony's eventually, but still testing some things";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 12:58 PM";"make sure to use `pegs_tui` branch, it is latest and being updated every couple of days";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 01:06 PM";"```~/komodo-cctools-python >>> git checkout pegs_tui                                          ±[●][master]
Branch 'pegs_tui' set up to track remote branch 'pegs_tui' from 'origin'.
Switched to a new branch 'pegs_tui'
~/komodo-cctools-python >>> ls                                                           ±[●][pegs_tui]
antara_tui.py        deposits_list  marmara_tui.py                  rekt_inspector.py  tetris_tui.py
assets_cc_tui.py     docs           payments_cc_tui.py              requirements.txt   tokens_list
connection.json      gateways_list  prices_app_v2.py                rogue_tui.py       undo-redo.css
connection_kmd.json  lib            prices_visualization_server.py  scripts            usergraphs
dash.ini             LICENSE        README.md                       static
```";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 01:06 PM";"i dont see `pegs_usage` script";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 01:08 PM";"@smk762 -  dracocanis ominator";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 01:09 PM";"maybe all is good, just have to wait for the 120 blocks confirmations?";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 01:11 PM";"use ./antara_tui.py";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 01:11 PM";"all the latest stuff in there";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 01:12 PM";"moved/moving individual scripts into the main menu";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 01:16 PM";"ok";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 01:16 PM";"but yes, i think the issue im having is wait for bindtx notarization ```{'result': 'error', 'error': 'gatewaysbind tx not yet confirmed/notarized'}
'hex'
Please connect to KMD daemon first!
```";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Oct-19 01:16 PM";"i guess i didnt set it on testmode";"";"👍 (1)";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"26-Oct-19 02:29 PM";"`Please connect to KMD daemon first!` error msg isnt in latest TUI. It should force the confirmation wait.";"";"";
"422858760898215937";"siu - Chainmakers#3920";"27-Oct-19 01:37 PM";"hello";"";"";
"422858760898215937";"siu - Chainmakers#3920";"27-Oct-19 01:38 PM";"does someone has had any issues with gateways claim?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"27-Oct-19 01:38 PM";"```./komodo-cli -ac_name=KGOLDTEST gatewaysclaim 8c574ee9543fc3004b3459b739311ac1a0c6fa5034e1cfd5e2f15e0402d80432 KMD 33d4e9e4d66ad57937c81698a19f487340f7c118db7bc23002a217c0d91290f2 0233ccb0c85fb25d0468d34c17154e0584ac40ed52228f1f939f69bdd36eb24a05 0.1
{
  ""result"": ""error"",
  ""error"": ""cant find deposittxid 8c574ee9543fc3004b3459b739311ac1a0c6fa5034e1cfd5e2f15e0402d80432""
}```";"";"";
"422858760898215937";"siu - Chainmakers#3920";"27-Oct-19 01:38 PM";"i am getting this error but seems weird because 8c57.... is the gateways bind txid not the deposittxid.";"";"";
"414518440649555970";"tolken#2655";"27-Oct-19 05:27 PM";"Reading up/catching up, but maybe not far enough - sounds like this is effectively live? Using the commands outlined here: https://github.com/Mixa84/komodo/wiki/Pegs-CC I can actually take out a loan, backed with Komodo, today?";"";"";
