AuthorID;Author;Date;Content;Attachments;Reactions;
"156115366983106560";"Llama#1330";"11-Dec-18 05:55 PM";"I know that Equaliser is working on getting rewards out";"";"";
"405380797537976320";"Cryptoon#3362";"11-Dec-18 07:04 PM";"Who is coding those contracts?";"";"";
"272003866906722306";"TonyL#3577";"11-Dec-18 07:14 PM";"@Cryptoon Rewards CC is one of the initial CC consensus modules (aka CC contracts) on Komodo platform developed by @jl777c";"";"";
"272003866906722306";"TonyL#3577";"11-Dec-18 07:18 PM";"Actually all current working modules are developed by JL except of ChannelsCC which is a brilliant job of @Mihailo";"";"";
"405380797537976320";"Cryptoon#3362";"11-Dec-18 07:19 PM";"Ahaa, was more asking who is editing the cc's for them";"";"";
"405380797537976320";"Cryptoon#3362";"11-Dec-18 07:19 PM";"I assume it's not just plug and play and you still need a dev to code them?";"";"";
"272003866906722306";"TonyL#3577";"11-Dec-18 07:20 PM";"It depends of your needs - if current one is suits your needs you can just activate it on your asset chain and use it by RPC calls";"";"";
"272003866906722306";"TonyL#3577";"11-Dec-18 07:20 PM";"If you need some conceptual/consensus customisation - in this case source code rework needed";"";"";
"272003866906722306";"TonyL#3577";"11-Dec-18 07:23 PM";"In general as a dAPP developer you can use CC module just as a magic box (you have  human readable RPC calls with predicted and expected outputs and may dont care mostly what going on on vins/vouts level)";"https://cdn.discordapp.com/attachments/522052514896543774/522131213830455297/unknown.png";"";
"272003866906722306";"TonyL#3577";"11-Dec-18 07:23 PM";"Not sure tbh what Equaliser do ☺";"";"";
"405380797537976320";"Cryptoon#3362";"12-Dec-18 10:16 AM";"They want masternodes iirc";"";"";
"455741312273219595";"jl777c#5810";"12-Dec-18 10:17 AM";"why do they want masternodes? to actually add a second layer of priviledged nodes, or to just lock funds and get rewards?";"";"";
"405380797537976320";"Cryptoon#3362";"12-Dec-18 10:44 AM";"the latter I think";"";"";
"405380797537976320";"Cryptoon#3362";"12-Dec-18 10:44 AM";"support price perhaps";"";"";
"455741312273219595";"jl777c#5810";"12-Dec-18 11:00 AM";"then rewards CC does what is needed";"";"";
"365714438864633856";"dukeleto#7326";"27-Feb-19 04:50 PM";"Hush plans to enable the rewards CC, please let me know if there are any consensus changes coming soon";"";"🆒 (1)";
"405011811511828481";"Alright#0419";"27-Feb-19 08:39 PM";"@dukeleto how would you fund rewards plans?";"";"";
"405011811511828481";"Alright#0419";"27-Feb-19 08:41 PM";"I think rewards is solid, but I imagine any significant bugs that would be found would be hard forks. Hate to sound like a shill, but probably worth while to wait and run some incentivized tests with it on LABS. Either that or do some thorough testing of it yourself";"";"";
"405011811511828481";"Alright#0419";"27-Feb-19 08:42 PM";"have you considered using two fungible momom chains?";"";"";
"405011811511828481";"Alright#0419";"27-Feb-19 08:42 PM";"one that will hard fork as often as needed, one that will rarely hardfork";"";"";
"365714438864633856";"dukeleto#7326";"28-Feb-19 08:12 AM";"given the above, maybe Rewards is just a nice-to-have for Hush, it's not our focus. haven't thought of multiple chains, the main reason Hush is becoming an AC is for sapling, so if any CC stuff makes it harder/more work, it will be left for a future upgrade";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:23 AM";"Found a pretty bad bug with rewards";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:24 AM";"Im not sure why its been done, but the recover funds is not working at all... if for any reason imputs are not found, and this could be for many reasons... Then its just returning the locked funds";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:25 AM";"It needs to actaully check all teh conditions are met before releasing this recover thing... IMO recover shouldnt be there... doesnt seem like it was designed to have it. Doesnt seem any simple fix.";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:25 AM";"Seems rewards would need a major redesign to fix this problem.";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:27 AM";"what do you mean? which tx, which case";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:29 AM";"at any time it cannot find inputs it just does the recover transaction. This means its skipping minseconds checks and many other things";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:29 AM";"I cant fix the validation properly...";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:29 AM";"because the RPC is wrong";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:30 AM";"what is the recover transaction?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:30 AM";"you mean unlock?";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:30 AM";"I dont really understand why it is there";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:30 AM";"please be more specific and dont jump to conclusions";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:30 AM";"it seems that if there are not enogh inputs to pay the reward, weather that be becasuse not locked long enough ... or they actually are not there  it will just send a recover tx.";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:31 AM";"what line of code?";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:31 AM";"it needs to at the very least make sure the minimum requirments are met before sending this tx, but the checks for these requirments are deeper inisde other  loops with no easy way of returning an error to stop this tx being sent";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:32 AM";"but it is rpc level, so even if the code is changed, anybody could issue the same tx";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:32 AM";"which is why I dont understand why there is a secondary validation for this... its skipping all teh requirement checks";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:32 AM";"it needs to check all these first ... then bail out";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:32 AM";"not bail before its checked them";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:33 AM";"so it is just not adding the reward as a ""better to recover the funds, than nothing at all""";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:33 AM";"what line of code is skipping the validation?";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:34 AM";"its not one line of code";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:34 AM";"its the whole thing";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:34 AM";"lol";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:34 AM";"the fix i suggested was for the case where there are no rewards, that the destination address needs to sign a vin";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:34 AM";"`if ( (inputs= AddRewardsInputs(ignore,0,cp,mtx,rewardspk,reward+txfee,30,sbits,fundingtxid)) >= reward+txfee )`
`else`
```// This should be checking that minseconds has passed... looks like clear bug!
                    firstmtx.vout.push_back(CTxOut(amount-txfee,scriptPubKey));
                    //CCerror = ""cant find enough rewards inputs"";
                    fprintf(stderr,""not enough rewards funds to payout %.8f, recover mode tx\n"",(double)(reward+txfee)/COIN);
                    return(FinalizeCCTx(-1LL,cp,firstmtx,mypk,txfee,EncodeRewardsOpRet('U',sbits,fundingtxid)));```";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:35 AM";"that way, some random third party cant close out existing rewards";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:35 AM";"I think it just needs to not be there ...";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:35 AM";"doesnt make a lot of sense";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:35 AM";"the rewards calc is done above";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:36 AM";"if the reward was more than txfee, then and only then does it try this";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:36 AM";"if the rewards inputs are not therem then the rewards fund is depleted and it is reasonable to just recover the funds";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:37 AM";"so in the recover case, add a normal vin and have the validation make sure the destination pubkey has a vin, not sure why you are freaking out over this";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:37 AM";"no but it wont find any inputs if minseconds hasnt passed";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:37 AM";"so then it sends the funds out.... when they are not allwoed to be released";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:37 AM";"Does that make sense?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:37 AM";"the rewards calc would be 0";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:37 AM";"it wouldnt go into that if statement";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:38 AM";"but the validation isnt checking it... I thaught this was what Alright was going on about how he was able to steal funds...";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:38 AM";"yes, we need to add validation";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:38 AM";"both need to check the same thing... this recover tx isnt right";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:39 AM";"make sure minseconds has passed and add a destpubkey vin to the recover tx and make sure that is there";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:39 AM";"how is this impossible to fix??";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:39 AM";"maybe it is not, but I couldnt see any simple way.";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:40 AM";"and where is it bypassing all the checks, in the validation 'U' case it sure seems to go through all the validation steps";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:42 AM";"line 277 returns true before everything is checked";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:42 AM";"ok, so add check for minseconds and vin signed by destination pubkey";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:42 AM";"wouldnt that work>";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:42 AM";"?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:43 AM";"if minseconds has passed and the receiver is willing to recover funds without rewards, let them";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:43 AM";"maybe, if I can work out hwo to do that ... it seems those checks are inside rewards calc ... but there is no reward in this tx";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:44 AM";"just move the reward = RewardsCalc(amount,tx.vin[0].prevout.hash,APR,minseconds,maxseconds,mindeposit) to above the recover if statement";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:44 AM";"why wont that work?";"";"";
"232679450301431808";"blackjok3r#3181";"26-Mar-19 09:44 AM";"that would work?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:45 AM";"amount is the principal amount in vout[0], isnt it?";"";"";
