AuthorID;Author;Date;Content;Attachments;Reactions;
"420119978138664961";"CHMEX#0686";"12-Oct-18 11:49 AM";"9457 Block the biggest recorded since the 1m upgrade";"";"shexy (1)";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"12-Oct-18 11:50 AM";"😭 It wasn't me";"";"";
"420119978138664961";"CHMEX#0686";"12-Oct-18 11:52 AM";"looks like it was sent to binance after some hops";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"12-Oct-18 11:53 AM";"I haven't had much luck with large bonuses this year, I think my largest was like 27";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"12-Oct-18 11:54 AM";"a bunch at like 4-7 though 😀";"";"";
"420119978138664961";"CHMEX#0686";"12-Oct-18 11:56 AM";"I believe these real big ones are going back to the individual who would 'loose' it. Might be a risky.  statistically notary nodes should get about 75% of these big ones but they dont";"";"";
"232679450301431808";"blackjok3r#3181";"12-Oct-18 11:56 AM";"I did see there was a way to make a-team mine more blocks than its allowed too .. but seems a bad idea, and probably wont increse chances of getting more big blocks over external miners who can monitor mempool then switch hash for large rewards TXs";"";"";
"420119978138664961";"CHMEX#0686";"12-Oct-18 11:57 AM";"Yes if you have hashpower stand by maybe you can analyse the mempool and mine it just in time";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"12-Oct-18 11:58 AM";"`monitor mempool then switch hash for large rewards TXs`
I actually did contemplate doing that at one point, but was just to lazy to write the API codes";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"12-Oct-18 11:59 AM";"that and I don't like someone else holding my liquidity";"";"";
"405011811511828481";"Alright#0419";"12-Oct-18 12:00 PM";"could just look for those txs, use `invalidateblock` or whatever the command is on it";"";"abusedsmily (1)";
"405011811511828481";"Alright#0419";"12-Oct-18 12:00 PM";"then keep hashing and try to reorg it before notarization";"";"";
"232679450301431808";"blackjok3r#3181";"12-Oct-18 12:04 PM";"someone does it and has been doing do for some time";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"12-Oct-18 12:06 PM";"_doesn't own enough hash to do that locally with any meaningful success rate_";"";"";
"236584061869621249";"DR3WSKi#8767";"13-Oct-18 11:58 AM";"How do I put info into nheqminer to mine vrsc on windows";"";"";
"208825999217917953";"E.#1770";"13-Oct-18 12:36 PM";"is asic required to mine any pirate even in a pool?";"";"";
