AuthorID;Author;Date;Content;Attachments;Reactions;
"405011811511828481";"Alright#0419";"04-Dec-18 05:12 AM";"If you mined it with anything other than CPU mining in daemon, you violated stratum protocol";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:12 AM";"`How did you mine it?`
I made a block *based on* the block template; it's a template (something that establishes or serves as a pattern), not a strict requirement";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:12 AM";"I really dont think we cna use the stratum prootcol as it exists for what KMD has added to AC PARAMS.... it just flat out isnt compatble with them.";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:13 AM";"so it seems best to just ""fork the protocol"" and make it work for us";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:13 AM";"everything we need is in the daemon, and the daemon knows which params it was started with ...";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:13 AM";"so the pool can ask the daemon anything it needs to know";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:14 AM";"there is no reason for it to calcualte its own stuff.";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:14 AM";"`it just flat out isnt compatble with them.`
Your conflating the process with attempting to do the steps of the process with a library that the kind folks at ZCL cut 90% out of";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:14 AM";"pool becomes an extention of the damon that allows miners to connect and shares t e be paid.";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:14 AM";"thats all it needs to be ... anything else is pointless";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:14 AM";"and wasteful both of ppls time, and computer power";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:15 AM";"the only thing stopping znomp from performing any tx that can be in a cb is that znomp uses a tx builder that has 99% of the parts missing (on purpose, because it was meant for ZCL)";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:15 AM";"@ComputerGenie 👴🏼📢 I really don't understand why you have a problem with what joker did";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:15 AM";"what if verushash forks 100x to be ASIC resistant .. .every time that happens, the legacy solution needs a new pool ""plugin"" using what I just proposed, nothign changes it ""just works"" with a daemon update";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:16 AM";"he will add whatever he did to whatever you do";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:16 AM";"it will be an OPTION";"";"👌 (1)";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:17 AM";"`I really don't understand why you have a problem with what joker did`
OK, you're right
I should be able to send a transparent tx on PIRATE, fek the protocol (the reciever sees that his tx was sent)";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:17 AM";"stratum protocol is not the same as consensus rules";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:17 AM";"following protocols is literally what dafuq we do";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:17 AM";"🤦🏽";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:17 AM";"You a big fan of slush pool? 😂  :trollface:";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:18 AM";"We need our own protocol then";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:18 AM";"no, I feken hate slush and the backdoor deal he struck with Core";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:18 AM";"Genie loves slush pool it seems";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:18 AM";"loves their protocol at least";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:19 AM";"`We need our own protocol then`
I've been feken saying that (ad nauseam) for a year now";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:19 AM";"so again";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:19 AM";"we're working towards the same thing here";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:19 AM";"""We need Komodo stuff for Komodo"" <- you haven't seen that before? 🤔";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:20 AM";"That's exactly what joker created";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:20 AM";"something that will support any asset chain with a weird coinbase";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:20 AM";"`That's exactly what joker created`
**NO**
Joker created a bastardization of a bastardization of a bastardization of a bastardization of a bastardization";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:21 AM";"it'll work with your non-bastardized version";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:21 AM";"one more hacked version of znomp is **not** ""Komodo stuff for Komodo"", not even by the loosest of meanings";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:22 AM";"ffs man";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:22 AM";"it'll work with whatever flavor of nomp you choose";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:22 AM";"fek nomp";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:22 AM";"what are you coding?";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:22 AM";"2010 is over";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:22 AM";"fork of nomp?";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:22 AM";"let nomp tha fek go";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:23 AM";"Should work anyway";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:23 AM";"the code is *in the daemon*";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:23 AM";"not the pool software";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:23 AM";"It doesnt need NOMP ... any pool can use it ... litterally all it does, is stop the coinbase tx from being a speerate part of the JSON in getblocktemplate and just use the blocktemplate";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:23 AM";"nothign else";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:23 AM";"its seems how it was supposed ot work in the first place";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:24 AM";"as the code for itwas already hinthe daemon";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:24 AM";"the stratum is in the pool software (it's also why it's a dependency of the pool and not part of it)";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:24 AM";"and had been disabled";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:24 AM";"the on;y reason my NOMP stratum needed a change";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:24 AM";"@ComputerGenie 👴🏼📢 imagine if getwork and stratum protocol had a baby";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:24 AM";"was so that it remaineb backwards compaible with the lecgacy verison";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:24 AM";"I'll leave it at that";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:24 AM";"that exactly what I propose";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:25 AM";"a stratum that works with current minign software ...";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:25 AM";"`imagine if getwork and stratum protocol had a baby` it would be as ugly and bastardized as znomp is :trollface:";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:25 AM";"but also just uses the dameon for everyhting  like getwork";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:25 AM";"@ComputerGenie 👴🏼📢 how's your ac_script stratum working?";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:25 AM";"if the daemon already does it ... why not just use it";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:25 AM";"doing it twice seems pretty stupid";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:25 AM";"liek you liek to do exxtra work";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:26 AM";"like why code ""equihashverify""";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:26 AM";"if you can just `verifyhash`";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:26 AM";"as an RPC";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:26 AM";"to the daemon";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:26 AM";"and then it doenst matter if it s equish, verushash, geniehash";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:26 AM";"what the fuck ever";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:26 AM";"the pool will work very time";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:27 AM";"`how's your ac_script stratum working?`
Haven't tried is since I switched libraries, but I'm confident it will work before Feb 15th";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:27 AM";"no matter what change has been added to komodod";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:27 AM";"@ComputerGenie 👴🏼📢 how's your ac_alrightmadethisparamup stratum working?";"";"";
"405011811511828481";"Alright#0419";"04-Dec-18 05:27 AM";"it works with joker's stratum";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:27 AM";"unless he puts the `ac_script-=` as a param in `coins.json` it cant work ever at all.";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:27 AM";"no matter what he says";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:28 AM";"bitcoin-js-lib cant amke a tx to script, as its job is to covert pubkey/pubkeyhash to a script.";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:29 AM";"the adding of ac_* isnt going to end ... stop makign youf life hard 😄";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:30 AM";"`how's your ac_alrightmadethisparamup stratum working?
it works with joker's stratum`
ffs, you're as thick as he is
x will work because 1=1
`bitcoin-js-lib cant amke a tx to script`
Which part of the 99 gajillion times I've said that bitcoin-js-lib is intentionally stripped out by ZCL and lacking did you not comprehend? That's why I switched libraries and will make any changes need to make a feken tx that is needed
because
""We need Komodo stuff for Komodo""";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"04-Dec-18 05:30 AM";"_goes back to_ 📺";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 05:32 AM";"and bitcoin-js-lib as CryptoConditions 🤷";"";"";
