AuthorID;Author;Date;Content;Attachments;Reactions;
"345992331276713984";"Acura#2748";"03-Mar-19 12:21 PM";"https://twitter.com/100trillionusd/status/1102179645355712512?s=21";"";"";
"402471473362763778";"peritonlogon#7708";"03-Mar-19 02:35 PM";"OMG, when you guys talk about Climate Science you really sound like Crypto Currency specialists.";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"03-Mar-19 02:36 PM";"`Climate Science` makes me 🤣 😂";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:37 PM";"https://www.youtube.com/watch?v=NYoOcaqCzxo&t=1775s
may have started when I posted this";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:37 PM";"please watch it all";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:37 PM";"then comback and try and argue about climate science";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:37 PM";"no doubt climate is changing and worlds is ebing polluted but plant food isnt the problem 😆";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"03-Mar-19 02:38 PM";"and that's just one of the 114 flaws in `Climate Science` that pushes severity of AGW";"";"👍 (1)";
"402471473362763778";"peritonlogon#7708";"03-Mar-19 02:43 PM";"I'm not going to argue about climate science after watching a video.  In fact, I'm not going to argue about it at all.  Climate science spans several very difficult disciplines and involves at least tens of thousands of scientists world wide.  If you care to argue about it, argue with them, here's a place to start https://climate.nasa.gov/scientific-consensus/";"";"😂 (2)";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:43 PM";"when you grow cannabis in higher CO2 concentrations it grows liek 2x faster, which removes in turn 2x the CO2 from the air... so the solution to higher CO2 levels is to plant more plants and increase CO2 levels so the plants eat it faster. 😆";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:43 PM";".gov";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:43 PM";"goodbye";"";"";
"402471473362763778";"peritonlogon#7708";"03-Mar-19 02:44 PM";"It's nasa";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:45 PM";"🤦";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:45 PM";"so is 99% of the data in that video";"";"";
"402471473362763778";"peritonlogon#7708";"03-Mar-19 02:45 PM";"fine, look here http://www.realclimate.org/index.php/archives/category/climate-science/";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:45 PM";"its how you agregate it and all that... not the data or where it came from. If you INGORE DATA";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:45 PM";"then you ignored it";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:45 PM";"the data you ahve doesnt tell you anything";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"03-Mar-19 02:46 PM";"What if I told you that every model is based on flawed assumptions based on a NASA director and he even admits that models are **always** wrong....";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:46 PM";"trhey models are always wrong;....";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:46 PM";"because they ignore data";"";"";
"402471473362763778";"peritonlogon#7708";"03-Mar-19 02:47 PM";"I'm on board with the criticism that cryptocurrency and the whole movement makes of government in terms of taxation, central banks, coercion and bureaucracy, but not the physical sciences.";"";"😆 (1)";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"03-Mar-19 02:47 PM";"@peritonlogon it's cute that you point to the exact person I was talking about 🤣";"";"";
"232679450301431808";"blackjok3r#3181";"03-Mar-19 02:48 PM";"beelive what you want... the point of science is to make a new theory when something is disproiven not ignore all the data that disprves it.";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"03-Mar-19 02:48 PM";"`but not the physical sciences.`
then maybe you should learn ""the physical sciences"" so that you have standing in this conversation....";"";"💯 (1)";
