AuthorID;Author;Date;Content;Attachments;Reactions;
"405380797537976320";"Cryptoon#3362";"23-Nov-18 04:29 PM";"So what if people expecting a drop already sold, so who will be selling to make a drop happen?";"";"👍 (4)";
"242635006516658197";"jorian#4555";"23-Nov-18 04:30 PM";"🤷";"";"";
"377468542406098949";"Cassius#9158";"23-Nov-18 04:31 PM";"Yep. The trick is figuring out what 'everyone' thinks";"";"";
"405380797537976320";"Cryptoon#3362";"23-Nov-18 04:31 PM";"https://www.tradingview.com/x/lPtnv8if/";"";"";
"242635006516658197";"jorian#4555";"23-Nov-18 04:35 PM";"you could almost make a bot that buys and sells at bollinger borders";"";"";
"405380797537976320";"Cryptoon#3362";"23-Nov-18 04:45 PM";"indeed";"";"";
"219144762203176961";"Bittersweet#9376";"23-Nov-18 04:59 PM";"Almost";"";"";
"219144762203176961";"Bittersweet#9376";"23-Nov-18 04:59 PM";"Because if you did, you'd be broke";"";"";
"219144762203176961";"Bittersweet#9376";"23-Nov-18 05:00 PM";"👀";"";"";
"249256116150730753";"PHBA2061#2530";"23-Nov-18 05:14 PM";"exactly what I think as well,  the whales almost always do the opposite way of what the majority expect";"";"👍 (1)";
"345992331276713984";"Acura#2748";"23-Nov-18 05:36 PM";"WTS DEX & Bots";"";"";
"292419036929720331";"Reel Em In#1495";"23-Nov-18 05:59 PM";"seems arrr volume has drastically slowed down on dp. anyone know whats up with the  big increase on hush volume on dp?";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"23-Nov-18 06:49 PM";"`anyone know whats up with the big increase on hush volume on dp?`
because someone's finally willing to buy it?";"";"";
"405380797537976320";"Cryptoon#3362";"23-Nov-18 07:06 PM";"Thin orderbook and a couple of buys?";"";"";
"430818734530101248";"KomodoWorld#8282";"23-Nov-18 07:17 PM";"https://twitter.com/officialmcafee/status/938938539282190337";"";"🤦 (3),😂 (2),🍿 (2),abusedsmily (4)";
"249256116150730753";"PHBA2061#2530";"23-Nov-18 07:58 PM";"I wonder if he will eat his d*ck if btc doesn't  reach $500K by 2020";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"23-Nov-18 08:02 PM";"`simply have not understood the new mathematics`
hmmmm
`$4,098 > $16,600.00` I wonder if my utilities companies will accept that math when I write my checks this month....";"";"";
"430818734530101248";"KomodoWorld#8282";"23-Nov-18 08:03 PM";"@PHBA2061 he could be quite happy even in that case https://twitter.com/officialmcafee/status/976165863085756416";"";"😆 (2)";
"427867553784922113";"FishyGuts#5085";"23-Nov-18 09:55 PM";"*""It's mathematically impossible for me to lose this bet.""*";"";"";
"427867553784922113";"FishyGuts#5085";"23-Nov-18 09:56 PM";"Just like bubbles are mathematically impossible?";"";"";
"367790733501136899";"Vertigo#0439";"23-Nov-18 10:03 PM";"I bought BTC yesterday.";"";"";
"367790733501136899";"Vertigo#0439";"23-Nov-18 10:03 PM";"Took 25 minutes for first confirmation.";"";"";
"459065480511225878";"ryman112#0068";"23-Nov-18 10:19 PM";"Question.....So since BTC is incredibly slow at transactions and the volume is super high on sells does that mean we are seeing everything in a delay like really bad lag?  Such as if somebody bought a shit ton during this dip and it hasnt been confirmed due to the lag if you will?";"";"";
"459065480511225878";"ryman112#0068";"23-Nov-18 10:22 PM";"I guess what Im asking is if its so slow and buys are waiting so long for confirmation when the price actually goes up due to those buys we see it hours after they were executed correct?";"";"";
