AuthorID;Author;Date;Content;Attachments;Reactions;
"455741312273219595";"jl777c#5810";"08-Jul-18 08:20 PM";"@axo777 can you see this?";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 08:20 PM";"Now I do";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 08:21 PM";"Thanx";"";"";
"171359889921146880";"BlackJesus#6161";"08-Jul-18 08:52 PM";"What is this?";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 09:06 PM";"We are Komodo's latest asset.  Our market is Latin America, starting with Mexico.  Here is our logo:";"";"";
"390164262133432320";"Berg#2666";"08-Jul-18 09:12 PM";"I like it 😃";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 09:13 PM";"Learning how to post an image";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 09:20 PM";"Documentation says drag and drop, but it doesn't drop:";"";"";
"171359889921146880";"BlackJesus#6161";"08-Jul-18 09:38 PM";"Cool";"";"";
"171359889921146880";"BlackJesus#6161";"08-Jul-18 09:38 PM";"Welcome";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 09:38 PM";"Thank you";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 09:39 PM";"but I cannot drag n drop or open file";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 09:39 PM";"so how do I get the logo in here?";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 09:40 PM";"Maybe becuz this is windows?";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 10:06 PM";"Found the problem";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 10:07 PM";"Cannot drag n  drop images for some reason, probably becuz the + button to open files is not on this copy of the Discord";"";"";
"403137719049519106";"Audo#5667";"08-Jul-18 10:09 PM";"@axo777 try now, you should be able to upload";"";"";
"461335333339004933";"axo777#1232";"08-Jul-18 10:10 PM";"Thank you.  Just like magic the button is there!!";"";"";
