AuthorID;Author;Date;Content;Attachments;Reactions;
"371114647052615681";"Mylo#8306";"03-Aug-18 09:25 AM";"🔥";"";"";
"354615658148790275";"sφldat#8733";"03-Aug-18 01:10 PM";"https://twitter.com/CryptoVortek/status/1025037243935645697";"";"";
"359706985069019137";"DLT Novice#2835";"04-Aug-18 10:16 AM";"some mechanisms employed / planned that may benefit HEAT coin exchange rates:

1. relation to HL tokenized shares and options -> dividends
2. need for tx fees paid in HEAT on the DEX, for both crypto exchange of existing and new coins, and 3rd party tokenized equity exchange
3. need for tx fees for microservices
4. need for tx fees for 3rd party app usage of the HEAT blockchain
5. need for tx fees for messaging suite
6. requirement for tx fees related to benchmarking gamification platform
7. requirement for tx fees related to various gaming solutions on HEAT chain
8. demand on the markets when the previous mechanisms are understood en masse
9. the possibility for HL Ltd to acquire majority / all of HEAT coins on the market, and the knowledge of this for the public
10. the traditional process of coin demand arising for the Unique Sales Points of the HEAT technology and ecosystem infrastructure currently in progress on several fronts related to parts 1-9.";"";"";
"359706985069019137";"DLT Novice#2835";"04-Aug-18 10:18 AM";"As for the speculation about the usefulness of company revenue to the HEAT coin, those two aspects are planned to become intricately correlated with each other. The tokenized shares from the company may receive dividends from yearly profits, which are already planned fairly nice from the past two years for the future shareholders. The shares are planned to be sold not only for BTC and EUR, but carefully considered price level of HEAT also. By all odds balancing the initial discrepancy between BTC, EUR and HEAT price, the tokenized shares' entitlement for the quick dividends and yearly dividends is planned to stabilize HEAT coin's price towards that incepted by the BTC and EUR valuation of the shares.";"";"";
"359706985069019137";"DLT Novice#2835";"04-Aug-18 10:19 AM";"Hi guys! This week has been good for HL. We've been concluding the contract with the partner - licensed EUR e-wallet combined with high profile public blockchain ICO using the HEAT tech. Finally signing the agreement last night, this is a considerable milestone in finally beginning to bring in significant revenue for the company. Although using dynamic pricing based on performance fee, the minimum value of the deal offsets most company expenses for the past years and has the capacity for much more if the ICO and eventual business are successful. This was achieved with the single partnership. As hinted previously we do have several partnerships / customers of similar scale pending, however as seen now finalizing them often may take more than one year from starting the discussions.

Not only that, we managed to bring the benchmarking suite to a functional testing phase inhouse, with UI tuneups now ongoing for the public release later this month. Alexey already demonstrated 1300 tps on a single client without a slightest hickup on the server side. Combined with marketing efforts, our expectations on the effect and implications of releasing this suite are big, unfortunately we still have to wait a little until Theo finishes the current adjustments and Dennis returns from a break to finalize the public release!";"";"";
"448829257645555712";"Flexatron#8809";"04-Aug-18 03:17 PM";"Yi boy";"";"";
"448829257645555712";"Flexatron#8809";"04-Aug-18 03:24 PM";"HEAT coming in full force this month";"";"";
"429101104480124929";"jspook16#3059";"11-Aug-18 04:57 AM";"where can i get some heat?";"";"";
"303794669945618442";"PTYX#6840";"11-Aug-18 06:40 PM";"Under the sun:trollface:";"";"";
"359706985069019137";"DLT Novice#2835";"16-Aug-18 06:40 PM";"HeatHQYesterday at 2:03 PM
Getting closer to the August releases becoming public. Dennis also has been back at work for all of this week as indicated earlier. Some fresh winds these days and weeks at HQ pumping up the staff expansion plans for both onsite and remotely in co-op with both of our now two licensed e-money partners. Development on co-ops and the numerous large inhouse projects are forcing us to ramp up more focused personnel resources (exclusive, which is a game we've been avoiding except for the core team)  on both tech and marketing areas.";"";"";
"359706985069019137";"DLT Novice#2835";"19-Aug-18 06:45 AM";"cryptopia lists HEAT";"";"";
"359706985069019137";"DLT Novice#2835";"19-Aug-18 07:22 AM";"@jl777c are you still working with the Heat team? Any progress on your end?";"";"";
"455741312273219595";"jl777c#5810";"19-Aug-18 01:31 PM";"i give advice if I am asked, but it is not in C so I cant help directly with coding";"";"";
"448829257645555712";"Flexatron#8809";"29-Aug-18 07:28 PM";"Private benchmark testing is going well";"";"";
"448829257645555712";"Flexatron#8809";"29-Aug-18 07:28 PM";"Reached 2700ish tps";"";"";
"448829257645555712";"Flexatron#8809";"29-Aug-18 07:28 PM";"Limited by the hub counting the tx's";"";"";
"448829257645555712";"Flexatron#8809";"29-Aug-18 07:29 PM";"One user with account bet1000tps has been selling and depressing the price for a while now";"";"";
"448829257645555712";"Flexatron#8809";"29-Aug-18 07:30 PM";"He has sold more than a million heat in a relatively small timespan";"";"";
"448829257645555712";"Flexatron#8809";"29-Aug-18 07:30 PM";"He is almost done selling so take your chance if you want to get in cheap";"";"";
"426545771568168960";"Hegelian#0018";"07-Sep-18 10:41 AM";"What is this project?";"";"";
"426545771568168960";"Hegelian#0018";"07-Sep-18 10:41 AM";"Any offical links to website, whitepaper etc?";"";"";
"354615658148790275";"sφldat#8733";"07-Sep-18 12:28 PM";"@Hegelian https://heatledger.com/ 
https://heatnodes.org/?page_id=329";"";"";
"448829257645555712";"Flexatron#8809";"07-Sep-18 05:58 PM";"https://github.com/Heat-Ledger-Ltd";"";"";
"426545771568168960";"Hegelian#0018";"08-Sep-18 06:55 AM";"WoW high frequency trading ?";"";"";
"426545771568168960";"Hegelian#0018";"08-Sep-18 06:55 AM";"This project sounds amazing!";"";"";
"426545771568168960";"Hegelian#0018";"08-Sep-18 06:59 AM";"How is HEAT connected to the komodo ecosystem?";"";"";
"448829257645555712";"Flexatron#8809";"08-Sep-18 07:30 AM";"SuperNET invested quite some";"";"";
"448829257645555712";"Flexatron#8809";"08-Sep-18 07:30 AM";"Other than that, no idea";"";"";
"426545771568168960";"Hegelian#0018";"08-Sep-18 10:18 AM";"Is HEAT like any other coin in that I can buy off exchange and then download offical wallet and send to that address and I will have the private key to that address?";"";"";
"426545771568168960";"Hegelian#0018";"08-Sep-18 10:19 AM";"So I can then delete that wallet and only need my PK and can access the coins at anytime in the future?";"";"";
"426545771568168960";"Hegelian#0018";"08-Sep-18 10:21 AM";"What's the total supply?";"";"";
"448829257645555712";"Flexatron#8809";"08-Sep-18 11:21 AM";"It uses a brain wallet , bip44 compatible as far as I know";"";"";
"448829257645555712";"Flexatron#8809";"08-Sep-18 11:21 AM";"36M or so";"";"";
"448829257645555712";"Flexatron#8809";"08-Sep-18 11:22 AM";"The cap is ridiculously low atm";"";"";
"456121385966764052";"titomane#3101";"14-Sep-18 11:07 AM";"Is it possible full node on command line or only GUI?";"";"";
"354615658148790275";"sφldat#8733";"14-Sep-18 01:03 PM";""" verymuchso
Hi everyone sorry to bother you. But please be sure to checkout HEAT Wallet 2.7.0 with Bitcoin support and HEAT Server 2.5.2 with new binary p2p dialect.
More info here https://github.com/Heat-Ledger-Ltd/heat-ui/blob/master/docs/GETTING_STARTED.md and here https://bitcointalk.org/index.php?topic=1959885.msg45677615#msg45677615 """;"";"";
"448829257645555712";"Flexatron#8809";"15-Sep-18 01:33 PM";"Great work";"";"";
"448829257645555712";"Flexatron#8809";"09-Oct-18 01:08 PM";"The team is growing, seems to may finally go into the right direction";"";"";
"427867553784922113";"FishyGuts#5085";"10-Oct-18 07:34 PM";"Hey guys, I just want to let you know I have had a KMD tipbot made for KMD discord.  
If you have your own discord, it will work there for KMD and you are free to use it.   

DM me for the link and I will get you setup with the creator.";"";"";
"392963089743609858";"Catalyst#8405";"20-Oct-18 11:08 AM";"is the tip bot down?";"";"";
"354615658148790275";"sφldat#8733";"20-Oct-18 11:26 AM";"@KMD TipBot";"";"";
"499325474128920597";"KMD TipBot#0077";"20-Oct-18 11:26 AM";"yes?";"";"";
"403137719049519106";"Audo#5667";"13-Nov-18 10:08 PM";"Hey Komodo Projects,

Komodo team is looking to know better the projects which are building with Komodo. We ask you to fill out this form so that we get information about each project and the rapidly growing ecosystem.

https://airtable.com/shrKBzMwUddQ4ggET";"";"";
"359706985069019137";"DLT Novice#2835";"14-Nov-18 06:37 AM";"@jl777c .. With your connection with heat. Would you advise if the latest pos security technology advances would help heat.. How about maidsafe new PARSEC concensus tech. Also I assume DPOW could help a pos chain or not so..";"";"";
"359706985069019137";"DLT Novice#2835";"14-Nov-18 06:38 AM";"New heat wallet and server release just around the corner";"";"";
