AuthorID;Author;Date;Content;Attachments;Reactions;
"156115366983106560";"Llama#1330";"13-Nov-18 08:00 PM";"im on windows";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:00 PM";"can't recommend using it, but there's a precompiled version of komodod in the github link I posted above";"";"";
"365714438864633856";"dukeleto#7326";"13-Nov-18 08:01 PM";"getting 2 Sol/s on 1 CPU, like a boss";"";"";
"365714438864633856";"dukeleto#7326";"13-Nov-18 08:02 PM";"is there a particular channel for OTC of ZEX, or is it this channel?";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:02 PM";"lol mini went from getting 100s of coin every payout to <1 on joker's pool in a few hours";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:02 PM";"why OTC?";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:03 PM";"it's on digitalprice";"";"";
"398175264066109440";"riddler18k#0791";"13-Nov-18 08:03 PM";"45.77.56.175  is dead?";"";"";
"365714438864633856";"dukeleto#7326";"13-Nov-18 08:03 PM";"i am interested in VRSC for ZEX";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:03 PM";"@riddler18k no";"";"";
"440969153227259914";"jansako#3330";"13-Nov-18 08:03 PM";"restarted";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:04 PM";"duke, have ZEX or want ZEX";"";"";
"365714438864633856";"dukeleto#7326";"13-Nov-18 08:04 PM";"i have no ZEX, looking to trade VRSC for ZEX";"";"";
"398175264066109440";"riddler18k#0791";"13-Nov-18 08:05 PM";"thanks";"";"";
"398175264066109440";"riddler18k#0791";"13-Nov-18 08:05 PM";"anyone got link to see the workers on that pool?";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:06 PM";"http://45.77.56.175:8080/workers";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:06 PM";"I just restarted it ... a few miners got banned";"";"";
"398175264066109440";"riddler18k#0791";"13-Nov-18 08:07 PM";"thanks mate";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:07 PM";"It had no protection on it ... I added validate address, and added a 50% rejected share ban";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:08 PM";"one difficulty finishes leveling back out it will be fine, nearly back to normal ... Seems 1% fee is working aswell...";"";"";
"455741312273219595";"jl777c#5810";"13-Nov-18 08:12 PM";"@Llama i dont think there is an updated windows version yet. @SHossain";"";"";
"455741312273219595";"jl777c#5810";"13-Nov-18 08:13 PM";"jl777 repo, beta or dev branch";"";"";
"455741312273219595";"jl777c#5810";"13-Nov-18 08:13 PM";"from today";"";"";
"242635006516658197";"jorian#4555";"13-Nov-18 08:13 PM";"@dukeleto how many ZEX do you want for 1 VRSC?";"";"";
"412323938782150658";"SHossain#0007";"13-Nov-18 08:16 PM";"we are working on new version of Agama";"";"";
"412323938782150658";"SHossain#0007";"13-Nov-18 08:31 PM";"";"https://cdn.discordapp.com/attachments/511824243772620800/512001633379549184/Screenshot_from_2018-11-13_20-31-24.png";"";
"412323938782150658";"SHossain#0007";"13-Nov-18 08:31 PM";"looks someone did the first trade";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:33 PM";"dump ?";"";"";
"156115366983106560";"Llama#1330";"13-Nov-18 08:33 PM";"DUMP";"";"";
"412323938782150658";"SHossain#0007";"13-Nov-18 08:33 PM";"yeah";"";"";
"242635006516658197";"jorian#4555";"13-Nov-18 08:33 PM";"damp";"";"";
"440969153227259914";"jansako#3330";"13-Nov-18 08:33 PM";"Massive dump... PANIC! 😃";"";"";
"242635006516658197";"jorian#4555";"13-Nov-18 08:33 PM";"load ze fud";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:41 PM";"I’ll buy 10.000 @ 0.01kmd ea";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"13-Nov-18 08:41 PM";"lol";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:41 PM";"Dump your load on me genie";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"13-Nov-18 08:42 PM";"_slowly walks away from that sentence...._";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:42 PM";"😂";"";"";
"447839051933024266";"c2k#4915";"13-Nov-18 08:45 PM";"@ComputerGenie 👴🏼📢  ...should be quickly, VERY quickly
🔫";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:46 PM";"You guys have dirty minds tbh";"";"";
"398175264066109440";"riddler18k#0791";"13-Nov-18 08:46 PM";"45.77.56.175:3030 - pool - Error: Read timed out 😦";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:46 PM";"I am obviously referring to him emptying his big bags on me";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:46 PM";"Bags of zex";"";"";
"334026025103130624";"wookie#7663";"13-Nov-18 08:46 PM";"Out of curiosity, why were miners banned? @blackjok3r";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:46 PM";"Before tou guys get any idea";"";"😂 (1)";
"405011811511828481";"Alright#0419";"13-Nov-18 08:46 PM";"@Cryptoon just use digitalprice for offers";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:46 PM";"leave it up and see what happens";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:47 PM";"invalid shares @ComputerGenie 👴🏼📢";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:47 PM";"its NH ... after you restart it floods share not found then PoW errors like crazy";"";"";
"405380797537976320";"Cryptoon#3362";"13-Nov-18 08:47 PM";"But you are not really able to get coins on there I understood from above @Alright";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:47 PM";"all the normal rigs (lower difficulty) seem to correct instantly'";"";"";
"405011811511828481";"Alright#0419";"13-Nov-18 08:47 PM";"What's stopping you";"";"";
"334026025103130624";"wookie#7663";"13-Nov-18 08:48 PM";"Ah I see, ok, whew...not me then😅";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:48 PM";"woops lol";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:48 PM";"same logo";"";"";
"232679450301431808";"blackjok3r#3181";"13-Nov-18 08:48 PM";"sorry dude";"";"";
