AuthorID;Author;Date;Content;Attachments;Reactions;
"405011811511828481";"Alright#0419";"25-Oct-18 08:12 PM";"there's another really simple dos vector";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:12 PM";"besides that bug";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"25-Oct-18 08:12 PM";"`jok3r seems to have a KMDICE pool killer script
running

AlrightToday at 3:11 PM
based on what?`
Based on what he said he was doing";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:13 PM";"where did he say that";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"25-Oct-18 08:13 PM";"somewhere back where he posted screenshots";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:13 PM";"we assumed that because his butt hurts";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:13 PM";"just kidding";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"25-Oct-18 08:13 PM";"no, I think he was doing same as I was, an auto-play script";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:13 PM";"no he was not really destroying it right? more like testing";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:14 PM";"yes, playing";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:14 PM";"it works, I tested it";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:14 PM";"prevents people from betting";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"25-Oct-18 08:15 PM";"methinks it would have been far worse than 300-400 if it were intentionally to do damage";"";"";
"455741312273219595";"jl777c#5810";"25-Oct-18 08:15 PM";"uses up all entropy tx and also gets the mempool to where it cant be mined";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:15 PM";"separate isssue from the mempool thing entirely";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:16 PM";"even after that is fixed, this still exists";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:16 PM";"min bet needs to be upped";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:16 PM";"or just 1000s and 1000s of entropy UTXOs at all times";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:16 PM";"like enough to where the script won't spend them all before the next block is found";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"25-Oct-18 08:17 PM";"most of those 300 were a bet of 1+";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:18 PM";"separate isssue from the mempool thing entirely";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"25-Oct-18 08:18 PM";"ok, I'm going back to bed now 👋🏼";"";"";
"455741312273219595";"jl777c#5810";"25-Oct-18 08:22 PM";"not getting blocks makes thing massively worse";"";"";
"455741312273219595";"jl777c#5810";"25-Oct-18 08:22 PM";"new block create the entropy tx from the change";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:28 PM";"someone try bets, want to see how effective this is";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:37 PM";"@jorian @siu - Chainmakers needs to raise min bet of the dice plan, add entropy utxos constantly or have multiple diceplans";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:37 PM";"eating up all the UTXOs every block is cheap as dirt";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:37 PM";"wallet can't handle all those utxos";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:38 PM";"what do you mean?";"";"";
"412323938782150658";"SHossain#0007";"25-Oct-18 08:38 PM";"use latest FSM branch";"";"";
"412323938782150658";"SHossain#0007";"25-Oct-18 08:39 PM";"rather than dev or beta";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:39 PM";"my server got slow with all those utxos i sent";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:39 PM";"am rebooting now";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:39 PM";"I already ate up every single one";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:40 PM";"see my point here? 😅";"";"";
"412323938782150658";"SHossain#0007";"25-Oct-18 08:40 PM";"UTXO eater!";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:40 PM";"hehe";"";"";
"242635006516658197";"jorian#4555";"25-Oct-18 08:40 PM";"so now what?";"";"";
"405011811511828481";"Alright#0419";"25-Oct-18 08:40 PM";"somehow raise minbet?";"";"";
