AuthorID;Author;Date;Content;Attachments;Reactions;
"396753788150611968";"B. Gültekin Çetiner#0626";"29-Jun-19 05:51 AM";"What do you mean by global address? Is it blockchain fund in third layer? If it can be spent from there it is best solution. We need to start the chain with ac_perc. This is actually what we discussed. If we can spend from the blockchain fund it will solve the problem. Suppose I am a holder/issuer/endorser, I have enough activated or boosted but not enough normal to cover small fee. This should be spendable from the blockchain fund. Then this blockchain fund may be used for transferring baton to issuer as well. Is it difficult or impossible technically?";"";"";
"507209916449292303";"dimxy#2587";"29-Jun-19 11:58 AM";"The 'global address' is a feature common for every komodo cc contract. This address might be used for various purposes. It is like a shared account. Although anyone might spend funds from this address this spending is controlled by the validation code.
Currently in marmara this address is used for storage of markers, that is, small amounts on this address which allow to enumerate the transactions which have such an utxo. By this we can find all 'marmaraissue' transactions for open credit loops.
The marmara validation code will allow to spend such markers for the settlement transactions and by this close the credit loop.
And yes we can store marmara's backup fund on this adddress too.";"";"";
"396753788150611968";"B. Gültekin Çetiner#0626";"29-Jun-19 12:14 PM";"Can we start a new test chain such as MCL1 with the common blockchain fund? This is stated in requirements document as the third layer for protection against nonredemption. In case of insufficient normal funds but with enough activated/boosted, this fund may be utilized. Perhaps It may be utilized for transferring baton to issuer at the end when the credit loop expires.";"";"";
"507209916449292303";"dimxy#2587";"29-Jun-19 12:28 PM";"Yes I think we can a new chain which would allow to use common fund to cover normal accounts with insufficient amounts on them.
To allow a miner to transfer the baton we should change the way of baton's storage: now the baton is on the holder's pubkey and no one except him can move the baton. To allow a miner to move it we should store the baton on some special address (like 1of2 address of endorser pk+global pk) which would allow both endorser and miner to move the baton. Plus we will need to write very carefully the validation code to prevent moving the baton in all cases except the settlement.";"";"";
"507209916449292303";"dimxy#2587";"29-Jun-19 01:19 PM";"But from the previous messages I understood we may avoid returning the baton to the issuer after the settlement. How will it be used after it is returned to the issuer?
If we can avoid it I'd suggest maybe not to change this. It seems to me the storing the baton on the loop participant's pubkey is simple solution and does not involve additional transaction validation";"";"";
"396753788150611968";"B. Gültekin Çetiner#0626";"29-Jun-19 02:03 PM";"Which one is easier and more efficient? You don’t need to change if it is easier to avoid transferring. Please feel free on that. But can we still use the idea of common fund to cover insufficient normal accounts with enough activated/boosted during settlement?";"";"";
"507209916449292303";"dimxy#2587";"29-Jun-19 02:33 PM";"I'd say this is not about which one is easier. It is more like what is needed. I noticed in the chat messages that we are going to use moving the baton back to the issuer to indicate that the loop is closed. But we also have another feature for the same task - the marker. We already do spending the marker at the settlement to closed the loop. Maybe this will solve that task. 
But if not, and we need to move the baton to the issuer for some other reasons, let's do this.

Yes the common fund feature will be implemented, I cannot see any problems to do this.";"";"";
"455741312273219595";"jl777c#5810";"29-Jun-19 03:21 PM";"i suggest not changing the baton handling, it serves no purpose other than to match the spec. it is much easier and safer to change the spec on this detail";"";"";
"150437093879840768";"Paro#7842";"29-Jun-19 04:16 PM";"@dimxy 5 pk test 
http://prntscr.com/o8cfuq";"";"";
"396753788150611968";"B. Gültekin Çetiner#0626";"29-Jun-19 04:23 PM";"Ok. Please let us not transfer the baton back to issuer. A marker/flag is enough to show whether a loop is closed/settled. I will change the specification in document.";"";"👍 (1)";
"531271752828059658";"zekigulen#6135";"29-Jun-19 04:59 PM";"Is the 3x satking mode of the ""TotalLockedInLoop"" balance enabled? We want to test it.";"";"";
"507209916449292303";"dimxy#2587";"29-Jun-19 06:23 PM";"@zekigulen  yes, enabled.
Actually the algorithm of adding staking utxos adds all available activated utxos and then lock-in-loop utxos to staking array,for the miner's -pubkey pk";"";"👍 (1)";
"507209916449292303";"dimxy#2587";"29-Jun-19 06:28 PM";"@Paro seems the settlement worked all right, the issuer and endorsers spent 1.25 coins each and the holder received 5 coins except tx fees (I think tx fees spending needs to be checked too)";"";"👍 (1)";
"150437093879840768";"Paro#7842";"29-Jun-19 10:27 PM";"I think we should check.";"";"👍🏽 (2)";
"396753788150611968";"B. Gültekin Çetiner#0626";"30-Jun-19 01:00 PM";"How are you planning to test? @Paro Any idea? @dimxy";"";"";
"150437093879840768";"Paro#7842";"30-Jun-19 02:35 PM";"simple  We'il check ""BatonTX"".";"";"";
"150437093879840768";"Paro#7842";"30-Jun-19 02:39 PM";"""batons"" here https://docs.google.com/document/d/1Z46-uUVPkEIAR2uRPL4H6ZZ70imb9hP5Cc_Kj0OZ0HM/edit";"";"";
"150437093879840768";"Paro#7842";"30-Jun-19 02:39 PM";"we find : http://explorer.marmara.io/";"";"";
"150437093879840768";"Paro#7842";"30-Jun-19 02:51 PM";"no problem. ""fee"" fees are normal.";"";"";
"507209916449292303";"dimxy#2587";"30-Jun-19 04:58 PM";"I believe I was careful with tx fees, but maybe I missed something😀";"";"";
"507209916449292303";"dimxy#2587";"30-Jun-19 05:04 PM";"About testing of staking I think we could have for example two PoS nodes and provide that one of them has only activated and another one only lock-in-loop amount (by issuing a credit for all available activated), and then see how the staking multipliers work on PoS block distribution among two of them.";"";"👍🏽 (1)";
"150437093879840768";"Paro#7842";"01-Jul-19 10:49 AM";"We'il start a 3-day test.   3x for ""staking"" test.";"";"👍🏼 (2)";
"396753788150611968";"B. Gültekin Çetiner#0626";"01-Jul-19 01:03 PM";"Great! In the mean time, we can plan other boosted staking tests with several pubkeys in credit Loops.";"";"";
"150437093879840768";"Paro#7842";"01-Jul-19 10:19 PM";"@dimxy  Why such ""30.00015"" MCL turns out by the way?

http://explorer.marmara.io/tx/67266521aa0b573e08a7d3f943fa40a687a059edc4fe5f96134f328dd8aedb36";"";"";
