AuthorID;Author;Date;Content;Attachments;Reactions;
"412323938782150658";"SHossain#0007";"04-Dec-18 12:12 PM";"@blackjok3r can you please add support for private coins as well?";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 12:13 PM";"I can try that";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 12:13 PM";"in general, they dont need the spicial coinbase ...";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 12:14 PM";"I think webworker made pirate workign pool.";"";"";
"412323938782150658";"SHossain#0007";"04-Dec-18 12:14 PM";"yes, he was working on the pirate pool";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 01:31 PM";"I copies some of his code to get mine working. I think it was just a small change he copied from verus though.";"";"";
"232679450301431808";"blackjok3r#3181";"04-Dec-18 01:32 PM";"For private only chains, it seems kind of required to take the pool fee out from the coinbase as normal, otherwise the pool OP could easily steal coins and the miners wouldnt know about it.";"";"👆 (1),😇 (1)";
"455623042912092161";"at#4177";"24-Dec-18 06:43 PM";"what are the vps requirements to run a pool";"";"";
"455623042912092161";"at#4177";"24-Dec-18 06:44 PM";"i have decent amount of hash was going to solo mine but id be up for operating a pool...";"";"";
"414128958326571008";"Hermes#6934";"26-Dec-18 06:55 PM";"#talk-mining  will be better to ask there";"";"";
"345992331276713984";"Acura#2748";"30-Dec-18 09:02 AM";"kicked";"";"";
"412323938782150658";"SHossain#0007";"16-Jan-19 08:10 PM";"Dear members. We would like to encourage our community to help new members in #support and #deleted-channel channel and optionally on other channels. We will be awarding 5 KMD bounty for the best support cases via our Tipbot. This would encourage users to get a more diverse experience with our tech and products. As a whole, this will build knowledgable and resourceful Komodo community.
Learn, help, spread the knowledge and may the force be with you.

Advice to users:
- Please don't provide or post your private key
- Always keep yourself safe and your data safe
- If you are unsure about anything, please ask
- Using TeamViewer is not recommended and may bring security risk";"";"👌 (1)";
"420119978138664961";"CHMEX#0686";"11-Feb-19 11:25 AM";"also a very cool thing would be to how dpow protected on a transaction shown on the explorer
something like that

I can offer 200 KMD if somebody can do that";"https://cdn.discordapp.com/attachments/476734638652653600/544479179886821395/unknown.png";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 12:07 PM";"issue a getrawtransaction and if ""confirmations"" == ""rawconfirmations"" -> set ""protected by dPoW""";"";"";
"420119978138664961";"CHMEX#0686";"11-Feb-19 12:34 PM";"@Decker mighty insight master. Do you think that is a lot of work? Is that something you can do?";"";"";
"405011811511828481";"Alright#0419";"11-Feb-19 09:44 PM";"@webworker01 was helpful in getting import/exports txs shown properly on LABS explorers, maybe he's interested?";"";"";
"405011811511828481";"Alright#0419";"11-Feb-19 09:45 PM";"Is anyone willing to chip in for a bounty to show all CC txs properly? Right now I believe CC vouts simply aren't shown";"";"";
"232679450301431808";"blackjok3r#3181";"12-Feb-19 02:28 AM";"I looked at doing something like that when I was messing with MoMoM, web helped link the explorers together but I got most of it working with some of his advice. I didnt like it, but its not that bad. The rpoblem is, not the explorer so much but making the RPCs match the explorer. For instance MoMoM I had to heavily modify 2 repos for explorer and 2 or 3 RPC calls in komodod....";"";"";
"420119978138664961";"CHMEX#0686";"12-Feb-19 06:18 AM";"Decker volunteered to do it we just need to decide on the design";"";"";
