AuthorID;Author;Date;Content;Attachments;Reactions;
"499096895474368523";"ashwin#5867";"06-Nov-18 11:41 PM";"when adding faucetfund i receive an error on client side `couldn't create faucet funding` and server output `nValue too small or already spent in mempool`";"";"";
"455741312273219595";"jl777c#5810";"12-Nov-18 08:11 PM";"what is the exact rpc call you are doing?";"";"";
"499096895474368523";"ashwin#5867";"13-Nov-18 07:15 PM";"Thanks. I actually found out the issue.";"";"";
"499096895474368523";"ashwin#5867";"13-Nov-18 07:17 PM";"@jl777c  When starting a new komodod it requires a default config file to be created by the user. I would be nice if the system could look for a config file, if not present, should automatically create a new config file with default configurations. If it is required i can implement it.";"";"";
"455741312273219595";"jl777c#5810";"13-Nov-18 07:24 PM";"it does create a default config file for assetchains";"";"";
"499096895474368523";"ashwin#5867";"13-Nov-18 08:16 PM";"I'm always prompted to create a default config file.";"";"";
"499096895474368523";"ashwin#5867";"13-Nov-18 08:16 PM";"Let me cross check it again.";"";"";
"499266534317752322";"Kalyan#1867";"19-Nov-18 09:56 PM";"Hi, I am trying to install Komodo in my Ubuntu 16.04 (4gb ram). 
when I issue the command: ./zcutil/build.sh -j4 (using 4 threads), its ran for more than 1 hour and hung my laptop. 
Is my laptop memory too low to install Komodo?";"";"";
"455741312273219595";"jl777c#5810";"19-Nov-18 10:10 PM";"maybe -j1 for a low mem system";"";"";
"455741312273219595";"jl777c#5810";"19-Nov-18 10:10 PM";"just run build.sh again, it should resume where it stopped";"";"";
"136534544470900736";"benohanlon#1119";"10-Dec-18 06:06 PM";"This channel is being combined with #dev-students. Please use that channel for future discussion.";"";"";
