AuthorID;Author;Date;Content;Attachments;Reactions;
"448777271701143562";"smk762 -  dracocanis ominator#7640";"09-Mar-19 02:19 AM";"`CFEKSTATS`";"";"";
"405011811511828481";"Alright#0419";"09-Mar-19 02:19 AM";"any time you find yourself doing some convoluted combo of rpcs commands to get some specific data, ask yourself ""Could joker make an rpc for this?""";"";"";
"405011811511828481";"Alright#0419";"09-Mar-19 02:19 AM";"🤣";"";"";
"405011811511828481";"Alright#0419";"09-Mar-19 02:19 AM";"😂";"";"😃 (1)";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"09-Mar-19 02:20 AM";"it gets data hourly, so block time can be slower than bitcoin 😃";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"09-Mar-19 02:20 AM";"lol";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"09-Mar-19 02:20 AM";"yeah, there's a `getblocksubsidy` RPC which was nice";"";"";
"405011811511828481";"Alright#0419";"09-Mar-19 02:20 AM";"that only includes literal miner subsidy";"";"";
"412482228359266328";"CrisF#3405";"09-Mar-19 02:20 AM";"Would a `CFEKSTATS` and a `LABSTATS` be any good?";"";"";
"405011811511828481";"Alright#0419";"09-Mar-19 02:20 AM";"not anything special like ac_script or ac_pubkey stuff";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"09-Mar-19 02:20 AM";"working out notary pay needs getinfo, get key values, slice, and a bunch of if/then/else";"";"";
"405011811511828481";"Alright#0419";"09-Mar-19 02:21 AM";"@CrisF yes we need a chain to post our tattoos on";"";"🤣 (2)";
"412482228359266328";"CrisF#3405";"09-Mar-19 02:22 AM";"Yeah, if can cancel out chains like that it's unnecessary.";"";"";
"412482228359266328";"CrisF#3405";"09-Mar-19 02:22 AM";"`CFEKTATS` = clusterfek tats :abusedsmily:";"";"";
"405011811511828481";"Alright#0419";"09-Mar-19 02:24 AM";"Plan to get KMD logo tatted when it hits $10B mcap";"";"";
"412482228359266328";"CrisF#3405";"09-Mar-19 02:27 AM";"🦎";"";"";
