AuthorID;Author;Date;Content;Attachments;Reactions;
"335726849869217797";"차미숙#8912";"09-Aug-19 05:18 PM";"I just had a thought";"";"";
"335726849869217797";"차미숙#8912";"09-Aug-19 05:18 PM";"What if i want to trade kmd to btc";"";"";
"335726849869217797";"차미숙#8912";"09-Aug-19 05:18 PM";"And the orders are like tinder style?";"";"";
"335726849869217797";"차미숙#8912";"09-Aug-19 05:18 PM";"If I want to trade that ratio I swipe right lol";"";"😂 (1)";
"231533083818590211";"Oszy#5734";"09-Aug-19 06:03 PM";"include catfishing as well? you click the ratio but actual trade executes on a different price 😂";"";"";
"358829341020520470";"27aume#8635";"09-Aug-19 07:37 PM";"First nice little profit trade completed 👌";"https://cdn.discordapp.com/attachments/584762059430821909/609470313016721429/Screenshot_20190809-153615.jpg";"👍 (2),3040_kingpeepo (3)";
"366095202005286916";"vichiet#4058";"10-Aug-19 09:26 AM";"Hello I install the new version and it very slow and freeze ( galaxy note 8)";"";"";
"178598572172771329";"StEvUgnIn#7116";"10-Aug-19 09:28 AM";"Congrats @jl777c";"";"";
"601037633619099648";"GitHub#0000";"10-Aug-19 09:40 AM";"";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 09:41 AM";"fully uninstall and reinstall the app if you have poroblems after the update";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 09:44 AM";"UI/UX is very laggy / freezing in new version can confirm.";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 09:44 AM";"almost unusable";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 09:52 AM";"I am taking it back, my phone went crazy, interestingly it only affected Atomicdex 😄";"";"";
"272003866906722306";"TonyL#3577";"10-Aug-19 09:55 AM";"Thats very strange, working without lags even on my very old Xiaomi Redmi S3";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 09:56 AM";"for some reason when my phone was  on charger it went laggy 😂";"";"";
"375074477756645386";"ca333#0118";"10-Aug-19 10:06 AM";"@Oszy can you confirm the UI is laggy? @TonyL plz check.";"";"";
"272003866906722306";"TonyL#3577";"10-Aug-19 10:09 AM";"@ca333 checked already on all devices I have - works as usual for me";"";"👍 (1)";
"417671530642931713";"Andersen#8337";"10-Aug-19 11:11 AM";"Checked  016  ver.  install  and  orders  creation fast  as usual.  Noname  android";"";"";
"455283678939971585";"dudezmobi#1945";"10-Aug-19 11:24 AM";"287182b5-c2d4-4ea6-a973-43659c013059";"";"";
"455283678939971585";"dudezmobi#1945";"10-Aug-19 11:24 AM";"Can you check this atomic swap. 1 hour still ongoing eth to kmd";"";"";
"455283678939971585";"dudezmobi#1945";"10-Aug-19 11:25 AM";"Ver 0.1.6";"";"";
"455283678939971585";"dudezmobi#1945";"10-Aug-19 11:25 AM";"Android";"";"";
"455283678939971585";"dudezmobi#1945";"10-Aug-19 11:28 AM";"Transaction detail:
Amount: -0.0490167500083028 ETH
Date: 10 Aug 2019 18:41
Block: 8322408.0
Confirmations: 200
Fee:  ETH
To 0x8500AFc0bc5214728082163326C2FF0C73f4a871
Tx Hash: 36315ac3e681e89bdac2d7cadb983fc37e7768ea49267d0daf420832de1e8980";"";"";
"455283678939971585";"dudezmobi#1945";"10-Aug-19 11:28 AM";"Eth proceeded. But kmd did not arrive";"";"";
"601037633619099648";"GitHub#0000";"10-Aug-19 11:31 AM";"";"";"";
"601037633619099648";"GitHub#0000";"10-Aug-19 11:36 AM";"";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 12:25 PM";"@ca333  it still happens, dont know the reason why, i just restarted the app and it's lagging again";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 12:26 PM";"reason of my restart was BCH was stuck on activating";"";"";
"231533083818590211";"Oszy#5734";"10-Aug-19 12:27 PM";"but cant replicate, it's random";"";"";
