AuthorID;Author;Date;Content;Attachments;Reactions;
"401454267812151298";"zatJUM#9924";"17-Jul-18 06:26 PM";"no SHA256SUMS for v0.1.0-a10?";"";"";
"404400410946961420";"sindresorhus#8187";"17-Jul-18 07:47 PM";"@zatJUM Added now. I had some problems with GPG earlier.";"";"👌 (1)";
"414128958326571008";"Hermes#6934";"17-Jul-18 07:56 PM";"HI there saw this error while login on Mac   Error: Failed to construct 'WebSocket': The URL 'undefined' is invalid.
    at new MarketmakerSocket (app://-/bundle.js:88698:14)
    at app://-/bundle.js:88161:19
    at Generator.next (<anonymous>)
    at step (app://-/bundle.js:88104:191)
    at app://-/bundle.js:88104:361
    at <anonymous>";"";"";
"401454267812151298";"zatJUM#9924";"17-Jul-18 08:33 PM";"@sindresorhus Public key different this time again?";"";"";
"404400410946961420";"sindresorhus#8187";"17-Jul-18 09:28 PM";"@zatJUM Yes, we haven't set up a public key for HyperDEX yet, so we're using our own. @lukechilds will do that soon. You can confirm my key with Keybase: https://keybase.io/sindresorhus";"";"";
"404400410946961420";"sindresorhus#8187";"17-Jul-18 09:33 PM";"@Hermes That's weird. Seems the `getendpoint` call we do to marketmaker succeeds but does not always return an URL as we expected. @lukechilds Seems we need to add some handling here https://github.com/atomiclabs/hyperdex/blob/93beff8026ef113b86487d3b8d9470dfa399c06c/app/renderer/api.js#L49 Or find a way to reproduce it and open an issue on marketmaker.";"";"";
"404400410946961420";"sindresorhus#8187";"17-Jul-18 09:34 PM";"@Hermes Just to confirm, you have not set a ""Custom Marketmaker URL"" in the Settings, right? Can you reproduce the issue or did you only get it once?";"";"";
"414128958326571008";"Hermes#6934";"17-Jul-18 09:37 PM";"let me see if I can reproduce it";"";"";
"414128958326571008";"Hermes#6934";"17-Jul-18 09:40 PM";"not this time while opening";"";"";
"414128958326571008";"Hermes#6934";"17-Jul-18 09:40 PM";"going to erase all files and do a fresh installation";"";"";
"326705411468034048";"Mark-SmartCash#4571";"17-Jul-18 09:52 PM";"Will it be possible to have multiple limit orders for an asset pair?";"";"";
"455741312273219595";"jl777c#5810";"17-Jul-18 09:56 PM";"with multiple instances, yes";"";"";
"414128958326571008";"Hermes#6934";"17-Jul-18 10:35 PM";"Still haven't been able to reproduce the errors guys will keep you updated when I see it again";"";"";
"459844460625526824";"hyperDEX#6586";"18-Jul-18 03:18 AM";"@siu - Chainmakers we have a designer on the books now to go through the backlog. Your logo is the first one to be done. Please keep in mind that we have taken over the repo and we are paying designers to actually standardize the icons, it is another overhead but we will get it done.";"";"";
"440969153227259914";"jansako#3330";"18-Jul-18 07:34 AM";"I have a bob node that has been up for a bit (~24 hours), there are active orders on it.  How do I make that bob to show up in HyperDEX? One cannot make a trade if custoemrs can't find him... I understand it is a matter of connections and who can see who. So how do I make myself seen? (If this is something that can be done, I can see a 'premium bob' service offering in the future...)";"";"";
"459844460625526824";"hyperDEX#6586";"18-Jul-18 08:26 AM";"Special bobs for everyone @jansako";"";"";
"459844460625526824";"hyperDEX#6586";"18-Jul-18 08:26 AM";"We dont do anything special, so if it is not showing up in hyper, it probably is not showing up on barterDEX. Maybe speak to @siu - Chainmakers or @cipi they are masters in the craft";"";"";
"232679450301431808";"blackjok3r#3181";"18-Jul-18 08:30 AM";"Check your marketmakers mem use, and try restarting it. Sometimes orderbooks just stop working, and other times orderooks show but trades dont respond. I also advise using the release atrem posted yesterday instead of the marketmaker in jl's SuperNET repo.";"";"";
"232679450301431808";"blackjok3r#3181";"18-Jul-18 08:30 AM";"seemed to help the bob I am looking after.";"";"";
"440969153227259914";"jansako#3330";"18-Jul-18 09:26 AM";"Taking this to #dev-marketmaker . thx!";"";"";
"360402743543988225";"lukechilds#2707";"18-Jul-18 12:07 PM";"@jansako in HyperDEX we strip out orders with 0 UTXOs from the order book";"";"";
"360402743543988225";"lukechilds#2707";"18-Jul-18 12:07 PM";"but it's unlikely that's the issue if your Bob is funded";"";"";
"360402743543988225";"lukechilds#2707";"18-Jul-18 12:08 PM";"you can manually inspect the requests in the network tab of dev tools to view the raw order book response";"";"";
"440969153227259914";"jansako#3330";"18-Jul-18 12:33 PM";"It was not showing in HyperDEX or Dexstats orderbooks, so not your issue. Restarted MM and the orders do. I just need to keep an eye out for when they drop off & restart the bob again...";"";"";
"440969153227259914";"jansako#3330";"18-Jul-18 12:33 PM";"thanks @lukechilds";"";"";
"405380797537976320";"Cryptoon#3362";"18-Jul-18 07:30 PM";"When trying to send my balance to myself with hyper";"";"";
"405380797537976320";"Cryptoon#3362";"18-Jul-18 07:31 PM";"from the dashboard";"";"";
"405380797537976320";"Cryptoon#3362";"18-Jul-18 07:31 PM";"it's not responsive after I press send";"";"";
"405380797537976320";"Cryptoon#3362";"18-Jul-18 07:32 PM";"Mac OSX";"";"";
"405380797537976320";"Cryptoon#3362";"18-Jul-18 07:32 PM";"and alpha 10";"";"";
"459844460625526824";"hyperDEX#6586";"19-Jul-18 08:57 AM";"@sindresorhus";"";"";
"404400410946961420";"sindresorhus#8187";"19-Jul-18 09:15 AM";"@Cryptoon What currency? Did you try to send your whole balance or just part of it? After clicking ""Withdraw"", did you click the ""Confirm Network Fee"" button? Are you able to click the `X` (or Esc) to close the modal dialog?";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:16 AM";"It was KMD, was manually trying to send entire balance to self";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:17 AM";"will try again in a bit to see the steps again, will get back to you";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:18 AM";"https://imgur.com/a/4tAV6dZ";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:19 AM";"it didnt ask me to confirm network fee";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:19 AM";"was able to click ok, then the withdraw button was faded out so couldnt click that again";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:19 AM";"clicking X worked";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:19 AM";"Unhandled Promise Rejection
Error: Couldn't create withdrawal transaction:
{ txid: '0000000000000000000000000000000000000000000000000000000000000000',
  txfee: 1000,
  complete: false }
    at errorWithObject (app://-/bundle.js:88119:46)
    at app://-/bundle.js:88386:11
    at Generator.next (<anonymous>)
    at step (app://-/bundle.js:88104:191)
    at app://-/bundle.js:88104:361
    at <anonymous>";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:20 AM";"Here is the copy error";"";"";
"404400410946961420";"sindresorhus#8187";"19-Jul-18 09:46 AM";"@Cryptoon That is unfortunately a known issue: https://github.com/atomiclabs/hyperdex/issues/302";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 09:47 AM";"Roger!";"";"";
"242635006516658197";"jorian#4555";"19-Jul-18 09:53 AM";"that can actually be done: when you do the withdraw script, you can define the `txfee`. if you make that max button subtract the txfee from it, the withdraw works. standard txfee is 10,000, but i've used lower ones in my withdraw script perfectly fine";"";"";
"242635006516658197";"jorian#4555";"19-Jul-18 09:53 AM";"and since you work with SPV only, no weird issues with native can rise, like stuck cache or sth.";"";"";
"242635006516658197";"jorian#4555";"19-Jul-18 09:58 AM";"```{
    ""method"": ""withdraw"",
    ""coin"": ""KMD"",
    ""txfee"":5000,
    ""outputs"": [
        {
            ""Raddress"": <MAX> - 5000 sats
        }
    ]
}```";"";"";
"242635006516658197";"jorian#4555";"19-Jul-18 09:59 AM";"it's a shame the api docs don't mention this";"";"";
"404400410946961420";"sindresorhus#8187";"19-Jul-18 09:59 AM";"@lukechilds ⬆";"";"";
"242635006516658197";"jorian#4555";"19-Jul-18 09:59 AM";"shall i comment that on the issue?";"";"";
"242635006516658197";"jorian#4555";"19-Jul-18 09:59 AM";"still, API error response could be more specific indeed";"";"";
"404400410946961420";"sindresorhus#8187";"19-Jul-18 10:03 AM";"@jorian Yes, that would be great.";"";"";
"328977534207262720";"ranfoltu#0306";"19-Jul-18 12:40 PM";"I'm trying to trade some DEX and a little bit of SUPERNET on HyperDEX.  Does anybody want to trade?  I will trade under market value.  I've been trying to trade them for more than a month now on coinexchange, barterdex, and now hyperdex.  I've got multiple UTXO's, but can't ever get a trade to go through.  If you are willing to help, I would much appreciate it!!!  Thanks in advance.";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 12:44 PM";"how much are you selling dex for?";"";"";
"242635006516658197";"jorian#4555";"19-Jul-18 12:55 PM";"next chance, cryptoon 😄";"";"";
"360402743543988225";"lukechilds#2707";"19-Jul-18 12:56 PM";"@sindresorhus re specifying a txfee, that works fine for alts with hardcoded tx values but is totally hit and miss with currencies like BTC/LTC/ETH with agressive fee markets";"";"";
"360402743543988225";"lukechilds#2707";"19-Jul-18 12:56 PM";"there is no single fee size that will guarantee a fast transaction";"";"";
"360402743543988225";"lukechilds#2707";"19-Jul-18 12:56 PM";"and you need to know the size of the transaction to calculate a good fee size";"";"";
"360402743543988225";"lukechilds#2707";"19-Jul-18 12:56 PM";"which depends entirely on the user's UTXO set";"";"";
"328977534207262720";"ranfoltu#0306";"19-Jul-18 01:02 PM";"@Cryptoon I have 58.xxx of them 15 KMD each";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 01:02 PM";"Hmm I think I'll wait for @jorian to fix his node then :p";"";"";
"328977534207262720";"ranfoltu#0306";"19-Jul-18 01:03 PM";"What's that mean?  He's gonna sell cheaper than that?";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 01:05 PM";"yes";"";"";
"328977534207262720";"ranfoltu#0306";"19-Jul-18 01:12 PM";"what price?";"";"";
"328977534207262720";"ranfoltu#0306";"19-Jul-18 01:12 PM";"I will trade them at 14 KMD each then if that works for you..";"";"";
"328977534207262720";"ranfoltu#0306";"19-Jul-18 01:12 PM";"Kinda desperate to move them";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 01:14 PM";"it was 10,11";"";"";
"405380797537976320";"Cryptoon#3362";"19-Jul-18 01:15 PM";"why desperate @ranfoltu ?";"";"";
