AuthorID;Author;Date;Content;Attachments;Reactions;
"414128958326571008";"Hermes#6934";"21-Aug-18 04:30 AM";"Hi guys we made a couple of guides , will keep some new updates shortly.";"";"";
"414128958326571008";"Hermes#6934";"21-Aug-18 04:30 AM";"https://komodoplatform.atlassian.net/wiki/spaces/KPSD/pages/496402438/Komodo+QT+Wallet+Testing+Version";"";"";
"414128958326571008";"Hermes#6934";"21-Aug-18 04:30 AM";"https://komodoplatform.atlassian.net/wiki/spaces/KPSD/pages/535068673/How+to+encrypt+your+Komodo+QT+wallet.";"";"";
"414128958326571008";"Hermes#6934";"21-Aug-18 04:31 AM";"https://komodoplatform.atlassian.net/wiki/spaces/KPSD/pages/535035939/How+to+export+your+private+keys+in+the+Komodo+QT+Wallet+Debug+Console";"";"";
"414128958326571008";"Hermes#6934";"21-Aug-18 04:31 AM";"https://komodoplatform.atlassian.net/wiki/spaces/KPSD/pages/535035921/How+to+make+a+backup+of+your+Wallet.dat+file";"";"";
"414128958326571008";"Hermes#6934";"21-Aug-18 04:31 AM";"Any suggestions will be appreciated";"";"";
"476271419802648576";"Maha#5777";"31-Aug-18 06:11 AM";"In your DEX who will be holding the transaction  fee ?";"";"";
"333508133060083712";"Nabob#5004";"01-Sep-18 05:51 AM";"transaction fee sent to an address,  accumulated and then distributed within DEX coin holders";"";"";
"414128958326571008";"Hermes#6934";"01-Sep-18 06:46 PM";"@Maha https://komodoplatform.atlassian.net/wiki/spaces/KPSD/pages/296124417/When+is+the+next+DEX+payout.";"";"";
"414128958326571008";"Hermes#6934";"01-Sep-18 06:47 PM";"A quick guide that explains Dex";"";"";
"414128958326571008";"Hermes#6934";"05-Sep-18 07:10 PM";"Guys I am seeing this issue when I open the QT wallet in a fresh start";"";"";
"414128958326571008";"Hermes#6934";"05-Sep-18 07:10 PM";"the Komodo conf file has to be created";"";"";
"414128958326571008";"Hermes#6934";"05-Sep-18 07:10 PM";"";"https://cdn.discordapp.com/attachments/459072527323365390/486976471374757894/Screenshot_from_2018-09-05_14-08-25.png";"";
"345544724167524352";"Decker#3767";"05-Sep-18 11:12 PM";"@Hermes You'll need to create `komodo.conf` file manually, before start, as shown in README: https://github.com/DeckerSU/KomodoOcean/blob/master/README.md . If you already created `komodo.conf` - show it's content here, possibly it contains some errors.";"";"";
"325992048320708609";"gjash#1543";"07-Sep-18 11:42 PM";"@Decker  hello, has or will Komodo-qt be updated to post 1,000,000 fork?  thank you sir.";"";"";
"325992048320708609";"gjash#1543";"07-Sep-18 11:44 PM";"@Decker  sorry, I see you have done already!  thanks!";"";"";
"412323938782150658";"SHossain#0007";"07-Sep-18 11:44 PM";"@gjash KomodoOceanQT wallet already has the necessary changes for end users.";"";"";
"325992048320708609";"gjash#1543";"07-Sep-18 11:44 PM";"thanks";"";"";
"345544724167524352";"Decker#3767";"07-Sep-18 11:45 PM";"Komodo-Qt should be 100% compatible with 1.000.000 ...";"";"👌🏽 (3),💯 (2)";
"345544724167524352";"Decker#3767";"08-Sep-18 12:21 AM";"Already tested behaviour of komodo-qt with interest after 1.000.000 - all is ok. Tx succefully broadcasted through network, interest acquired.";"";"😃 (7),👍🏽 (9),💯 (7),👌🏽 (5),🍻 (7),🍕 (6),🚀 (7),🐉 (6),yassinkomodo (3),Komodo (7),shexy (7)";
"345544724167524352";"Decker#3767";"29-Sep-18 04:37 PM";"Next release of Komodo-Qt (coming soon) will have few GUI improovements ...";"https://cdn.discordapp.com/attachments/459072527323365390/495635331132030976/komodo-qt-2018-09.png";"👍 (7),🤓 (3),💯 (4),❤ (3),shexy (2),Komodo (1)";
"406182498050244638";"freakbros#9074";"29-Sep-18 04:42 PM";"👍👍👍";"";"";
"386470623699795971";"花果山#5224";"03-Oct-18 12:37 AM";"I am looking forward to the next version, what new features.@Decker";"";"";
"345544724167524352";"Decker#3767";"03-Oct-18 10:22 AM";"https://github.com/DeckerSU/KomodoOcean/releases/tag/komodoqt_win64_build26_03102018 - Latest Windows binaries.";"";"";
"345544724167524352";"Decker#3767";"03-Oct-18 10:23 AM";"Changes:

- Available balance button in send coins dialog (to simplify process of claiming rewards)
- Added Komodo color scheme (Komodo-style colored icons and tabs)
- Fix assetchains sync bug (earlier ZILLA and some other assets can't sync, now it's fixed)";"";"👍🏽 (7),😃 (4),😎 (6),👏🏽 (4),🚀 (4),shexy (3)";
"414128958326571008";"Hermes#6934";"03-Oct-18 05:12 PM";"Will be testing it nice to see this  :Komodo:";"";"";
"345544724167524352";"Decker#3767";"13-Oct-18 11:12 AM";"Komodo-Qt build under Ubuntu 18.04.1 LTS is tested. To build you can use `Linux-dev-18.04` branch of https://github.com/DeckerSU/KomodoOcean .";"https://cdn.discordapp.com/attachments/459072527323365390/500626849726988308/unknown.png";"";
"497498788731158529";"plazma#1625";"14-Oct-18 01:39 PM";"super cool";"";"";
"420097286568280064";"OsTa#2589";"17-Oct-18 09:16 AM";"Hello ! How to import my passphrase on KomodoOcean ? thanks !";"";"";
"414128958326571008";"Hermes#6934";"17-Oct-18 06:48 PM";"@OsTa  You can import the private key in the Debug menu use the command importprivkey ""yourprivatekeysherenoquotes""";"";"";
"420097286568280064";"OsTa#2589";"18-Oct-18 07:39 AM";"passphrase works too ? for me importprivkey is only to import private key, not a passphrase 😃";"";"";
"345544724167524352";"Decker#3767";"18-Oct-18 10:17 PM";"Get privkey from your passphrase and import privkey.";"";"";
"414128958326571008";"Hermes#6934";"18-Oct-18 10:27 PM";"Here is a guide to do this in Agama  https://support.komodoplatform.com/solution/articles/29000024493-how-to-use-agama-lite-mode-and-export-wifkey/en    @OsTa";"";"";
"403229823834521616";"pbca26#5430";"19-Oct-18 05:48 PM";"or you can use paper wallet";"";"";
"403229823834521616";"pbca26#5430";"19-Oct-18 05:48 PM";"to convert seed to priv key";"";"";
"333508133060083712";"Nabob#5004";"13-Nov-18 12:06 PM";"You can use this Document @Decker 
https://komodoplatform.atlassian.net/wiki/spaces/KPSD/pages/58458129/How+to+retrieve+Private+key+from+seed+using+Paper+wallet";"";"";
