AuthorID;Author;Date;Content;Attachments;Reactions;
"497498788731158529";"plazma#1625";"21-Nov-18 07:48 AM";"to research";"";"";
"497498788731158529";"plazma#1625";"21-Nov-18 07:48 AM";"Ho";"";"";
"497498788731158529";"plazma#1625";"21-Nov-18 07:48 AM";"🤔";"";"";
"347922216429813760";"grewalsatinder#9653";"21-Nov-18 07:51 AM";"exactly, research is it all comes to.
When I asked many questions in the beginning to James I always made sure I did my home work to find the answers, and when I could not I just asked James.";"";"";
"347922216429813760";"grewalsatinder#9653";"21-Nov-18 07:51 AM";"because I value his time, and I value the learning experience.";"";"";
"370026641323327491";"ph03nix#3115";"21-Nov-18 07:51 AM";"no doubt, trying to save you guys time 😄";"";"";
"370026641323327491";"ph03nix#3115";"21-Nov-18 08:04 AM";"make it easier to research";"";"";
"455741312273219595";"jl777c#5810";"21-Nov-18 08:11 AM";"there is a document about dPoW a technical one: https://github.com/leto/mastering_komodo_dpow/blob/master/mastering_komodo_dpow.md";"";"";
"455741312273219595";"jl777c#5810";"21-Nov-18 08:12 AM";"adding checkpoints is usually a centralized process, however dPoW adds checkpoints automatically using a randomized process between the 64 elected notary nodes. to call that centralized is being ignorant of what it is. basically hearing ""checkpoint"" -> ""must be centralized""";"";"✅ (4)";
"426545771568168960";"Hegelian#0018";"21-Nov-18 08:24 AM";"Hey James, could you recommend some resource for a non-IT person to understand some crypto basics? Article series, videos etc? Thanks!";"";"";
"455741312273219595";"jl777c#5810";"21-Nov-18 08:51 AM";"sorry,I am not familiar with anything like that";"";"";
"405011811511828481";"Alright#0419";"21-Nov-18 08:54 AM";"@Hegelian https://github.com/bitcoinbook/bitcoinbook";"";"";
"455741312273219595";"jl777c#5810";"21-Nov-18 08:57 AM";"for non-IT peoples?";"";"";
"405011811511828481";"Alright#0419";"21-Nov-18 09:15 AM";"first two chapters are targeted at non-IT";"";"";
"455741312273219595";"jl777c#5810";"21-Nov-18 09:21 AM";"ok";"";"";
"497498788731158529";"plazma#1625";"21-Nov-18 09:31 AM";"@jl777c thanks";"";"";
"497498788731158529";"plazma#1625";"21-Nov-18 09:31 AM";"😀";"";"";
"426545771568168960";"Hegelian#0018";"21-Nov-18 10:27 AM";"Do you think Andreas is fairly accurate in his exposition jl?";"";"";
"426545771568168960";"Hegelian#0018";"21-Nov-18 10:27 AM";"I know who he is but never read the book or watched his videos";"";"";
"455741312273219595";"jl777c#5810";"21-Nov-18 10:38 AM";"i wrote iguana to understand bitcoin protocol. i didnt read andreas book";"";"";
"426545771568168960";"Hegelian#0018";"21-Nov-18 11:00 AM";"Haha 👍";"";"";
