AuthorID;Author;Date;Content;Attachments;Reactions;
"412323938782150658";"SHossain#0007";"05-Jun-19 04:18 AM";"or, use the offline signing guide";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Jun-19 04:18 AM";"where do I get the offline wallet?";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:19 AM";"if you had the Agama downloaded, you can use that";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Jun-19 04:19 AM";"you told me it was unsafe, so I deleted it";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:19 AM";"ok. i have solution fo ryou";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:20 AM";"use paper wallet";"";"";
"414518440649555970";"tolken#2655";"05-Jun-19 04:20 AM";"Can’t get into Agama to move funds :/";"";"";
"403585751171989507";"LocoMB#8593";"05-Jun-19 04:20 AM";"is the seed/address pair valid, even if AGAM0.5.6 keeps bitching? with errors";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Jun-19 04:20 AM";"`use paper wallet`
link?";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:21 AM";"https://github.com/KomodoPlatform/KomodoPaperWalletGenerator/archive/master.zip";"";"";
"403585751171989507";"LocoMB#8593";"05-Jun-19 04:21 AM";"blockchain.address:get_balance";"";"";
"414518440649555970";"tolken#2655";"05-Jun-19 04:21 AM";"@locos  what does that error mean? I see that too";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:21 AM";"@LocoMB use VRSC lite mode to create a new address not KMD lite mode using Verus Agama";"";"";
"508277543498022923";"Crabby Paddy#6239";"05-Jun-19 04:22 AM";"So it’s safe for me to login with pin/litemode, send out into ledger or verus address now correct?";"";"";
"403585751171989507";"LocoMB#8593";"05-Jun-19 04:22 AM";"yes I did that- so this is good even if it bitches, a bit right?";"";"";
"508277543498022923";"Crabby Paddy#6239";"05-Jun-19 04:22 AM";"Is this in a rush ie drop my work right now and speed home";"";"";
"508277543498022923";"Crabby Paddy#6239";"05-Jun-19 04:22 AM";"Or it’s fine mostly precaution (no ones actively abusing)";"";"💯 (1)";
"403585751171989507";"LocoMB#8593";"05-Jun-19 04:22 AM";"ah ..";"";"";
"455283678939971585";"dudezmobi#1945";"05-Jun-19 04:22 AM";"https://docs.google.com/spreadsheets/d/1gEQsWi-lBJUW0CDXpVd9kz79LG8QGRnovqHaHMSid94/edit?usp=sharing";"";"";
"455869040876060672";"Dyeles#8347";"05-Jun-19 04:22 AM";"@SHossain , to my previous question, which one would you recommend, Komodo Ocean to create the new ones or VRSC";"";"";
"403585751171989507";"LocoMB#8593";"05-Jun-19 04:23 AM";"VERIS AGAMA - create an address for VRSC coin?!?!";"";"";
"455283678939971585";"dudezmobi#1945";"05-Jun-19 04:23 AM";"use this for easy info sharing.";"";"";
"455283678939971585";"dudezmobi#1945";"05-Jun-19 04:23 AM";"its hard to scroll in discord";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:23 AM";"KomodoOcean may take longer time. VRSC agama is quickest";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:23 AM";"or paper wallet";"";"";
"369608312955731968";"Bryan_Beus#6442";"05-Jun-19 04:23 AM";"What is the safest paper wallet for Bitcoin?

I had used the one previously that was compromised.";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Jun-19 04:24 AM";"`KomodoOcean may take longer time.`
*than lite mode";"";"";
"369608312955731968";"Bryan_Beus#6442";"05-Jun-19 04:24 AM";"I think it was walletgenerator.net or something, and there was a medium article indicating it was untrustworthy.";"";"";
"403585751171989507";"LocoMB#8593";"05-Jun-19 04:24 AM";"@SHossain so what is the diffeerence between VRSC lite mode and KMD Lite mode in VRSC AGAMA?";"";"";
"455869040876060672";"Dyeles#8347";"05-Jun-19 04:24 AM";"Thank you";"";"";
"414518440649555970";"tolken#2655";"05-Jun-19 04:25 AM";"Can I use Agama seed in Chameleon? @SHossain";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:25 AM";"KMD lite mode doesnt work for now on Verus Agama";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:25 AM";"due to electrum version upgrade on KMD electrum server";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:25 AM";"VRSC works, so you can create a new address";"";"";
"403585751171989507";"LocoMB#8593";"05-Jun-19 04:25 AM";"yes but I just made an address in AGAMA0.5.6a - is that good or not?";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:26 AM";"yes, that is good";"";"";
"412323938782150658";"SHossain#0007";"05-Jun-19 04:26 AM";"please check the pinned post";"";"";
