AuthorID;Author;Date;Content;Attachments;Reactions;
"407145234007588865";"nocturnal#2177";"07-Jun-19 10:36 PM";"laters";"";"👋 (2)";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 10:58 PM";"Verus agame won't connect with komodo light. veruscoin connects fine.";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 10:58 PM";"Next. Bittrex check.";"";"";
"423176312354635779";"gcharang#6833";"07-Jun-19 10:58 PM";"Download https://github.com/VerusCoin/Agama/releases/tag/v0.6.0.13-PBaaS-Cross-chain-Technology-Preview
https://support.komodoplatform.com/solution/articles/29000029569-how-to-stop-agama-from-using-a-proxy-server-to-access-electrum-servers/";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 10:58 PM";"And the QT won't even start.";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 10:58 PM";"Komodo.";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:00 PM";"Notice price on rise as network is ""disrupted"".";"";"";
"232989893918195722";"Alexfrog#1338";"07-Jun-19 11:01 PM";"price had literally broken out and was going up hours before the hack, this has stalled it out at this price, it probably wouldve risen more otherwise";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:01 PM";"Not a big fan of disruption.";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:05 PM";"Unknown error: Get blockchain address.";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:05 PM";"It's known now.";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:10 PM";"Coinexchange.io:Warning: This currency is currently in maintenance mode";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:13 PM";"Bitrrex: Notice: Deposits and withdrawals are temporarily offline. Pending new release and hard fork";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:13 PM";"So all wallets are busted on my half.";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:13 PM";"Give it a week and see..";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:14 PM";"11 KMD worth of trouble.";"";"";
"391037627773616130";"Potato Guy 9000#2499";"07-Jun-19 11:23 PM";"FYI guys, if you don't want to use verus agama you can use zelcore or like...a bunch of other wallets to make your new address. Google around, there are a lot of wallets that work with Komodo.";"";"";
"391037627773616130";"Potato Guy 9000#2499";"07-Jun-19 11:23 PM";"@Easteregg69";"";"";
"423583064430608384";"groundhog#0062";"07-Jun-19 11:27 PM";"u can also use chameleon on your mobile";"";"";
"423583064430608384";"groundhog#0062";"07-Jun-19 11:27 PM";"😄";"";"";
"423583064430608384";"groundhog#0062";"07-Jun-19 11:28 PM";"i use it and its quiete neat eltho i prefer not storing to much on mobile apps";"";"👍 (1)";
"303794669945618442";"PTYX#6840";"07-Jun-19 11:30 PM";"a smart person never stores more than a spending amount on a mobile wallet";"";"";
"303794669945618442";"PTYX#6840";"07-Jun-19 11:31 PM";"once we add cold storage support that's a different story";"";"";
"585960552208269323";"Roadrunner#3038";"07-Jun-19 11:42 PM";"This has to be a stupid question, but how does one get the KMD balance shown in the Asset Viewer to a new wallet. I have Windows 7, so no Verus or Ocean. I have Verus  on Galaxy Pad and Guarda on PC. Now I just need to transfer or import from safe storage. Gotta be easy?";"";"";
"366699413218787338";"Easteregg69#4081";"07-Jun-19 11:43 PM";"@Potato Guy 9000 
Have a running version now. Back to filling form.";"";"";
"392574480112943104";"DingDongSoLong#0148";"07-Jun-19 11:47 PM";"@PTYX so is it wise I get my kmd out of chameleon because I sent it all there on a quick reaction to the vulnerability news";"";"";
"303794669945618442";"PTYX#6840";"07-Jun-19 11:48 PM";"If it's a significant amount of funds, don't keep it in a mobile walelt.";"";"";
"423176312354635779";"gcharang#6833";"07-Jun-19 11:48 PM";"@Roadrunner guarda may not support all the assets.
why no Verus on windows? weren't you able to install it?";"";"";
"585960552208269323";"Roadrunner#3038";"07-Jun-19 11:50 PM";"It only works on 8 or higher. It would make it easier.";"";"";
"456226577798135808";"Deleted User#0000";"07-Jun-19 11:51 PM";"@gcharang do you know when KMD work on Bittrex (i mean a wallet )";"";"";
"456226577798135808";"Deleted User#0000";"07-Jun-19 11:51 PM";"not possible to deposit/withdraw";"";"";
"423176312354635779";"gcharang#6833";"07-Jun-19 11:52 PM";"@Deleted User I don't know";"";"";
"456226577798135808";"Deleted User#0000";"07-Jun-19 11:52 PM";"Do you know who know pls ?";"";"";
"391037627773616130";"Potato Guy 9000#2499";"07-Jun-19 11:53 PM";"Bittrex would know :troll_thuglife:";"";"yassinheartbroken (1)";
"392574480112943104";"DingDongSoLong#0148";"07-Jun-19 11:53 PM";"@PTYX what would you consider significant? It’s not like a life’s savings amount.";"";"";
"303794669945618442";"PTYX#6840";"07-Jun-19 11:54 PM";"I keep what i spend on mobile. So usually a few hundred dollars. Anything above what I will be spending I keep in cold storage. You can use various wallets to see your cold storage balance so you can still see your portfolio without needed to have your keys on the device.";"";"";
"303794669945618442";"PTYX#6840";"07-Jun-19 11:54 PM";"Once we add bip support we will add the ability to create watch-only addresses for that purpose.";"";"";
"423176312354635779";"gcharang#6833";"07-Jun-19 11:56 PM";"@Deleted User most likely after june 15";"";"";
"392574480112943104";"DingDongSoLong#0148";"08-Jun-19 12:00 AM";"@PTYX ah ok i think I should move to a cold storage then. Out of curiosity which would you consider the safer option to hold stuff on, Chameleon or an exchange?";"";"";
"303794669945618442";"PTYX#6840";"08-Jun-19 12:05 AM";"Chameleon";"";"";
"303794669945618442";"PTYX#6840";"08-Jun-19 12:06 AM";"I've heard of exchanges using cold storage but you're still at their mercy.";"";"";
"456226577798135808";"Deleted User#0000";"08-Jun-19 12:08 AM";"Thanks @gcharang";"";"";
"366699413218787338";"Easteregg69#4081";"08-Jun-19 12:12 AM";"No valid utxo is available.";"";"";
