AuthorID;Author;Date;Content;Attachments;Reactions;
"405011811511828481";"Alright#0419";"13-May-19 03:26 PM";"If anyone was interested in trying to get a spot as a LABS NN, you can now enter the lottery for the 2 additional spots we have. Details in #kmdlabs";"";"";
"405011811511828481";"Alright#0419";"13-May-19 03:27 PM";"launching in about a week";"";"";
"278565047113089025";"Strob#3417";"13-May-19 03:40 PM";"@SHossain ```last year test was mostly distributed``` Ok so this year concentration in EU because of price is maybe not the real reason 😉";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:41 PM";"in real life on mainnet, AR has the highest amount of notarization";"https://cdn.discordapp.com/attachments/455755767132454913/577520810541973524/Screenshot_from_2019-05-13_16-40-55.png";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:42 PM";"EU is 2nd and NA is 3rd";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:46 PM";"Testnet regions doesn't matter much and it wasn't enforced. candidates were free to choose any location to show that they can operate.";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 03:47 PM";"OIC.. I chose / hosted entire time in NA thinking that was important if campaigning for NA spot";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:48 PM";"testnet is a playground where you learn how to operate a NN and show you are competent.
if you have selected your own region and the server you will use for mainnet if you win, you have done the best thing as you already know how your hardware may perform.";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 03:48 PM";"true";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:49 PM";"when mainnet is live, you dont' have to worry about finding the best sevice provider";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:49 PM";"you already have";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 03:49 PM";"testnet specs much lower than actual nn specs though";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:50 PM";"that is up to the candidate on which server to choose testnet, either high-end or low-end. i always suggested to use or go for the server you will use if you win";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:50 PM";"some candidates found that expensive";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:50 PM";"🤷🏽";"";"";
"249256116150730753";"PHBA2061#2530";"13-May-19 03:50 PM";"if you want to experience with different regions on testnet, try Google cloud or Azure, they'll give you free credits for opening an account";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:52 PM";"since there is no entry fee or other related fee, i guess confident candidates could use better hw 😃";"";"";
"412323938782150658";"SHossain#0007";"13-May-19 03:52 PM";"i always advocate for 👽 hw
free certification for all 😂";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 03:59 PM";"lo... When notary nodes have a use for 128 Cores, I will buy a server with 128 cores....  maybe next election? 🤣";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:00 PM";"Right now, best money drop is on fast I/O and lots of ram. 😃";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:00 PM";"DDR3 even, as its many times cheaper";"";"";
"504735704543395853";"mrlynch#5735";"13-May-19 04:02 PM";"nvme + ddr4 ecc ftw 😎";"";"✅ (1)";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:02 PM";"tbh optimal would be a consumer CPU with ridiculous clock speeds and some of that 4Ghz RAM 🤣";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:03 PM";"with nvme on PCI-E cards in RAID0.... if you wanted to be stupid.";"";"shexy (1)";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:03 PM";"EU always gets the most candidates.... cheap servers and all.... 🙄";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:03 PM";"Nothing beats a good connection though, get that and your ndoe will be fine.";"";"";
"504735704543395853";"mrlynch#5735";"13-May-19 04:03 PM";"not sure about cheap, i guess it depends where u get it";"";"";
"504735704543395853";"mrlynch#5735";"13-May-19 04:03 PM";"i just discovered hetzner 🤦";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:04 PM";"@TonyL if you are going with AWS as your servers, I wish you luck";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:04 PM";"I had AWS servers this whole second season";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:04 PM";"fast servers doesn't mean assure of quality notarisations";"";"💯 (1)";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:05 PM";"I am paying ~$320 USD just for rack space and power/ unlimited bandwidth in Perth..... Had to purchase server on top of that lol... Here is expensive as hell.";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 04:05 PM";"expensive in US for sure..";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 04:05 PM";"for me anyways";"";"";
"504735704543395853";"mrlynch#5735";"13-May-19 04:05 PM";"that is a lot";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 04:06 PM";"KYC also pain in ass";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 04:06 PM";"tough to get one to give you some privacy";"";"";
"350115686023954432";"Dr.Terminus#3269";"13-May-19 04:06 PM";"I fought hard for that and actually won";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:06 PM";"Cant say I had to KYC, but I had to physically go there a few times, so they know who I am.";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:06 PM";"DC wouldnt take KMD either 😦";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:07 PM";"@blackjok3r You can still do fine, much fine as compare to hosted servers I guess";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:08 PM";"Yeah, I fear though that this node will be very bad once SH is full of better nodes... Hopefully its imporves when I rebuild it in next few weeks.";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:09 PM";"hardware might need update wherever possibly you can. you can still be fine with network and all";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:09 PM";"plus your own updates/mods etc, which you are good at";"";"";
"371114647052615681";"Mylo#8306";"13-May-19 04:10 PM";"SH will be tough.   already top 5 nodes were good.   3 auto-elected from other regions getting in by the looks of it.  blackjok3r also now knows iguana/nota process v.well.... tough region.";"";"";
"232679450301431808";"blackjok3r#3181";"13-May-19 04:10 PM";"I dont know there is any more imporvemnts to make tbh lol... I think once there are lots more coins, things will be very diffrent.";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:11 PM";"this 3rd season will be different I think.
more management tools and improvements to do as more coins to notarization required";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:11 PM";"improvements regarding scaling";"";"";
"347922216429813760";"grewalsatinder#9653";"13-May-19 04:12 PM";"more coins, better management tools, more security";"";"";
"278565047113089025";"Strob#3417";"13-May-19 04:14 PM";"And since KMD will moon to 100$ in 2019 all NN op will need navy seal body guards, dogs and machine guns à la McAfee so get ready!";"";"😂 (4)";
"278565047113089025";"Strob#3417";"13-May-19 04:23 PM";"thank you so much! I will do the same one day once I do have some to share!";"";"";
"278565047113089025";"Strob#3417";"13-May-19 04:24 PM";"Here are my pings to all ip in the testnet now: https://imgur.com/PqqNnOF";"";"";
"278565047113089025";"Strob#3417";"13-May-19 04:28 PM";"does anyone know what the color of the cables means on that map?";"";"";
