AuthorID;Author;Date;Content;Attachments;Reactions;
"232679450301431808";"blackjok3r#3181";"05-Dec-19 12:21 AM";"https://www.youtube.com/watch?v=01kcxQi63ms";"";"";
"395274075985018880";"Regnar#6164";"05-Dec-19 02:27 AM";"https://twitter.com/CryptoCred/status/1202389193818812416?s=20";"";"";
"288941564263268353";"Don King#8901";"05-Dec-19 02:48 AM";"HEX will be one to watch for sure, most of the Ponzi like qualities are built into the smart contract, even if Richard Heart ends up in prison and the website is taken offline the HEX smart contract will still work, this makes for a fascinating experiment IMO. RH might even be forced to refund the ETH, and maybe he even expects that and his personal payoff will be the origin accounts share of HEX (estimated to be as high as 30%). It's certain HEX will attract SEC attention and maybe RH is hoping for a small fine like EOS,  but he's obviously not an idiot, so I think he has a plan to avoid prison. My hunch at this stage is he either donates the ETH or refunds it, and his plan is to keep the origin HEX.";"";"";
"288941564263268353";"Don King#8901";"05-Dec-19 02:53 AM";"Everything in crypto looks like a scam at the start, Bitcoin NXT NEM ethereum Doge, etc every single project I have followed is called a scam by someone. One thing HEX has in it's favour is marketing, RH is a master of getting attention.
Pro tip: claim your HEX,  but be warned,  if you follow the daily transform AA you might get addicted, HEX is like a game, and it *might* become popular";"";"";
"474019343727067147";"designer#4893";"05-Dec-19 05:52 AM";"The difference between the dollar and the gold from the Bitcoin is

Bitcoin increases participants in global supply chain and blockchain solves problems of trust in supply chain. The dollar or gold has no ability to execute contracts beyond the state-controlled financial system.

If the government to which the producer belongs extremely controls foreign exchange, the producer will receive the currency in its own currency, which is worthless. The manufacturer then loses the incentive to keep the promise, so the buyer does not initially place an order for the troubled producer.

However, if bitcoin is paid that does not go through the financial network, the producer will be tempted to deliver it on time without considering being taken over by the government, so hundreds of millions of new global citizens can participate in the global supply chain.

Blockchain boosts confidence among the numerous stakeholders involved in the supply chain. Most wines imported to nation are subject to the hot equator, which makes them taste bad. The use of refrigerated containers does not guarantee proper temperature. However, if temperature sensors inside a container record abnormalities in blockchain, not only retailers but also end consumers can compare information and prices. Due to blockchain, value-added product lines will be added to global supply chain and more opportunities will be opened.";"";"";
"455741312273219595";"jl777c#5810";"05-Dec-19 08:46 AM";"an interesting site: https://www.quantamagazine.org/";"";"";
"474019343727067147";"designer#4893";"05-Dec-19 09:33 AM";"@jl777c where do you get creative ideas? Is there any site I can recommend?";"";"";
"455741312273219595";"jl777c#5810";"05-Dec-19 09:39 AM";"i certainly dont get it from any website";"";"";
"455741312273219595";"jl777c#5810";"05-Dec-19 09:39 AM";"i just think about a problem and come up with a solution";"";"";
"455741312273219595";"jl777c#5810";"05-Dec-19 09:40 AM";"necessity is the mother of invention, or something like that";"";"✅ (1)";
"405011811511828481";"Alright#0419";"05-Dec-19 11:03 AM";"https://www.youtube.com/watch?v=W8bTI7QZI3g";"";"";
"436515643760705546";"Deltazulu#2710";"05-Dec-19 11:07 AM";"https://www.theblockcrypto.com/linked/49194/htcs-binance-edition-smartphone-going-on-sale-tomorrow-supports-bitcoin-bnb-payments";"";"";
"436515643760705546";"Deltazulu#2710";"05-Dec-19 11:08 AM";"https://www.theblockcrypto.com/post/48765/south-africa-plans-for-new-rules-to-stop-crypto-from-being-used-to-evade-currency-controls";"";"";
"405011811511828481";"Alright#0419";"05-Dec-19 11:23 AM";"https://youtu.be/W8bTI7QZI3g?t=1209 lol easily the best part of this";"";"";
"405011811511828481";"Alright#0419";"05-Dec-19 11:24 AM";"that's cracking me up ""They're not in RAM. They are in RAM....""";"";"";
"474951825737646090";"QualityASSURANCE#1813";"05-Dec-19 02:22 PM";"https://tenor.com/view/microsoft-windows95-bill-gates-windows95vaporwave-start-up-gif-14688826";"";"";
"474951825737646090";"QualityASSURANCE#1813";"05-Dec-19 02:23 PM";"Can I run the blockchain on my Windows 95 computer?";"";"🤦 (1),troll_hurt (1)";
"308146361508036618";"Lumbi#8378";"05-Dec-19 03:58 PM";"https://www.youtube.com/watch?v=luTPMHC7zHY";"";"";
"352577127494713345";"phm87#7395";"05-Dec-19 05:00 PM";"Thread on dpos
https://twitter.com/crainbf/status/1202235765708775425?s=20";"";"";
"345992331276713984";"Acura#2748";"05-Dec-19 08:45 PM";"https://twitter.com/chris_belcher_/status/1202543998776348672?s=19";"";"";
