AuthorID;Author;Date;Content;Attachments;Reactions;
"323561113012797452";"criptobear#6402";"06-Dec-19 05:16 AM";"So for example, I have 1 BTC, I need € so I collateralize it for 7500 USDK, send them to kraken, change them to €, do what I need and then I return 7500 USDK back I get 1 BTC? without paying any fee?";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 05:29 AM";"we are planning a KMD backed EUR stablecoin. so you would purchase 1BTC of KMD and deposit it, that allows to issue up to 80% worth of EURK, let us approx to 5000 EURK. these EURK are freely tradeable. you can use it on atomicDEX and once we get on a fiat exchange, can then deposit the EURK and then withdraw the EUR via SEPA.";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 05:30 AM";"at anytime, you can payoff the 5000 EURK you issued and recover the KMD that was locked";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 05:30 AM";"there will be only be fees (tx, gateway, etc) but no interest rate you need to pay back";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 05:31 AM";"nobody is lending you the EURK, you are actually creating them yourself";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 05:31 AM";"so it is a it different than all the other stablecoins as far as i know";"";"PeepoThink (2),🙏 (5)";
"371114647052615681";"Mylo#8306";"06-Dec-19 06:19 AM";"even without the fiat integration, using atomicdex to trade EURK to a stablecoin that is available in your jurisdiction/fiat-on-ramp opens up whatever is around.   just need the stablecoin/stablecoin liquidity also.";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 06:21 AM";"if there is demand for it, marketmakers will arise that will create the liquidity, but with some bid/ask spread";"";"👍 (1)";
"455741312273219595";"jl777c#5810";"06-Dec-19 06:22 AM";"i am in contact with a large fiat gateway, so am hopeful we can directly withdraw EURK into SEPA transfer";"";"🎉 (9),💯 (2)";
"371114647052615681";"Mylo#8306";"06-Dec-19 06:22 AM";"yeah i had someone enquire about stablecoin marketmaking on this discord a few months ago.   they'll definitely pop up for stable 0.25 - 1.5% spreads.   
awesome news!";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 06:24 AM";"of course to do a SEPA transfer you will need to KYC, but that is up to each user and the exchange. the cc pegs will operate fully decentralized, no specific manager of the stablecoin. each person controls their own share of the overall stablecoin supply";"";"";
"371114647052615681";"Mylo#8306";"06-Dec-19 06:24 AM";"cool thanks for pointers in the description of it over the last few days 🙏";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 06:26 AM";"the DTO allows each node to validate the price and that is really what allows it to be decentralized as each node will know the price of KMD/EUR";"";"💯 (5)";
"323561113012797452";"criptobear#6402";"06-Dec-19 06:52 AM";"Wow great thanks for thinking about € too";"";"";
"323561113012797452";"criptobear#6402";"06-Dec-19 06:54 AM";"So maybe there will be some lending solution like makerdao and others are doing, so I collateralize and lend the € sum to get some interest?";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 07:04 AM";"the pegs CC implements a blockchain enforced decentralized stablecoin issuing. there will be ways for people to ""mine"" accounts in default and make 5%. to do this you will need to have EURK already, so it wouldnt be interest but rather liquidation fees that you can earn. personally i am not so fond of charging interests, the big problem is where do the funds for the interest come from. if we are dealing with a pegged value, we cant just issue more coins. which means people will need to pay it";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 07:05 AM";"anyway, there are plenty of such systems out there, EURK probably will be the only interest free loan system. this way, if you really need some EUR and dont want to sell any KMD, you can lock the KMD and borrow against it. as soon as you repay it, your KMD is released";"";"";
"460233958073040896";"Lennart#9331";"06-Dec-19 07:11 AM";"does it have any effect when the locked-in KMD fluctuate in fiat-value?";"";"";
"460233958073040896";"Lennart#9331";"06-Dec-19 07:11 AM";"could someone else release my KMD ?";"";"2561_feelsevilman (1)";
"406179072922746882";"polycryptoblog#1173";"06-Dec-19 07:35 AM";"If your collateralization  falls below the threshold";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 07:46 AM";"if you have less than 10% equity left, it is allowed for anybody to liquidate it and gain a 5%+ arbitrage profit";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 07:46 AM";"but you can add EURK or KMD to your address to avoid this";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 07:46 AM";"at scale, this effect creates demand for KMD as the price of KMD falls";"";"";
"455741312273219595";"jl777c#5810";"06-Dec-19 07:47 AM";"and of course having KMD locked, removes it from circulation for the time being";"";"";
