AuthorID;Author;Date;Content;Attachments;Reactions;
"396753788150611968";"B. Gültekin Çetiner#0626";"06-Dec-19 01:52 PM";"Can anyone send 3D printable stl files related to other projects in Komodo ecosystem such as Komodo, Verus, Pirate etc? We have Marmara Innovative Solutions (MINS) lab. They produce 3D printers. They told that they would print free 3D printed logos to distribute during Marmara Workshop.";"";"💯 (1)";
"412482228359266328";"CrisF#3405";"06-Dec-19 01:57 PM";"3D printed logos sounds great.";"";"👍 (1)";
"454786445702463507";"𝙊𝙞𝙣𝙠#3612";"06-Dec-19 01:57 PM";"For Verus, I'll inquire in Verus Discord";"";"👍 (1)";
"412482228359266328";"CrisF#3405";"06-Dec-19 01:58 PM";"I'll also ask around here.";"";"";
"454786445702463507";"𝙊𝙞𝙣𝙠#3612";"06-Dec-19 02:03 PM";"Also notified Dreath, since he has 3D designs for the coins. Maybe he can be of help.";"";"🔥 (2)";
"298254263157522435";"Draeth#3300";"06-Dec-19 02:35 PM";"@B. Gültekin Çetiner I can get you some of them for logos";"";"👍 (2)";
"298254263157522435";"Draeth#3300";"06-Dec-19 02:44 PM";"I'll get them over to you later today";"";"";
"396753788150611968";"B. Gültekin Çetiner#0626";"06-Dec-19 02:45 PM";"Thanks very much. Appreciated!";"";"";
"298254263157522435";"Draeth#3300";"06-Dec-19 04:07 PM";"@B. Gültekin Çetiner do you want me to put them here or dm you?";"";"";
"396753788150611968";"B. Gültekin Çetiner#0626";"06-Dec-19 04:08 PM";"drcetiner@gmail.com iş my email. You can also dm";"";"";
"298254263157522435";"Draeth#3300";"06-Dec-19 04:09 PM";"Dm'd you";"";"";
"531271752828059658";"zekigulen#6135";"06-Dec-19 04:31 PM";"When the website of Komodoplatform.com is made in Turkish, the menu disappears.";"";"";
