AuthorID;Author;Date;Content;Attachments;Reactions;
"459844460625526824";"hyperDEX#6586";"07-Dec-19 01:30 AM";"I would just focus on SuperNET it has some of each of the others";"";"";
"288941564263268353";"Don King#8901";"07-Dec-19 02:42 AM";"https://twitter.com/IOHK_Charles/status/1203086865009532928?s=19";"";"";
"288941564263268353";"Don King#8901";"07-Dec-19 02:43 AM";"Crypto cage fighting ... nice!";"";"";
"403585751171989507";"LocoMB#8593";"07-Dec-19 06:13 AM";"it is a Keiretsu
https://en.wikipedia.org/wiki/Keiretsu
potentially very profitable structure";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 08:10 AM";"I think we may be in for some bounce";"";"";
"264236295432175616";"Gordon Komodo#7477";"07-Dec-19 10:10 AM";"bouncing downward or upward?";"";"";
"405380797537976320";"Cryptoon#3362";"07-Dec-19 11:51 AM";"If you throw something to the ground, I’ve never seen it ‘bounce’ through the floor, so my assumption would be upward :troll_lol:";"";"";
"264236295432175616";"Gordon Komodo#7477";"07-Dec-19 11:52 AM";"If you see the reflection...., that something could bounce to the other side aka downward :troll_thuglife:";"";"";
"405380797537976320";"Cryptoon#3362";"07-Dec-19 11:54 AM";"Dont bounce stuff on a mirror, first rule of bouncing stuff 😃";"";"👆 (1)";
"264236295432175616";"Gordon Komodo#7477";"07-Dec-19 11:54 AM";"it's just a reflective surface, not necessarily a mirror 😛";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 11:55 AM";"Incase someone wanna learn trading and dont know much about it here is a easy strategy anyone can use if u follow those rules. And yes it does work
https://www.youtube.com/watch?v=Y55s2tihNI4";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 01:33 PM";"is there anywhere / any way to leverage kmd atm?";"";"";
"381529337540640779";"Neko#5830";"07-Dec-19 01:45 PM";"I was hoping binance would open one since they have margin to some shitcoins but not komodo";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 01:46 PM";"im not surprised either, i think one thing have to do with that kmd does not have high liquidity and if u look which alts u can margin then its only hype coins";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 01:48 PM";"margin trading with kmd would never work in current situation, enough if a whale makes a 5x huge bet then market buys for 1 mil usd and he made a killing";"";"";
"381529337540640779";"Neko#5830";"07-Dec-19 01:50 PM";"thats show how much room for growth kmd still has";"";"";
"231533083818590211";"Oszy#5734";"07-Dec-19 01:53 PM";"great video Markus";"";"👍 (1)";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 02:42 PM";"Can someone make a cc where we can “leverage” kmd trading? Ie lock up 1000kmd, 3x leverage. Kmd @ $1, if it drops under 70c, other party who takes on your bet gets your 1000kmd. If kmd goes higher than 1.3, you claim their 1000kmd";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 02:42 PM";"Would be good 😁";"";"";
"455741312273219595";"jl777c#5810";"07-Dec-19 03:00 PM";"prices CC";"";"";
"405380797537976320";"Cryptoon#3362";"07-Dec-19 03:00 PM";"I think this cc exists";"";"";
"405380797537976320";"Cryptoon#3362";"07-Dec-19 03:00 PM";"Jl beat me to it 😃";"";"";
"422858760898215937";"siu - Chainmakers#3920";"07-Dec-19 03:51 PM";"Paammmp";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 03:51 PM";"There she is";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 03:53 PM";"Sorry I didn't answer you earlier  @Gordon Komodo I was offline most of today";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 03:55 PM";"🚀🚀🚀";"";"KMD (2)";
"422858760898215937";"siu - Chainmakers#3920";"07-Dec-19 03:59 PM";"https://youtu.be/shic7BxAryM";"";"";
"398864863067373568";"CoinKing88#1540";"07-Dec-19 04:02 PM";"pump";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 04:11 PM";"strong bears";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 04:13 PM";"Yeah that whole 15min candle was blue on my script... probably retrace it all";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 04:14 PM";"Difficult not to make bearish div with that huge wick from the other day";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 04:14 PM";"some whale does not want it to pump";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 04:16 PM";"Bots and traders will react to the bear div, we'll just have to see how strong the bulls are now";"";"";
"337518847181586434";"Mark81#4505";"07-Dec-19 04:19 PM";"Is this happening with same alts together than last time?";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 04:21 PM";"@Bitfinger not sure what bear div u see but on daily u have bull div on macd";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 04:24 PM";"@Markus 4hr RSI peaks: https://www.tradingview.com/x/Ema9J5MP/";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 04:25 PM";"ah ur charting usd";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 04:29 PM";"https://www.tradingview.com/x/YeBTkiI8/
Yeah USD work better with my scripts";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 04:29 PM";"I hate drawing on my phone...";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 04:30 PM";"the worst is that binance is the most liquid market for kmd and deposit time is like 3 hours";"";"";
"398864863067373568";"CoinKing88#1540";"07-Dec-19 04:32 PM";"second attempt at 1K sats incoming";"";"";
"278064452362960897";"Bitfinger#6245";"07-Dec-19 04:32 PM";"Yeah fast block times mean nothing to exchanges, you wait no matter what. It's like they don't understand crypto :troll_rage:";"";"";
"398864863067373568";"CoinKing88#1540";"07-Dec-19 04:32 PM";"*10K";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 04:33 PM";"@CoinKing88 first we are attempting to break 20 daily moving average 😛";"";"";
"301766691992371210";"Markus#5464";"07-Dec-19 04:33 PM";"~9.7k";"";"";
"426823107865608192";"NNoperator#3835";"07-Dec-19 04:40 PM";"There is a study on the differences in the top 10 holdings percentages within self directed retirement accounts at Schwab.  It shows differences between Boomers, Gen-X and Millennials.  They show that Millennials hold Grayscale Bitcoin trust (maybe this is a basket of cryptos?) at levels higher than some major bluechips.    They hold percentage wise more GBTC than they do in Disney, Berkshire, and Netflix.  Hope they don't get fleeced, but it shows in their eyes that crypto is legit. People pay a premium for that GBTC basket too.  I have much more than I can afford to loose in crypto with ""unhealty bias"" towards KMD, but I sleep well at night.  I don't think I would sleep well at night knowing the fifth largest holding of my retirement portfolio was mostly BTC.   https://pressroom.aboutschwab.com/press-release/schwab-corporate-retirement-services-news/schwab-report-self-directed-401k-balances-ho";"";"";
"426823107865608192";"NNoperator#3835";"07-Dec-19 04:46 PM";"it looks worse than I thought, they aren't investing in a basket, only BTC!   So much for diversification...  https://twitter.com/GrayscaleInvest/status/1203068942484463616";"";"";
"424272322216591371";"crumb#2550";"07-Dec-19 05:12 PM";"not surprising. looking beyond BTC means that you have to learn stuff, to separate real tech from marketing hype. how many people do that, really?";"";"";
"424272322216591371";"crumb#2550";"07-Dec-19 05:14 PM";"in a perverse way, they are actually safer in BTC right now 😦";"";"";
"424272322216591371";"crumb#2550";"07-Dec-19 05:14 PM";"i can't believe that above statement came from me :abusedsmily:";"";"";
"408251982885945344";"actionslacks#4072";"07-Dec-19 05:49 PM";"yeah i was just in an argument with some people who were claiming btc is anonymous and privacy coins are redundant. the amount of disinfo out there is impressive.";"";"";
