AuthorID;Author;Date;Content;Attachments;Reactions;
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 01:04 AM";"Gotcha. So wallet.dat and keys will all remain? Just git clone and compile";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 01:04 AM";"Thanks for the help 🙏";"";"";
"231533083818590211";"Oszy#5734";"07-Dec-19 01:04 AM";"yep";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 10:42 AM";"fatal: destination path 'komodo' already exists and is not an empty directory.";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 10:44 AM";"Do I have to delete whole komodo folder beforehand?";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 10:51 AM";"@Crabby Paddy were you doing `git clone`?";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 10:57 AM";"yeah";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 10:57 AM";"instructions above";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 10:58 AM";"git clone https://github.com/komodoplatform/komodo --branch master --single-branch
cd komodo
./zcutil/fetch-params.sh
# -j8 = using 8 threads for the compilation - replace 8 with number of threads you want to use
./zcutil/build.sh -j8
#This can take some time.";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 10:59 AM";"cd komodo, git pull, then build work?";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 11:00 AM";"it is better to remove the komodo directory and follow the exact instructions from above";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 11:00 AM";"rm -r komodo";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 11:00 AM";"then run the above?";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 11:00 AM";"> cd komodo, git pull, then build work?
some times build may fail when doing this, and may need to be repeated";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 11:00 AM";"yes
```
rm -rf komodo
```";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 11:02 AM";"Okay will update how it goes 🙏  Thanks for the help";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 11:02 AM";"np!";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 11:03 AM";"also, be careful when doing `rm -rf komodo`
if you add a dot before komodo, it could delete your wallet.dat and blockchain data as well";"";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"07-Dec-19 12:14 PM";"@dael4 try downloading parmas manually - https://support.komodoplatform.com/support/solutions/articles/29000029924-problem-downloading-z-cash-params";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 01:13 PM";"where is komodod located?";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 01:13 PM";"need to import my list.json";"";"";
"231533083818590211";"Oszy#5734";"07-Dec-19 01:14 PM";"src folder";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 01:14 PM";"~/komodo/src";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 01:15 PM";"so just copy list.json";"";"";
"508277543498022923";"Crabby Paddy#6239";"07-Dec-19 01:15 PM";"into src folder?";"";"";
"423176312354635779";"gcharang#6833";"07-Dec-19 01:15 PM";"i'm not sure what  list.json is";"";"";
"231533083818590211";"Oszy#5734";"07-Dec-19 01:15 PM";"yes";"";"";
"231533083818590211";"Oszy#5734";"07-Dec-19 01:15 PM";"it's for pos64staker";"";"👍 (1)";
