AuthorID;Author;Date;Content;Attachments;Reactions;
"410005679668068352";"buralux#1776";"08-Dec-19 12:17 AM";"Same here for crashes";"";"";
"410005679668068352";"buralux#1776";"08-Dec-19 12:18 AM";"Once enter the pin";"";"";
"375074477756645386";"ca333#0118";"08-Dec-19 01:08 AM";"iOS issue reproduced - we will release hotfix update asap. (you can bypass the issue for now by switching to settings page right after entering the PIN - after doing so app won't crash again)";"";"";
"406179072922746882";"polycryptoblog#1173";"08-Dec-19 02:42 AM";"@Goku  https://youtu.be/D9Ej-mPMPQM";"";"🙏 (1)";
"597557300663812126";"Goku#9007";"08-Dec-19 02:50 AM";"Thank you";"";"";
"556200844060524544";"saskboy#5198";"08-Dec-19 06:18 AM";"Here for the coin sounds complaint. I see it's an iOS workaround. Now we need a workaround for the workaround.";"";"";
"405380797537976320";"Cryptoon#3362";"08-Dec-19 09:06 AM";"Quickly switching to settings works to prevent crashing!";"";"";
"386470623699795971";"花果山#5224";"08-Dec-19 10:06 AM";"That voice is really upsetting";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"08-Dec-19 10:10 AM";"""that voice""?";"";"";
"375074477756645386";"ca333#0118";"08-Dec-19 10:11 AM";"audio notifications";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"08-Dec-19 10:12 AM";"ahhh
thought maybe PTYX was being insulted 😛";"";"";
"386470623699795971";"花果山#5224";"08-Dec-19 10:13 AM";"I need to mute or I can only close the software";"";"";
"375074477756645386";"ca333#0118";"08-Dec-19 10:13 AM";"@花果山 which operating system are you using?";"";"";
"386470623699795971";"花果山#5224";"08-Dec-19 10:13 AM";"android";"";"";
"375074477756645386";"ca333#0118";"08-Dec-19 10:16 AM";"Thanks for your feedback - the audio notification is a very new feature and we will work on it to make it as pleasant/user-friendly as possible. On android we will likely add an option for a mute thats very close to total silence.";"";"";
"278064452362960897";"Bitfinger#6245";"08-Dec-19 10:22 AM";"Would it not be possible to just remove the sound for android? Seems silly android users have to 'suffer' for an iOS workaround.";"";"💯 (1)";
"375074477756645386";"ca333#0118";"08-Dec-19 10:52 AM";"Thats not possible cuz of strict release requirements. Sound notification needs to be app-related and not a OS conditioned feature to bypass background process limitation.";"";"";
"597557300663812126";"Goku#9007";"08-Dec-19 10:54 AM";"""cuz of strict release requirements.""
But you mean the Apple App Store?
I think the PlayStore don't have that strict rules";"";"";
"337518847181586434";"Mark81#4505";"08-Dec-19 10:56 AM";"I guess ca333 trying to say that it must be on both versions or other wise it wont pass ios store.";"";"✅ (1)";
"597557300663812126";"Goku#9007";"08-Dec-19 10:59 AM";"Wow didn't know that Apple sets rules for PlayStore Apps too";"";"";
"337518847181586434";"Mark81#4505";"08-Dec-19 11:05 AM";"No they are not setting but in source code this playing sound cannot be ruled out by software automaticaly in terms  of  operating system where it is running.";"";"";
"337518847181586434";"Mark81#4505";"08-Dec-19 11:07 AM";"So if Apple sees in code that software is checking if you're in ios then play sound and if in Android then dont they won't pass it. It affects in this way to both worlds by their market leader position.";"";"👍 (1),✅ (1)";
"278064452362960897";"Bitfinger#6245";"08-Dec-19 11:17 AM";"@ca333 thanks";"";"👍 (1)";
"347922216429813760";"grewalsatinder#9653";"08-Dec-19 12:56 PM";"@ca333 @Mark81 that's interesting thing.... didn't expect that 🤔";"";"";
"410507116780978178";"Crypto Rich#6241";"08-Dec-19 03:29 PM";"https://twitter.com/CryptoRichYT/status/1203612751089819648?s=20";"";"👍 (3)";
"458020336806395917";"coingirl87#6489";"08-Dec-19 04:11 PM";"Is the sound function new??? I cant turn off the sound...is playing the whole time. Also when atomic dex is in background. Its very annoying";"";"";
"458020336806395917";"coingirl87#6489";"08-Dec-19 04:17 PM";"Why sound is neccesary ?";"";"";
"197010673602002945";"Bernz - Selling LABS#9130";"08-Dec-19 04:27 PM";"scroll up a single page";"";"";
"458020336806395917";"coingirl87#6489";"08-Dec-19 04:52 PM";"I never heard of this before and atomix dex is the only app on my smartphone which used that. A sound notification is okey but the sound is permanent so why it is neccesary to have a permanent annoying sound? Where is the sense?";"";"";
"345992331276713984";"Acura#2748";"08-Dec-19 04:57 PM";"scroll up 😄";"";"";
"458020336806395917";"coingirl87#6489";"08-Dec-19 04:59 PM";"Found nothing which answers my questions";"";"";
"345992331276713984";"Acura#2748";"08-Dec-19 05:05 PM";"I found many answer in the last 48hours in this channels about this topic";"";"";
"458020336806395917";"coingirl87#6489";"08-Dec-19 05:11 PM";"@ca333 when sound is neccesary, why not make sound of waves or better....fighting komodowaran?";"";"";
"209024368968204288";"artemciy_dice#0049";"08-Dec-19 05:20 PM";"AtomicDEX is in beta and we're only just started testing this functionality. The major question now is whether the Apple would approve the background mode. If they will, then we'll be further improving this functionality with things like choosing different sounds, allowing you to use the sounds from your own sound library and such. Anyhow, thanks for testing the app!";"";"KMD (2)";
"559425433112805376";"MorganJekyll#8355";"08-Dec-19 07:33 PM";"Keeps crashing after update. Delete and redownload?";"";"";
"589198378680975371";"Flint#6435";"08-Dec-19 07:40 PM";"now, during a swap, there is still some terrible sound of the voice of screaming children of some snatches of adult voices and this against the background of ringing coins and the sound of a drain";"";"awthanks (1)";
"209024368968204288";"artemciy_dice#0049";"08-Dec-19 07:47 PM";"@MorganJekyll Downloading a previous build  (such as 0.2.7) should help for now as a workaround, TestFlight allows you to pick a previous build.";"";"";
"405380797537976320";"Cryptoon#3362";"08-Dec-19 07:50 PM";"Immediately switching to settings prevents it to crash";"";"";
"405380797537976320";"Cryptoon#3362";"08-Dec-19 07:50 PM";"(For me)";"";"";
