AuthorID,Author,Date,Content,Attachments,Reactions
"345992331276713984","Acura#2748","10-Dec-19 06:24 AM","https://twitter.com/krugermacro/status/1204216587022143488?s=21","",""
"403205523433848833","farl#9964","10-Dec-19 06:49 AM","https://twitter.com/themooncarl/status/1203971458487275520?s=12","",""
"345992331276713984","Acura#2748","10-Dec-19 12:07 PM","Bitcoin ETF in Europe approved 


https://www.coinkurier.de/durchbruch-fuer-bitcoin-btc-in-europa-krypto-etf-eu-weit-zugelassen/","",""
"354615658148790275","sφldat#8733","10-Dec-19 01:46 PM","? https://twitter.com/ChainAcc/status/1204384304983355393?s=20","",""
"345992331276713984","Acura#2748","10-Dec-19 03:01 PM","https://twitter.com/krakenfx/status/1204413624963481600?s=19","",""
"653707544375590922","CRYPCY#9572","10-Dec-19 05:28 PM","Can I post a link to our shop in here? We accept KMD as payment 😁","",""
"406179072922746882","polycryptoblog#1173","10-Dec-19 05:30 PM","@CRYPCY  Yes that is fine,  make sure to add your shop to cryptwerk.com as well its a crypto business directory","",""
"653707544375590922","CRYPCY#9572","10-Dec-19 05:31 PM","Kewl. Thanks!","",""
"653707544375590922","CRYPCY#9572","10-Dec-19 05:31 PM","10% OFF on ALL orders this December - use **CRYPTOWINTER10** at checkout 😁 
Pay with ARRR, KMD, BTC, LTC or ETH
https://crypcy.com","",""
"347922216429813760","grewalsatinder#9653","10-Dec-19 06:04 PM","I wanted to know how much it costs with full configuration of Mac Pro with the monitor and it's frigging stand! 😅","https://cdn.discordapp.com/attachments/429676186583564288/654020543514673222/Screen_Shot_2019-12-11_at_7.01.55_AM.png",""
"345992331276713984","Acura#2748","10-Dec-19 06:05 PM","Seems cheap 😄","",""
"347922216429813760","grewalsatinder#9653","10-Dec-19 06:07 PM","I thought.... nah.... I'll buy upgraded one next year 😉","",""
"347922216429813760","grewalsatinder#9653","10-Dec-19 06:07 PM","😄","",""
"347922216429813760","grewalsatinder#9653","10-Dec-19 06:07 PM","more beefy one.... 😄","",""
"347922216429813760","grewalsatinder#9653","10-Dec-19 06:08 PM","~~this is not cutting it~~ it's not enough","",""
"347922216429813760","grewalsatinder#9653","10-Dec-19 06:08 PM","😄","",""
"347922216429813760","grewalsatinder#9653","10-Dec-19 06:37 PM","https://www.youtube.com/watch?v=cc0dqW2HCRc","",""
"405380797537976320","Cryptoon#3362","10-Dec-19 06:56 PM","how much is that in real money?","",""
"405380797537976320","Cryptoon#3362","10-Dec-19 06:56 PM","no clue what the exchange rate for NZD is :p","",""
"231533083818590211","Oszy#5734","10-Dec-19 07:59 PM","https://www.google.com/search?q=103566+nzd+to+usd","",""
"504735704543395853","mrlynch#5735","10-Dec-19 08:08 PM","way too much for a damn stand","",""
"412323938782150658","SHossain#0007","10-Dec-19 08:09 PM","build your own for cheap","",""
"504735704543395853","mrlynch#5735","10-Dec-19 08:11 PM","i did a few times","",""
"412323938782150658","SHossain#0007","10-Dec-19 08:11 PM","https://www.youtube.com/watch?v=518AWHLn3ZU","",""
"412323938782150658","SHossain#0007","10-Dec-19 08:11 PM","use this case to get the feelz of real one","",""
"412323938782150658","SHossain#0007","10-Dec-19 08:12 PM","and watercool it https://www.youtube.com/watch?v=Td1lgAW08ho","",""
"504735704543395853","mrlynch#5735","10-Dec-19 08:12 PM","how about ... no 😛","",""
"412323938782150658","SHossain#0007","10-Dec-19 08:13 PM","you don't wanna?","",""
"412323938782150658","SHossain#0007","10-Dec-19 08:13 PM","i wouldn't 😛","",""
