AuthorID,Author,Date,Content,Attachments,Reactions
"405011811511828481","Alright#0419","11-Dec-19 12:37 AM","was already discussed, doing that would likely get it rejected by apple review process","",""
"405011811511828481","Alright#0419","11-Dec-19 12:37 AM","""likely"" is almost certainly","",""
"459028995024093194","kmdkrazy#8280","11-Dec-19 04:32 AM","call it 'AtomicDawg' -  swaps crypto and calls your dog at the same time","","😂 (1),🐶 (1)"
"278064452362960897","Bitfinger#6245","11-Dec-19 04:38 AM","Imo the best solution would be to allow users to select their own sounds and then make a silent mp3 available to download on github so users can use that.","","👍 (3)"
"459028995024093194","kmdkrazy#8280","11-Dec-19 04:38 AM","not grandma proof","",""
"278064452362960897","Bitfinger#6245","11-Dec-19 04:39 AM","Grandma can just turn off her hearing aid","",""
"459028995024093194","kmdkrazy#8280","11-Dec-19 04:39 AM","just  imagine  grandma  at the  park  swapping some bitcoin and she loses track of her dog ---- well---not anymore","",""
"403205523433848833","farl#9964","11-Dec-19 09:14 AM","What are the key differences between Komodo AtomicDEX and Atomicwallet.io?","",""
"423176312354635779","gcharang#6833","11-Dec-19 09:15 AM","Atomicwallet.io doesn't have a dex and they might use atomicDEX-api in the future","",""
"403205523433848833","farl#9964","11-Dec-19 11:27 AM","They present it as a decentralized Atomic Swap app, but that’s not correct?","",""
"423176312354635779","gcharang#6833","11-Dec-19 11:30 AM","they use services like changenow for swaps
and have removed mentions of dex from their website
but they still say dex in their twitter bio 🤷‍♂️ 
not sure why","",""
"460233958073040896","Lennart#9331","11-Dec-19 11:35 AM","it just sounds sooo good!","",""
"460233958073040896","Lennart#9331","11-Dec-19 11:35 AM","listen: DEXxxx mmmhhh","",""
"211923166769971201","DRE#7875","11-Dec-19 04:47 PM","hello i have an issue","",""
"211923166769971201","DRE#7875","11-Dec-19 04:47 PM","can sent btc","",""
"345992331276713984","Acura#2748","11-Dec-19 04:57 PM","Try legacy adress @DRE","",""
"211923166769971201","DRE#7875","11-Dec-19 04:57 PM","how i can understand it","",""
"423176312354635779","gcharang#6833","11-Dec-19 05:09 PM","@DRE  you can only send to a BTC address that starts with ""1""","",""
"357495292381102080","fazer#0903","11-Dec-19 08:41 PM","Guys there seems like s something wrong with atomic dex: 
1, all time i start atomic dex i must add all coins again....
2, by adding any coin i must re-add it again to be added...
3, time to time adding stuck and add button disappear with infinite loading message instead of add + button","",""
"357495292381102080","fazer#0903","11-Dec-19 08:42 PM","just for case if you are interested in feedback....","",""
"345992331276713984","Acura#2748","11-Dec-19 09:22 PM","Which version? Did you tested it to first deinstall and then Reinstall ?","",""
"357495292381102080","fazer#0903","11-Dec-19 11:13 PM","from google play. actual. no did not tried it.","",""
"357495292381102080","fazer#0903","11-Dec-19 11:13 PM","will do","",""
"401097688206016512","miles#6381","11-Dec-19 11:30 PM","Just did my first few swaps with app in the background on iOS - was like a great weight was lifted! Luckily my phone lives on silent .......","",""
"406179072922746882","polycryptoblog#1173","11-Dec-19 11:32 PM","The noise is so it can run in background,  it will be optimized in the future","","KMD (1)"
