AuthorID,Author,Date,Content,Attachments,Reactions
"402649850241482752","Biz#0842","11-Dec-19 07:24 PM","@Alright that’s helpful thanks","",""
"402649850241482752","Biz#0842","11-Dec-19 07:24 PM","Cheers for productive talk","",""
"405011811511828481","Alright#0419","11-Dec-19 07:24 PM","integrate segwit :troll:","",""
"402649850241482752","Biz#0842","11-Dec-19 07:24 PM","lol","",""
"402649850241482752","Biz#0842","11-Dec-19 07:24 PM","And there it goes","",""
"402649850241482752","Biz#0842","11-Dec-19 07:25 PM","Funny though","",""
"405011811511828481","Alright#0419","11-Dec-19 07:25 PM","notarize directly to KMD with your own dpow network","",""
"405011811511828481","Alright#0419","11-Dec-19 07:25 PM","this is what #kmdlabs does","",""
"405011811511828481","Alright#0419","11-Dec-19 07:25 PM","is dirt cheap","",""
"402649850241482752","Biz#0842","11-Dec-19 07:25 PM","Yeah, we had someone suggest this. Not a bad thought","",""
"405011811511828481","Alright#0419","11-Dec-19 07:25 PM","roughly 1 KMD/day/chain with 7 minsigs at freq 5","",""
"402649850241482752","Biz#0842","11-Dec-19 07:26 PM","Still non-ideal, but something to think about","",""
"405011811511828481","Alright#0419","11-Dec-19 07:26 PM","could be even cheaper if you tweak the stuff mentioned above","",""
"402649850241482752","Biz#0842","11-Dec-19 07:26 PM","Tradeoffs between cost and security","",""
"405011811511828481","Alright#0419","11-Dec-19 07:26 PM","always","","💯 (1)"
"402649850241482752","Biz#0842","11-Dec-19 07:29 PM","Is there a reason that 64 was chosen for the number of notary nodes? Or relatively arbitrary","",""
"405011811511828481","Alright#0419","11-Dec-19 07:29 PM","64bit mask","",""
"405011811511828481","Alright#0419","11-Dec-19 07:30 PM","could be redesigned, but have to consider number of connections between nodes","",""
"405011811511828481","Alright#0419","11-Dec-19 07:31 PM","64 is a massive amount of connections already, adding even 1 more adds *a lot* more","",""
"405011811511828481","Alright#0419","11-Dec-19 07:31 PM","trying to think of equation for it 🤔","",""
"402649850241482752","Biz#0842","11-Dec-19 07:39 PM","Ah, so in your implementation, those nodes are constantly connected","",""
"402649850241482752","Biz#0842","11-Dec-19 07:39 PM","This makes sense","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:39 PM","whoever said it costs $10K per year for BTC txfees is off by a factor of 10 or more","",""
"402649850241482752","Biz#0842","11-Dec-19 07:40 PM","That was my feeling as well @jl777c","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:40 PM","for a 13 signature notarization, we are paying about $10 each","",""
"405011811511828481","Alright#0419","11-Dec-19 07:40 PM","it's like $9-10 every 10 minutes","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:40 PM","about 50 BTC per year","",""
"405011811511828481","Alright#0419","11-Dec-19 07:40 PM","not including server costs, man hours, etc","",""
"402649850241482752","Biz#0842","11-Dec-19 07:41 PM","Ah, well what’s the point of a notarization every 10 minutes?","",""
"402649850241482752","Biz#0842","11-Dec-19 07:41 PM","When a single block can take longer than that to confirm once?","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:41 PM","limiting the time to conduct a 51% attack","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:41 PM","on the non-notarized blocks","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:41 PM","if you notarized once per day, the cost would be a lot lower, but you would go an entire day between notarizations","",""
"402649850241482752","Biz#0842","11-Dec-19 07:41 PM","I don’t see how a non-confirmed BTC tx should be used to prevent that","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:42 PM","the non-notarized blocks are at risk","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:42 PM","BTC blocks arrive on average once per 10 minutes","",""
"402649850241482752","Biz#0842","11-Dec-19 07:42 PM","Okay. So just design choices we aren’t seeing eye to eye on really","",""
"402649850241482752","Biz#0842","11-Dec-19 07:44 PM","I would think once per hour would be sufficient to prevent large rollbacks.","",""
"402649850241482752","Biz#0842","11-Dec-19 07:44 PM","Or maybe once per 30 minutes","",""
"455741312273219595","jl777c#5810","11-Dec-19 07:46 PM","then the cost is only $500 per day","",""
"403206506171990047","artik123#2884","11-Dec-19 08:10 PM","I was thinking about an idea of an oracle that tracks BTC fees. 
So that notaries tx fee will be just enough to be included in the BTC chain but not more than that. I think that it can save a lot of money.","",""
"403206506171990047","artik123#2884","11-Dec-19 08:16 PM","@jl777c","",""
