AuthorID,Author,Date,Content,Attachments,Reactions
"405139979497504769","Cryptonian#5022","13-Dec-19 04:17 AM","Does the Agama wallet generate a seed phrase each time you activate a coin, or does it only create one seed for the entire Agama wallet? Because I did not see a seed phrase when I activated the Komodo wallet in Agama.","",""
"264236295432175616","Gordon Komodo#7477","13-Dec-19 05:25 AM","one seed phrase is for one address","",""
"264236295432175616","Gordon Komodo#7477","13-Dec-19 05:26 AM","If you activate native mode, agama won't prompt you to enter seed phrase. However if you use native mode , make sure that you save the wallet.dat","",""
"264236295432175616","Gordon Komodo#7477","13-Dec-19 05:26 AM","seed phrase is only needed when you use lite mode @Cryptonian","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 05:42 AM","ledger never seems to sync","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 05:42 AM","also doesnt show correct balance when it does","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 05:46 AM","Send all show xxxxxx kmd","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 05:46 AM","but if i type say anything above 800 it says insufficient funds","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 05:49 AM","Any other way to send from ledger in a safe way?","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 06:03 AM","Bad tx inputs apparently when trying to send, even lower amount D:","",""
"423176312354635779","gcharang#6833","13-Dec-19 06:59 AM","@Crabby Paddy I am not sure what the issue with ledger is, but you can access your coins using Agama
get priv key: <https://support.komodoplatform.com/support/solutions/articles/29000026855-how-to-retrieve-kmd-private-key-from-a-ledger-nano-s-using-agama>
login to move coins: <https://support.komodoplatform.com/support/solutions/articles/29000029966-logging-into-verus-agama-with-an-existing-private-key-or-seed>","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 06:59 AM","@gcharang can you vouch for using magnum with ledger will be safe and private keys won’t leave device? Thanks for response 😃","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 07:00 AM","Long term storage prefer not to get private keys out","",""
"423176312354635779","gcharang#6833","13-Dec-19 07:03 AM","> can you vouch for using magnum with ledger will be safe and private keys won’t leave device? 
ofc I can't vouch for that. I haven't used the wallet and don't own a ledger

but, from what I know of ledger, it won't allow privkeys to leave the device
the feasible way to  cheat a user is change the displayed destination address on the computer, but  I think ledger has a contermeasure for that too
you have to confirm the destination on the ledger also","",""
"508277543498022923","Crabby Paddy#6239","13-Dec-19 07:04 AM","Gotcha thanks so as long as ledger only asks for public key request and not private ones, and I double check destination address then funds should hypothetically be safe","","👍 (1)"
"405139979497504769","Cryptonian#5022","13-Dec-19 01:53 PM","@Gordon Komodo Thanks!","","👍 (1)"
"401454267812151298","zatJUM#9924","13-Dec-19 02:03 PM","Has anyone already contacted https://www.coolwallet.io/product/coolwallet/ to manage KMD on their wallet?","",""
"345600849902567427","optickle#9937","13-Dec-19 09:44 PM","Has there ever been a verus coin drop to KMD holders?","",""
