AuthorID,Author,Date,Content,Attachments,Reactions
"459062681916407808","notary-bot#0000","13-Dec-19 12:07 AM","In the last 12 hours some Notary Nodes have not notarized cc:@kolo

Node: **and1-89_EU** @And1_89 `Last Notarization: 2019-12-09 05:51:52`
Node: **blackjok3r_SH** @blackjok3r `Last Notarization: 2019-12-09 12:04:46`
Node: **thegaltmines_NA** @Herbison (The Galt Mines) `Last Notarization: 2019-12-11 13:10:03`
Node: **computergenie_NA** @ComputerGenie 👴🏼📢 `Last Notarization: 2019-12-12 00:53:06`
Node: **chainmakers_NA** @jorian @siu - Chainmakers `Last Notarization: 2019-12-12 01:31:05`
Node: **lukechilds_NA** @lukechilds `Last Notarization: 2019-12-12 01:32:08`
Node: **webworker01_SH** @webworker01 `Last Notarization: 2019-12-12 01:32:08`
Node: **pungocloud_SH** @kimmel (Pungo.io) @experimenter `Last Notarization: 2019-12-12 03:26:15`
Node: **zatjum_SH** @zatJUM `Last Notarization: 2019-12-12 03:26:15`
Node: **lukechilds_AR** @lukechilds `Last Notarization: 2019-12-12 03:32:25`
Node: **fullmoon_NA** @fullmoon `Last Notarization: 2019-12-12 04:47:30`
Node: **chmex_EU** @CHMEX `Last Notarization: 2019-12-12 05:06:18`
Node: **indenodes_AR** @eclips @Unknown `Last Notarization: 2019-12-12 05:06:18`
Node: **chainzilla_SH** @PTYX `Last Notarization: 2019-12-12 05:43:27`
Node: **phm87_SH** @phm87 `Last Notarization: 2019-12-12 05:43:27`
Node: **alright_AR** @Alright `Last Notarization: 2019-12-12 06:19:42`
Node: **decker_DEV** @Decker `Last Notarization: 2019-12-12 06:19:42`
Node: **metaphilibert_AR** @metaphilibert `Last Notarization: 2019-12-12 06:19:42`
Node: **cipi_NA** @cipi `Last Notarization: 2019-12-12 06:33:32`
Node: **node-9_EU** @CrisF `Last Notarization: 2019-12-12 06:49:04`
Node: **karasugoi_NA** @NNoperator  `Last Notarization: 2019-12-12 08:46:42`","",""
"459062681916407808","notary-bot#0000","13-Dec-19 12:07 AM","Node: **pbca26_NA** @pbca26 `Last Notarization: 2019-12-12 08:46:42`
Node: **pirate_NA** @mrlynch `Last Notarization: 2019-12-12 08:46:42`
Node: **indenodes_EU** @eclips @Unknown `Last Notarization: 2019-12-12 08:54:46`
Node: **madmax_AR** @MadMaX `Last Notarization: 2019-12-12 08:54:46`
Node: **titomane_AR** @titomane `Last Notarization: 2019-12-12 08:54:46`
Node: **alien_EU** @SHossain `Last Notarization: 2019-12-12 09:12:04`
Node: **cryptoeconomy_EU** @Carlos Crypto Economy `Last Notarization: 2019-12-12 09:12:04`
Node: **d0ct0r_NA** @Dr.Terminus `Last Notarization: 2019-12-12 09:12:04`
Node: **fullmoon_SH** @fullmoon `Last Notarization: 2019-12-12 09:12:04`
Node: **jeezy_EU** @jeezy `Last Notarization: 2019-12-12 09:12:04`
Node: **chainmakers_EU** @jorian @siu - Chainmakers `Last Notarization: 2019-12-12 09:22:55`
Node: **kolo_DEV** @kolo `Last Notarization: 2019-12-12 09:22:55`
Node: **peer2cloud_AR** @kimmel (Pungo.io) @experimenter `Last Notarization: 2019-12-12 09:22:55`
Node: **chainstrike_SH** @jeezy `Last Notarization: 2019-12-12 09:38:58`
Node: **cipi_AR** @cipi `Last Notarization: 2019-12-12 09:38:58`
Node: **gt_AR** @gt `Last Notarization: 2019-12-12 09:38:58`
Node: **indenodes_NA** @eclips @Unknown `Last Notarization: 2019-12-12 09:38:58`
Node: **indenodes_SH** @eclips @Unknown `Last Notarization: 2019-12-12 09:38:58`
Node: **komodopioneers_SH** @Mylo `Last Notarization: 2019-12-12 09:38:58`
Node: **metaphilibert_SH** @metaphilibert `Last Notarization: 2019-12-12 09:38:58`
Node: **nutellalicka_SH** @NutellaLicka `Last Notarization: 2019-12-12 09:38:58`
Node: **patchkez_SH** @patchkez `Last Notarization: 2019-12-12 09:38:58`","",""
"459062681916407808","notary-bot#0000","13-Dec-19 12:07 AM","Node: **pirate_AR** @mrlynch `Last Notarization: 2019-12-12 09:38:58`
Node: **tonyl_AR** @TonyL `Last Notarization: 2019-12-12 09:38:58`
Node: **voskcoin_EU** @VoskCoin @Greer `Last Notarization: 2019-12-12 09:38:58`
Node: **etszombi_AR** @etszombi `Last Notarization: 2019-12-12 09:59:46`
Node: **phba2061_EU** @PHBA2061 `Last Notarization: 2019-12-12 09:59:46`
Node: **alien_AR** @SHossain `Last Notarization: 2019-12-12 10:08:38`
Node: **decker_AR** @Decker `Last Notarization: 2019-12-12 10:08:38`
Node: **dragonhound_NA** @smk762 `Last Notarization: 2019-12-12 10:08:38`
Node: **etszombi_EU** @etszombi `Last Notarization: 2019-12-12 10:08:38`
Node: **fullmoon_AR** @fullmoon `Last Notarization: 2019-12-12 10:08:38`
Node: **infotech_DEV** @infotech-al `Last Notarization: 2019-12-12 10:08:38`
Node: **komodopioneers_EU** @Mylo `Last Notarization: 2019-12-12 10:08:38`
Node: **madmax_NA** @MadMaX `Last Notarization: 2019-12-12 10:08:38`
Node: **pirate_EU** @mrlynch `Last Notarization: 2019-12-12 10:08:38`
Node: **strob_NA** @Strob `Last Notarization: 2019-12-12 10:08:38`
Node: **titomane_EU** @titomane `Last Notarization: 2019-12-12 10:08:38`
Node: **titomane_SH** @titomane `Last Notarization: 2019-12-12 10:08:38`
Node: **webworker01_NA** @webworker01 `Last Notarization: 2019-12-12 10:08:38`","",""
"368864295397752833","metaphilibert#0926","13-Dec-19 12:07 AM","😱","","🤣 (3)"
"303794669945618442","PTYX#6840","13-Dec-19 12:11 AM","WTF happened","",""
"352577127494713345","phm87#7395","13-Dec-19 12:12 AM","webworker said ``komodostats.com currently being blocked by blockchain.com 429 Too Many Requests which was used for btc notarization counts.`` and this discord bot is based on komodostats I think","",""
"303794669945618442","PTYX#6840","13-Dec-19 12:31 AM","Gotcha","",""
"300741339279130624","webworker01#3884","13-Dec-19 01:34 AM","stopped bot temporarily until i sort this out 🙏","","💪 (1),👍 (1)"
"303794669945618442","PTYX#6840","13-Dec-19 01:48 AM","Web to the rescue","",""
"350115686023954432","Dr.Terminus#3269","13-Dec-19 01:51 AM","First of many future Dr.Terminus #cryptopuzzle posts coming any moment!","",""
