AuthorID,Author,Date,Content,Attachments,Reactions
"455741312273219595","jl777c#5810","15-Dec-19 08:53 AM","ultimately, any system that pays interest, needs to get the coins from somewhere. All the komodo pegged coins are 100%+ backed, so we cant just create it out of thin air. the 5% liquidation gains come from the accounts that have less than 10% equity left","",""
"455741312273219595","jl777c#5810","15-Dec-19 08:54 AM","so the risk takers are subsidizing the ones that didnt take as much risk. in exchange they had proportionally more stablecoins they could use in turn to liquidate other accounts, or spend, or trade","",""
"455741312273219595","jl777c#5810","15-Dec-19 08:55 AM","many have complained that KMD lacked liquidity. once we have EURK, there is a much much larger amount of liquidity that can be tapped into. and it doesnt require selling on the open market","",""
"455741312273219595","jl777c#5810","15-Dec-19 08:56 AM","does a coin having the ability to convert itself into stable form on demand, have extra value?","",""
"455741312273219595","jl777c#5810","15-Dec-19 08:57 AM","in my mind it does, especially as the friction of charging interest is eliminated. i think in some cultures, anything that is charging interest is not allowed. and generally speaking having to pay interest is not a good thing and leads to all sorts of bad outcomes","",""
"455741312273219595","jl777c#5810","15-Dec-19 08:58 AM","so in the spirit of increasing freedom and interest, the komodo pegged and backed stablecoins are not charging interest","",""
"459844460625526824","hyperDEX#6586","15-Dec-19 10:05 AM","Maybe another way to think about it, is that it is a way to margin trade KMD. When you do that typically you need to borrow coins and pay interest. I have not been able to find any coins that you can borrow at 5% a year.","",""
"455741312273219595","jl777c#5810","15-Dec-19 10:32 AM","since it is a useful feature and unique to my knowledge, i am sure effective marketing can be done for it.","",""
"455741312273219595","jl777c#5810","15-Dec-19 10:33 AM","it wont compete against the other crypto deposits that pay interest so it can be loaned out at higher rates","",""
"455741312273219595","jl777c#5810","15-Dec-19 10:35 AM","and it might be much more useful to existing community members, but the way i see it, that just makes it easier to get new people into the community","",""
"455741312273219595","jl777c#5810","15-Dec-19 10:36 AM","tl:dr it is not a copycat system that tries to compete against ETH/DAI","",""
"459844460625526824","hyperDEX#6586","15-Dec-19 10:38 AM","We just need fiat on/off ramps to accept the pegged coin, well exchanges too.","",""
"423176312354635779","gcharang#6833","15-Dec-19 10:44 AM","a fiat pegged Smart chain with nSPV Antara modules will make all my crypto dreams come true","","👆 (1)"
"459844460625526824","hyperDEX#6586","15-Dec-19 10:46 AM","The best systems in place without users or a place to spend it at, is just as good as the worst system. Let's not forget that utility is the driver of all things.","","👍 (1)"
"423176312354635779","gcharang#6833","15-Dec-19 10:55 AM","imo nSPV Antara modules in the browser will drive massive adoption
as it makes crypto more accessible to front end devs 
and, as there are no gas fees, users need not fear using it","",""
"455741312273219595","jl777c#5810","15-Dec-19 10:58 AM","already have a couple of EUR gateways in discussions","",""
"455741312273219595","jl777c#5810","15-Dec-19 10:59 AM","so you would be able to send the EURK to the gateway and do a SEPA transfer from there","",""
"455741312273219595","jl777c#5810","15-Dec-19 10:59 AM","and nSPV support for pegs and gateways chains are definitely needed and in development","",""
"143629520971366400","hastrup#8742","15-Dec-19 11:11 AM","it is not exactly the notary nodes, but rather composed of 13 msig operators. how would that work? is it automatet so they ""only run a note"" or do they need to copy pasta private key every time a loan is pay out? are they going to be paid?","",""
