AuthorID,Author,Date,Content,Attachments,Reactions
"357495292381102080","fazer#0903","16-Dec-19 11:12 PM","by your devices","",""
"345992331276713984","Acura#2748","16-Dec-19 11:12 PM","How can AtomicDex be to blame for adding every foreign word in your phone to your dictionary?","",""
"357495292381102080","fazer#0903","16-Dec-19 11:12 PM","if anyone try workaround password and get your seed will be able to","",""
"345992331276713984","Acura#2748","16-Dec-19 11:13 PM","your phone's dictionary is part of your operating system, not AtomicDex.","",""
"357495292381102080","fazer#0903","16-Dec-19 11:13 PM","Same way as another applications doing that by protected insert column","",""
"357495292381102080","fazer#0903","16-Dec-19 11:14 PM","i have another apps and even if i show passwords im entering they does NOT load pass into local db","",""
"357495292381102080","fazer#0903","16-Dec-19 11:14 PM","so same way should atomicdex do it","",""
"231533083818590211","Oszy#5734","16-Dec-19 11:14 PM","@TonyL text suggestions should be disabled on that field from within the code","","👆 (1)"
"345992331276713984","Acura#2748","16-Dec-19 11:14 PM","If your mobile phone operating system currently adds any newly added foreign words to the dictionary, this cannot be the problem of AtomicDex.
I still know what problem you're bringing to my attention.","",""
"231533083818590211","Oszy#5734","16-Dec-19 11:15 PM","`InputType.TYPE_TEXT_FLAG_NO_SUGGESTIONS` if written in flutter","",""
"231533083818590211","Oszy#5734","16-Dec-19 11:16 PM","`keyboardSuggestions: false` for iOS","",""
"357495292381102080","fazer#0903","16-Dec-19 11:16 PM","yea exactly. enter password seems like have this enabled, but create password not","",""
"357495292381102080","fazer#0903","16-Dec-19 11:16 PM","so all newly created passwords goes out","",""
"231533083818590211","Oszy#5734","16-Dec-19 11:17 PM","``` if (obscureText) {
            // Note: both required. Some devices ignore TYPE_TEXT_FLAG_NO_SUGGESTIONS.
            textType |= InputType.TYPE_TEXT_FLAG_NO_SUGGESTIONS;
            textType |= InputType.TYPE_TEXT_VARIATION_PASSWORD;
        }```
I am wondering which are those ""some devices"" that ignores this and why","",""
"231533083818590211","Oszy#5734","16-Dec-19 11:18 PM","https://github.com/flutter/engine/blob/d1c71e5206bd9546f4ff64b7336c4e74e3f4ccfd/shell/platform/android/io/flutter/plugin/editing/TextInputPlugin.java#L93-L99","",""
"357495292381102080","fazer#0903","16-Dec-19 11:20 PM","@Oszy i have lots of another apps that works as it is expected, only atomic dex saving my passwords in dict","",""
"231533083818590211","Oszy#5734","16-Dec-19 11:20 PM","probably it's not implemented, just saying, even if it's added, i am wondering if it will work on all phones","",""
"231533083818590211","Oszy#5734","16-Dec-19 11:21 PM","*not yours*","",""
"357495292381102080","fazer#0903","16-Dec-19 11:21 PM","sorry, i understand","",""
"375074477756645386","ca333#0118","16-Dec-19 11:50 PM","@Oszy the reporting user likely has one of these devices:","",""
"375074477756645386","ca333#0118","16-Dec-19 11:54 PM","@Oszy as we said above `although we knew from the code that no data is leaked.`  - we can try to dig into the flutter engine as soon as we know which devices ignore these flags. Its weird since OS shouldn't behave _that_ different. Actually interesting if that is ""by design"".","https://cdn.discordapp.com/attachments/584762059430821909/656283105648312367/Screenshot_2019-12-17_at_00.50.30.png",""
"231533083818590211","Oszy#5734","16-Dec-19 11:57 PM","👍","",""
