AuthorID,Author,Date,Content,Attachments,Reactions
"398864863067373568","CoinKing88#1540","20-Dec-19 02:42 PM","Is supernet minable?","",""
"405011811511828481","Alright#0419","20-Dec-19 02:43 PM","yes","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 02:44 PM","Can you provide me with some documentation on how to mine it?","",""
"405011811511828481","Alright#0419","20-Dec-19 02:44 PM","it's not in my best interest to teach the competition how to compete :troll:","",""
"405011811511828481","Alright#0419","20-Dec-19 02:45 PM","https://github.com/webworker01/knomp/","",""
"405011811511828481","Alright#0419","20-Dec-19 02:45 PM","this though","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 02:46 PM","No worries, i dont understand any of what you just send","",""
"405011811511828481","Alright#0419","20-Dec-19 02:46 PM","it's the pool software you can run to mine it","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 02:46 PM","Was gonna try mining 1 supernet for the fun of it but i am not tech savvy","",""
"405011811511828481","Alright#0419","20-Dec-19 02:47 PM","block rewards are 0.0001 SUPERNET","",""
"405011811511828481","Alright#0419","20-Dec-19 02:47 PM","so 1 will take you a while","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 02:47 PM","What is the current market price aprox. for supernet today?","",""
"405011811511828481","Alright#0419","20-Dec-19 02:48 PM","not a clue, you can take a look at NAV, usually trades at it or just under","",""
"405011811511828481","Alright#0419","20-Dec-19 02:48 PM","https://dexstats.info/supernetnav.php","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 02:49 PM","8.7 million per supernet?","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","20-Dec-19 02:51 PM","`What is the current market price aprox. for supernet today?`
10000 block rewards would = ~ 15-30 KMD in trade (depending on the market)","",""
"405011811511828481","Alright#0419","20-Dec-19 02:51 PM","forgot about this 🤣","https://cdn.discordapp.com/attachments/456900588018597918/657595983714189312/Screen_Shot_2019-12-20_at_9.51.04_AM.png",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","20-Dec-19 02:51 PM","246? big money!","",""
"405011811511828481","Alright#0419","20-Dec-19 02:52 PM","not sure where you're seeing 8.7 million","",""
"405011811511828481","Alright#0419","20-Dec-19 02:52 PM","calc estimates 27.03 KMD/ 1 SUPERNET","",""
"405011811511828481","Alright#0419","20-Dec-19 02:52 PM","but that figure doesn't include a few coins","",""
"448777271701143562","smk762#7640","20-Dec-19 02:58 PM","WTS DEX for INF KMD","",""
"365714438864633856","dukeleto#7326","20-Dec-19 03:01 PM","WTS INF VRSC","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 03:43 PM","@Alright oke thanks","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 03:46 PM","Is there a calculator on how long it will take me to mine 1 supernet with a high end GPU?","",""
"398864863067373568","CoinKing88#1540","20-Dec-19 03:46 PM","Want to mine 1 so i can say i mined 1 token in my life, cant figure out if that will take me hours, days or weeks","",""
"420119978138664961","CHMEX#0686","20-Dec-19 03:56 PM","Months","",""
"405011811511828481","Alright#0419","20-Dec-19 03:57 PM","2 days if you're the only one mining 😅","",""
"405011811511828481","Alright#0419","20-Dec-19 03:57 PM","you won't be...","",""
"420119978138664961","CHMEX#0686","20-Dec-19 04:10 PM","And if you make the chain move","",""
"420119978138664961","CHMEX#0686","20-Dec-19 04:10 PM","Its on demand after all","",""
