AuthorID,Author,Date,Content,Attachments,Reactions
"232679450301431808","blackjok3r#3181","21-Dec-19 12:00 AM",". wait... this was NN? Probably wallet.dat my staking node took aboiut that long too","",""
"402210705476026368","bishop#9773","21-Dec-19 12:03 AM","I don't stake on the NN, wallet is 2.5MB","",""
"402210705476026368","bishop#9773","21-Dec-19 12:05 AM","Sweet, two notas","",""
"402210705476026368","bishop#9773","21-Dec-19 12:08 AM","But I'll start staking on it for the hell of it.","",""
"232679450301431808","blackjok3r#3181","21-Dec-19 12:09 AM","you can for sure, shouldnt make any diffrence.","",""
"402210705476026368","bishop#9773","21-Dec-19 12:30 AM","`stats.py` in py_scripts not work? Specify LABS and 1440 blocks and I return blank","",""
"232679450301431808","blackjok3r#3181","21-Dec-19 12:33 AM","will check.. its a new script, and there have been some changes to things. Its using GetNotarizationsFromBlock rpc.. .try calling that from cli itarating back from current block height to see if it returns anything?","",""
"402210705476026368","bishop#9773","21-Dec-19 12:41 AM","```~/LabsNotary$ ./asset-cli LABS getNotarisationsForBlock 288000
{
  ""KMD"": [
  ],
  ""LABS"": [
  ]
}
```","",""
"459028995024093194","kmdkrazy#8280","21-Dec-19 01:51 AM","[LABS:288309] 342s until elegible...
288309 Aint your block either HOMIE!!!
[LABS:288309] Chain advanced, reset staking loop.","",""
"459028995024093194","kmdkrazy#8280","21-Dec-19 01:52 AM","I  think  this means  it solved  the problem and  is waiting to be  eligible to submit so  it can  claim   the  block","",""
"459028995024093194","kmdkrazy#8280","21-Dec-19 01:54 AM","so  it  is  mining  / solving the problem  before it says the  output 2019-12-21 01:08:00 Running KomodoMiner.tromp with 4 transactions in block (92689 bytes)","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","21-Dec-19 02:33 AM","`2019-12-21 02:31:01 [Pool]      [kmdlabs] (Thread 1) Stratum Pool Server Started for kmdlabs [LABS] {equihash} `","","shexy (3)"
"232679450301431808","blackjok3r#3181","21-Dec-19 06:48 AM","@kmdkrazy  
`https://github.com/KMDLabs/komodo/commit/f1e997bf8f27ec9afffb62fed66a047e02062a1d`","",""
"232679450301431808","blackjok3r#3181","21-Dec-19 06:49 AM","I am about to test this, the RPC and the conf file settings work, need to confirm it does what you requested please. 
Just building blackjok3r branch and trying to stake 1 block will confirm, pretty sure its simple enough nothing can go wrong, dont kill me if you lose coins 😄","",""
"323462995571245057","Bar_F1sh_Rel#0834","21-Dec-19 07:01 AM","OK - on a staking node (ONLY Staking) - what are the params to set in order to have new generated coins go to an exisiting address OTHER than the pubkey?","",""
"232679450301431808","blackjok3r#3181","21-Dec-19 07:03 AM","`./komodod -ac_cclib=labs -addnode=195.201.20.230 -addnode=80.240.17.222 -addnode=103.6.12.112 -addnode=149.28.8.219 -ac_ccenable=226,236 -ac_supply=350689 -ac_staked=51 -ac_name=LABS -ac_reward=0,0,800000000 -ac_end=128,10080,0 -ac_notarypay=64,100000000,1000000000 -ac_eras=3 -ac_sapling=1 -ac_cc=101 -ac_halving=129,1 -ac_decay=0,100000000,100000000 -splitperc=100`
this will merge the entire value of the staking utxo to the coinbase vout 0 (using -pubkey will send ALL staking utxo to -pubkey address/segid)
blackjok3rr branch has an extra param
`-returntosegid=1` 
This sends the coinbase to the address that staked the block. So your segid distribution will stay the same.","",""
"352577127494713345","phm87#7395","21-Dec-19 07:55 AM","Since the hard fork, I'm seeing weird tx on my staking node:","",""
