AuthorID,Author,Date,Content,Attachments,Reactions
"395274075985018880","Regnar#6164","23-Dec-19 04:15 AM","@androkles devs and admin here won't PM you asking for anything, please make sure you report them to admin here. Sometimes people imitate us and look legit, do NOT send money, ever!","",""
"395274075985018880","Regnar#6164","23-Dec-19 04:15 AM","Also obviously don't download anything they send you either","",""
"228147284729135104","androkles#6591","23-Dec-19 06:14 AM","Thank you for the response. If he is the dev in this project I appreciate the info about his involvement of another project.","",""
"395274075985018880","Regnar#6164","23-Dec-19 06:24 AM","@androkles this includes anyone sending you a PM with a github link or something to download ""the newest wallet"" or something. Always verify PMs in the official channels, I'd hate for something bad to happen","",""
"228147284729135104","androkles#6591","23-Dec-19 06:37 AM","Yes,  thank you for notifying. But can you confirm that Aamodt is developer here?","",""
"423176312354635779","gcharang#6833","23-Dec-19 07:10 AM","@androkles I am not familiar with that name
he could be contracted to work as a free lancer for a project related to Komodo
if you can share his github profile or any other online info, you might get an answer","",""
"228147284729135104","androkles#6591","23-Dec-19 07:28 AM","Unfortunately I only know pseudonym ""Aamodt"".","",""
"656865987349446656","Antony#2574","23-Dec-19 11:50 AM","Hello, I'm Antony from SwapSpace project. With whom can I discuss a possible collaboration? Thanks.","",""
"231533083818590211","Oszy#5734","23-Dec-19 11:54 AM","marketing@komodoplatform.com or @Audo","",""
"656865987349446656","Antony#2574","23-Dec-19 12:05 PM","Thank you!","",""
"524195218858180608","coinmonks || CoinCodeCap#8469","23-Dec-19 02:41 PM","anyone building something cool crypto product on top of Komodo?","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:41 PM","@Team  Admin there is another scammer here pretending to be support. Username is @RaskuI","",""
"504735704543395853","mrlynch#5735","23-Dec-19 06:43 PM","please give us the ID","",""
"504735704543395853","mrlynch#5735","23-Dec-19 06:43 PM","enable developer mode in your settings, right click on the scammer -> copy ID","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:46 PM","Gotcha","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:46 PM","654825598572691476","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:46 PM","@mrlynch","",""
"504735704543395853","mrlynch#5735","23-Dec-19 06:48 PM","thanks
mind if you DM me a screenshot of the spam message?","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:49 PM","Gotcha","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:49 PM","We banned him in PIVX already","",""
"454786445702463507","𝙊𝙞𝙣𝙠#3612","23-Dec-19 06:49 PM","He's in Verus Discord too. If he indeeds pretend to be support, please notify MikeTout too","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:50 PM","Yep I’m notifying all discord’s I’m in","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:50 PM","He has multiple accounts as well","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:50 PM","He has been asking users for their wallet.dat","",""
"504735704543395853","mrlynch#5735","23-Dec-19 06:50 PM","-ban 654825598572691476 dm spam asking for wallet.dat","",""
"204255221017214977","YAGPDB.xyz#8760","23-Dec-19 06:50 PM","🔨 Banned `RaskuI#5486` indefinitely","",""
"312541186793406465","Jeffrey#2716","23-Dec-19 06:51 PM","People do fall for it unfortunately 🤕","",""
"448774465036484608","cascrypto#8206","23-Dec-19 07:16 PM","It sucks it is attention so enjoy the holidays","",""
"448774465036484608","cascrypto#8206","23-Dec-19 07:16 PM","0","",""
