AuthorID,Author,Date,Content,Attachments,Reactions
"551694866678022154","coolermaster#4963","24-Dec-19 09:51 AM","@hereSo when is the GUI available? Or is this a dead project?","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","24-Dec-19 10:58 AM","<https://github.com/tonymorony/DiceCC-GUI> is one GUI","",""
"551694866678022154","coolermaster#4963","24-Dec-19 12:30 PM","Looks like ill have to fire up my pi4 not a great linux user (total noob) but i will try......... Do i need my KMDice in a wallet to play, mine are on an exchange atm as cant find a wallet that supports KMDice. Any help or links to anything KMDice appreciated","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","24-Dec-19 12:41 PM","yes, you need them in a wallet where you control the keys
you cannot spend coins you do not own","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","24-Dec-19 12:43 PM","<https://github.com/KomodoPlatform/komodo/releases/latest> is the current cli wallet release from komodoplatform","",""
"551694866678022154","coolermaster#4963","24-Dec-19 12:53 PM","Thanks 🙂","",""
"551694866678022154","coolermaster#4963","24-Dec-19 01:16 PM","is there a user guide for the cli?","",""
"551694866678022154","coolermaster#4963","24-Dec-19 01:27 PM","Just closes straight away do i need to change something in the fetch params file or just some issue with my setup (windows 7 most likely) ill just have to setup the pi and try the linux version guess its a good way to start to learn linux","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","24-Dec-19 01:39 PM","open cmd, then drag-n-drop the file into it and press <enter>","",""
"551694866678022154","coolermaster#4963","24-Dec-19 01:48 PM","Awesome Thank you","",""
"551694866678022154","coolermaster#4963","24-Dec-19 02:50 PM","sorry for all the questions but do i play straight from the wallet or is KMDice a separate install?","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","24-Dec-19 03:44 PM","all komodo assetchains/smartchains can be run from the same daemon/cli
the parameters to run KMDICE from komodod are in this channel's topic","",""
