AuthorID,Author,Date,Content,Attachments,Reactions
"470770424075255834","Privatoshi#9487","30-Dec-19 06:39 AM","FTM @ 155","","👌 (1)"
"405380797537976320","Cryptoon#3362","30-Dec-19 10:56 AM","@Andersen some really interesting correlations tbh","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 10:56 AM","if you look at the data one should be inclined we are due for a move upwards","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 10:56 AM","open intrest dropping, fear index rising etc","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 10:56 AM","in the past that always preceded a move up","",""
"301766691992371210","Markus#5464","30-Dec-19 12:43 PM","https://www.tradingview.com/x/4reNMe8Q/","",""
"458020336806395917","coingirl87#6489","30-Dec-19 02:43 PM","Waves 1,07$ 💪","","abusedsmily (4),troll_hurt (1)"
"457884604167225374","meatspoon#7860","30-Dec-19 03:19 PM","Do y’all remember when people in here were saying ARRR was the best privacy coin ever?... and how it was gonna moon so hard it would shiver me timbers?  That was funny.","","yassinheartbroken (1),🤔 (1)"
"347110333762109452","dan.#2473","30-Dec-19 03:28 PM","ive been saying it forever. people are nuts if they dont take some profits. pigs get slaughtered","",""
"347110333762109452","dan.#2473","30-Dec-19 03:31 PM","hindsight is 20/20 but hedging risk when possible is good...","",""
"515535619150184448","richardt#2807","30-Dec-19 03:33 PM","@meatspoon alot have been said to be the best ever 😄","",""
"515535619150184448","richardt#2807","30-Dec-19 03:34 PM","Also, BTC and ETH were both suppose to die 2 years ago","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 03:58 PM","I sold some ARRR at the top","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 03:58 PM","for once","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 03:58 PM","been buying again lately 🙂","",""
"457884604167225374","meatspoon#7860","30-Dec-19 05:45 PM","Yeah, this crypto space is full of pretty awful predictions.  They are kind of fun to look back and marvel on.  The idea of Pirate Chain overtaking Monero was floated as ""probable"" or ""obvious"" by some of the more fanciful personalities in here.  And they were making such predictions on a short time frame as well, like within a year or two.  Heh.  Time may prove my opinion incorrect, but with the hindsight we have, ARRR looks like a thrown together cash grab by the KMD mining community.  Much (if not all) of the hype was projected by the miners (surprise!).","","troll_hmm (1)"
"414518440649555970","tolken#2655","30-Dec-19 06:05 PM","ARRR, if indeed superior (which I have no reason to believe it isn’t) then the rest is just a matter of marketing, word of mouth etc. AtomicDex integration is a big milestone I would keep an eye on.","","💯 (2)"
"349903748539351042","allbits#5898","30-Dec-19 06:07 PM","""thrown together cash grab"" - more casual slander from meatspoon. Does he even bother to check their discord to see the real work that goes on there week after week after week before hurling his uninformed accusations? Their work does not guarantee market acceptance, and indeed it has not succeeded in price, but to call it a thrown together cash grab is pure slander.","","👍 (1),✅ (2),👆 (1)"
"301766691992371210","Markus#5464","30-Dec-19 06:10 PM","ppl always have something to shit talk, same with ppl saying that TA does not work when ppl who does understand the market and how it moves makes a killing out of it","",""
"301766691992371210","Markus#5464","30-Dec-19 06:10 PM","the ppl who say TA does not work are the once who hodl and get rekt","",""
"417671530642931713","Andersen#8337","30-Dec-19 06:18 PM","https://twitter.com/AliCripToe/status/1211055563603349506","",""
"515535619150184448","richardt#2807","30-Dec-19 06:29 PM","Did TA predict that KMD will be back at 2018 lows?","",""
"417671530642931713","Andersen#8337","30-Dec-19 06:31 PM","@meatspoon     If (when) Pirate is capable of atomic swap  to KMD  or any other coin , it will be  game  change.
Many  times i heard people  ask  here  in discord  then monero swaps ? Looks  like  never.
And  Pirate  in  next year  probably .....","",""
"515535619150184448","richardt#2807","30-Dec-19 06:34 PM","You do have to admit though, the words ""best tech"" and ""game changer"" does get thrown around alot around here. It's become pretty meaningless at this point","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:36 PM","do","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:36 PM","your","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:36 PM","own","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:36 PM","research","",""
"515535619150184448","richardt#2807","30-Dec-19 06:37 PM","@Cryptoon I agree. Nothing is better than DYOR and thinking for yourself","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:38 PM","Yeah, wouldnt be the first time someone lost all of their money by blindly following whatever some cryptotwitter personality declares the next big thing","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:38 PM","and gets dumped on","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:38 PM","veriblock comes to mind 🙂","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:39 PM","other than that, ARRR is pretty solid and seems pretty bottomed out atm, it's just marketing and adoption atm, but the underlying tech is top notch as far as privacy coins go","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:39 PM","But as far as what is needed to make it grow in price, it's the same for any coin/project. Adoption + usage is key","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:40 PM","everything else is just hype and temporary","",""
"301766691992371210","Markus#5464","30-Dec-19 06:40 PM","@richardt yes it did and it might not be over yet","",""
"301766691992371210","Markus#5464","30-Dec-19 06:40 PM","nothing is quaranteed, things can change","",""
"515535619150184448","richardt#2807","30-Dec-19 06:40 PM","I don't recall anyone predicting when KMD was about to release rebrand/Antara/AtomicDEX","",""
"301766691992371210","Markus#5464","30-Dec-19 06:40 PM","we are in a bearish trend so u look for potential targets until there is signs of a reversal","","KMD (1)"
"405380797537976320","Cryptoon#3362","30-Dec-19 06:41 PM","a hacker dumping 9 million kmd doesnt help offcourse @richardt","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:41 PM","🙂","",""
"515535619150184448","richardt#2807","30-Dec-19 06:41 PM","Even so, no one predicted it would go this low","",""
"301766691992371210","Markus#5464","30-Dec-19 06:41 PM","first sign u want is a higher low, kmd might maybe be doing that now, nothing confirmed","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:42 PM","when btc went to 12k earlier this year everyone was predicting 50k and would 'go allin' if we ever saw 6-7k levels again...","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:42 PM","hindsight is always 20/20 :p","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:42 PM","now everyone is shouting 1500$ and shorting it to the bottom blabla","",""
"301766691992371210","Markus#5464","30-Dec-19 06:42 PM","14k was obvious if u know some basic TA using fibonacci, btc did a 61.8% retest","",""
"301766691992371210","Markus#5464","30-Dec-19 06:42 PM","61.8% is a golden target","",""
"515535619150184448","richardt#2807","30-Dec-19 06:43 PM","I'm just talking about KMD right now","",""
"515535619150184448","richardt#2807","30-Dec-19 06:44 PM","I'm not saying TA isn't useful, but it doesn't really take into account the bigger picture. It's like winning small battles, but losing the entire war","",""
"301766691992371210","Markus#5464","30-Dec-19 06:45 PM","https://www.tradingview.com/x/ixWSDOK7/","",""
"301766691992371210","Markus#5464","30-Dec-19 06:45 PM","here u have it","",""
"301766691992371210","Markus#5464","30-Dec-19 06:49 PM","if bottom is not in then u have 3k next","",""
"301766691992371210","Markus#5464","30-Dec-19 06:49 PM","https://www.tradingview.com/x/9AaOAyMZ/","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:50 PM","dont you need to take the 40 last bars?","",""
"405380797537976320","Cryptoon#3362","30-Dec-19 06:50 PM","for fib?","",""
"301766691992371210","Markus#5464","30-Dec-19 06:51 PM","nope, u can even draw fib on BLX chart from previous cycle low to 19k high and u see that 3k bottom was not a coincidence","",""
"301766691992371210","Markus#5464","30-Dec-19 06:52 PM","on btc that is","",""
"515535619150184448","richardt#2807","30-Dec-19 06:53 PM","Of course it's not a coincidence. The people who control the markets wanted it that way to make people like us feel like we know what we're doing 😄","",""
"455741312273219595","jl777c#5810","30-Dec-19 07:00 PM","https://twitter.com/ProofOfReview/status/1211709609511182336?s=20","","rum (8),✅ (6),🇦 (3)"
"396617299378962432","Lanii#8302","30-Dec-19 09:58 PM","Doing TA and talking in absolutes don't go hand in hand","",""
"396617299378962432","Lanii#8302","30-Dec-19 09:58 PM","It's really dumb to draw some fibs and say smth like ""we are gonna go here""","",""
"470770424075255834","Privatoshi#9487","30-Dec-19 10:05 PM","@Lanii You tell Fibonacci, Leonardo Bonacci, that it is dumb.. I'll side with the math","",""
"249256116150730753","PHBA2061#2530","30-Dec-19 10:07 PM","well if the majority decides to follow the TA, then it will happen.","",""
"249256116150730753","PHBA2061#2530","30-Dec-19 10:09 PM","I don't do TA, but I see TA as something like ""trading consensus"" among traders, the more people follow the more chance it can be accurate","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:52 PM","@Privatoshi muh fibs are actually levels that form these fibs. Go to monthly and you can see why btc rejected there. Its not because they are magic in any ways, if you know price action then you dont need no fibs","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:53 PM","@PHBA2061 Majority never makes money. Proper TA works (over time) because it gives you good probability trades with specific entries and stops","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:54 PM","Not because the majority uses it and hence it works out","",""
"515535619150184448","richardt#2807","30-Dec-19 10:55 PM","I guess at the end of the day, we all need some kind of model to predict what the whales are thinking and give us the feeling that we have some form of control when we really don't","",""
"515535619150184448","richardt#2807","30-Dec-19 10:55 PM","The same could be said with many other aspects of life","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:56 PM","I dont agree with that, good traders definetely beat the market over time","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:56 PM","If you have proper knowledge and good dicipline you make money","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:56 PM","If you bother with indicators, patterns etc. you dont, simple as that","",""
"515535619150184448","richardt#2807","30-Dec-19 10:57 PM","with the proper ""inside"" knowledge 😄","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:58 PM","It is sort of ”inside” because it is very limited info on it out there unless you have a mentor of some sort","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:59 PM","However you’ll find hundred of books on indicators, trend lines and patterns","",""
"396617299378962432","Lanii#8302","30-Dec-19 10:59 PM","Hence why in my opinion it doesnt work","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:00 PM","If someone can show me consistent profits for 2 years using those then I’ll change my mind","",""
"515535619150184448","richardt#2807","30-Dec-19 11:04 PM","Yup, pretty easy to be a good trader when you have inside info.","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:06 PM","Its not inside info","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:07 PM","Its knowledge about how price moves","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:07 PM","Im not talking about ”inside calls”","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:07 PM","And this knowledge is hard to come by","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:07 PM","And if you do, you need to put down a good amount of time to understand and utilize","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:08 PM","Meanwhile you’ll memorize all patterns within one hour and you can easily spot it","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:08 PM","And retail wants easy way out so thats what they use","",""
"515535619150184448","richardt#2807","30-Dec-19 11:11 PM","Sure, I won't argue with that. But also can't ignore that most of the price movements are controlled by a small number of people","",""
"515535619150184448","richardt#2807","30-Dec-19 11:11 PM","Especially in a highly speculative market like crypto","",""
"301766691992371210","Markus#5464","30-Dec-19 11:12 PM","ofc trendlines and support/resistance work","",""
"301766691992371210","Markus#5464","30-Dec-19 11:12 PM","the trend is your friend","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:13 PM","People here using trendlines Dont even know how to use it 😂😂","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:13 PM","Just drawing them to fit bias","",""
"301766691992371210","Markus#5464","30-Dec-19 11:13 PM","let me give u a quick overview of why bitcoin stopped at pretty much exactly 6.5k and not lower or higher","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:13 PM","@richardt yes for sure. But with proper knowledge your trying to Join them","","👌 (1)"
"301766691992371210","Markus#5464","30-Dec-19 11:14 PM","https://www.tradingview.com/x/jDl8hvRl/","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:15 PM","When big boys are moving price they Dont do it randomly (mostly) and for that reason they have to do some things and protect some things from happening for their purpose","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:15 PM","And thats Why price action matters","",""
"396617299378962432","Lanii#8302","30-Dec-19 11:16 PM","@Markus Thats price action, tell me What pattern or trendline would tell you to buy There","",""
