AuthorID,Author,Date,Content,Attachments,Reactions
"350115686023954432","Dr.Terminus#3269","31-Dec-19 12:40 AM","`For 10 KMD!!!

Rearrange this 3 x 3 set of digits so that every 3 digit row, column, and diagonal adds up to 15.

1 2 3
4 5 6
7 8 9

Only one (initial) answer will be accepted per user which must be posted right here in this channel. Please arrange your solution in a 3 x 3 layout just as the puzzle is presented.`","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 12:41 AM","Pinned a message.","",""
"402649850241482752","Biz#0842","31-Dec-19 12:47 AM","`9 2 3
5 6 4
1 7 8`","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 12:47 AM","Incorrect","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 12:48 AM","9 2 3 = 14","",""
"402649850241482752","Biz#0842","31-Dec-19 12:48 AM","Crap, first try 😛","",""
"448777271701143562","smk762#7640","31-Dec-19 12:48 AM","```5 5 5
5 5 5
5 5 5```
:troll_thuglife:","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 12:48 AM","good effort. USE YOUR 1 ANSWER CAREFULLY GANG ! 🙂","",""
"402649850241482752","Biz#0842","31-Dec-19 12:48 AM","Hahaha","",""
"402649850241482752","Biz#0842","31-Dec-19 12:49 AM","@smk762 funneh","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 12:49 AM","no second posts please, if you figure it out after an incorrect answer and post it you will just be giving answer to next person to come along and copy / paste your solution","",""
"402649850241482752","Biz#0842","31-Dec-19 12:49 AM","Aye-aye, captain","","rum (1)"
"448777271701143562","smk762#7640","31-Dec-19 12:51 AM","!kmdtip @Dr.Terminus 0.555","","awthanks (1)"
"499325474128920597","KMD TipBot#0077","31-Dec-19 12:51 AM","","","awthanks (1)"
"350115686023954432","Dr.Terminus#3269","31-Dec-19 12:51 AM","Stick around. May find another puzzle / riddle to post after we get a correct answer... someone will crack it","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:04 AM","Keeping it fresh...","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:04 AM","[SOLVED]
`For 12 KMD!!! 

Rearrange this 3 x 3 set of digits so that every 3 digit row, column, and diagonal adds up to 15.

1 2 3
4 5 6
7 8 9

Only one (initial) answer will be accepted per user which must be posted right here in this channel. Please arrange your solution in a 3 x 3 layout just as the puzzle is presented.`","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:05 AM","Pinned a message.","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","31-Dec-19 01:05 AM","`2 7 6`
`9 5 1`
`4 3 8`","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","31-Dec-19 01:07 AM","or how the hell one gets it to line up on here 😛","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:09 AM","!kmdtip @ComputerGenie 👴🏼📢 12","",""
"499325474128920597","KMD TipBot#0077","31-Dec-19 01:09 AM","","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:09 AM","correct!","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:09 AM","Bonus Rd.!!","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:09 AM","There is another possible layout.. FIND IT FAST FOR 6 KMD!!!","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","31-Dec-19 01:10 AM","`492`
`357`
`816`","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","31-Dec-19 01:11 AM","because I can turn my head :troll:","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:11 AM","too fast 🙂 no more bonus rounds this puzzle lol","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:11 AM","!kmdtip @ComputerGenie 👴🏼📢 6","",""
"499325474128920597","KMD TipBot#0077","31-Dec-19 01:11 AM","","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","31-Dec-19 01:11 AM","tnks","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:12 AM","well done","",""
"474206298427097099","ComputerGenie 👴🏼📢#7004","31-Dec-19 01:12 AM","_goes back to 📺_","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:12 AM","you got a good puzzle to post? I'll provide reward","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:13 AM","anyone got a solid puzzle they think will take longer than an hour to solve around here?","",""
"393151421501014016","infotech-al#5583","31-Dec-19 01:14 AM","1 6 8","",""
"393151421501014016","infotech-al#5583","31-Dec-19 01:14 AM","2 4 9","",""
"393151421501014016","infotech-al#5583","31-Dec-19 01:14 AM","3 4 8","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:14 AM","Penny-Packer","",""
"350115686023954432","Dr.Terminus#3269","31-Dec-19 01:15 AM","🙂","",""
