AuthorID,Author,Date,Content,Attachments,Reactions
"335362302859542531","0x03#8822","01-Jan-20 12:18 AM","happy new year everybody","",""
"333508133060083712","Nabob#5004","01-Jan-20 01:17 AM","Happy new year to everyone 🎉❣️🎈🎉","","❤️ (1)"
"470770424075255834","Privatoshi#9487","01-Jan-20 02:05 AM","Happy New year!!!
I'm very proud of the Komodo Team.
I gained even more respect, if that was possible, for
how the Agama Hack was handled--during & after.
AtomicDex, too!!!!!","","KMD (6)"
"511491122061770762","PirateHodlor#3573","01-Jan-20 06:40 AM","Happy New Year 2020 everyone!","",""
"557578346087841793","FtrSaroth#2069","01-Jan-20 07:20 AM","Happy new year to everyone! 🎉 :KMD:","","🙌 (1)"
"648765149565419533","looye29#2126","01-Jan-20 11:07 AM","Happy new year","",""
"425038173853319178","nille#9011","01-Jan-20 07:28 PM","Happy new year to all","",""
"625907714324824086","ffffffff (kremer)#0658","01-Jan-20 08:19 PM","there's a broken link in the komodo docs https://docs.komodoplatform.com/basic-docs/smart-chains/komodo/setup-electrumX-server.html 

just a heads up","","👍 (1)"
"403205523433848833","farl#9964","01-Jan-20 08:28 PM","@Audo 👆🏻 is that your department?","",""
"249256116150730753","PHBA2061#2530","01-Jan-20 09:42 PM","it's rather @gcharang  I believe","",""
"447839051933024266","c2k#4915","01-Jan-20 09:58 PM","does anyone know if dexstats is still functional or is there just something wrong with the site?","",""
"352577127494713345","phm87#7395","01-Jan-20 10:00 PM","it should work, sometimes one explorer is down but most part of the websites are working fine each time I need it","",""
"352577127494713345","phm87#7395","01-Jan-20 10:01 PM","mmhhh whitepage on the homepage from my computer now ... maybe the mm2 feature added by @CHMEX are using too much ressources","",""
"447839051933024266","c2k#4915","01-Jan-20 10:01 PM","dexstats opens  on your computer? https://dexstats.info/","",""
"352577127494713345","phm87#7395","01-Jan-20 10:01 PM","but <https://dexstats.info/bootstrap.php> still work for me so I'm super happy with it","",""
"352577127494713345","phm87#7395","01-Jan-20 10:02 PM","@c2k when I try dexstats.info I have a blank page, I hope that tomorrow, CHMEX will have fixed it","",""
"447839051933024266","c2k#4915","01-Jan-20 10:02 PM","boostrap works...ty vm","",""
"352577127494713345","phm87#7395","01-Jan-20 10:03 PM","explorers seem also to work ... <https://wlc21.explorer.dexstats.info/blocks> as example","",""
"420119978138664961","CHMEX#0686","01-Jan-20 10:03 PM","Mainpage also should work and has now mm2 data","",""
"352577127494713345","phm87#7395","01-Jan-20 10:03 PM","Sorry to shill WLC21 (but it is allowed to shill smartchains)","","🙂 (1)"
"352577127494713345","phm87#7395","01-Jan-20 10:04 PM","Homepage works now ! It is cool ! @c2k can you try again ?","",""
"447839051933024266","c2k#4915","01-Jan-20 10:11 PM","👍","",""
"352577127494713345","phm87#7395","01-Jan-20 10:24 PM","@CHMEX About mm2 data, how do you retrieve it ?
If you use the dexfee address RThtXup6Zo7LZAi8kRWgjAyi1s4u6U9Cpf, you may overestimate the number of swaps (some failed swaps already paid the dexfee). If you use Alright scripts, it can be fine (if you restrict the swaps counts to swaps with dexfee paid, otherwize, you'd take into account swaps of other DEX'es)","",""
"447839051933024266","c2k#4915","01-Jan-20 10:33 PM","anyoen know if OURC is still alive or no?","",""
"447839051933024266","c2k#4915","01-Jan-20 10:36 PM","and ZEXO too...anyone know if that alive or dead?","",""
"419964976397156352","cipi#4502","01-Jan-20 10:45 PM","@phm87 the data is from the seed nodes (json-files of MAKER and TAKER stored there)
i parse that data and write it into an SQL database
if one of the event types of the swap is of type `error_events`, the data is written into a separate table (for further analysis)","",""
"352577127494713345","phm87#7395","01-Jan-20 10:47 PM","ok thank you, I though that dexstats was using Alright's script (I'm reading it but I'm poor at python)","",""
