AuthorID,Author,Date,Content,Attachments,Reactions
"423176312354635779","gcharang#6833","09-Jan-20 08:41 AM","> Win security message saying chrome wants me to log into github for some reason
Is it really a windows security message? I haven't used windows recently, but I don't think windows OS will ask you about this.
@okthen","",""
"423176312354635779","gcharang#6833","09-Jan-20 09:25 AM","also, try this link: <https://pbca26.github.io/hw-kmd-reward-claim/#ledger-webusb>","",""
"372307527888666624","okthen#8167","09-Jan-20 10:06 AM","will try now","",""
"372307527888666624","okthen#8167","09-Jan-20 10:21 AM","Thank you @gcharang that worked perfectly, the ../#ledger/webusb  apparently made the difference.. Thanks again 🙂","","👍 (1)"
"372307527888666624","okthen#8167","09-Jan-20 10:22 AM","it still asked me to allow the connection to the device, which never happened before the last update to the latest firmware. must be that then.","",""
"372307527888666624","okthen#8167","09-Jan-20 10:28 AM","actually it was a windows security message saying chrome asked for log-in to github, and then that the device was unavailable","",""
"423176312354635779","gcharang#6833","09-Jan-20 10:31 AM","> asked me to allow the connection to the device
yes, this is expected","",""
"664306121644834826","ggg32#6369","09-Jan-20 10:33 PM","so how to we access or use atomicdex, is it a app or a website I am a little confused. Thank you in advance","",""
"406179072922746882","polycryptoblog#1173","09-Jan-20 10:50 PM","@ggg32  available via google play and iOS TestFlight","",""
"406179072922746882","polycryptoblog#1173","09-Jan-20 10:50 PM","Atomicdex.io","",""
"664306121644834826","ggg32#6369","09-Jan-20 11:14 PM","so I finally was able to figure it out","",""
"664306121644834826","ggg32#6369","09-Jan-20 11:14 PM","trying to trade my verus into bat now. I entered max verus to trade and now its asking me amount of bat? how am I suppose to know that @polycryptoblog","",""
"412364440265293834","GGG#3686","09-Jan-20 11:48 PM","wallet is on for 15minutes transfering vrsc into litecoin should i continue to wait","",""
"412364440265293834","GGG#3686","09-Jan-20 11:50 PM","@artemciy_dice","",""
"209024368968204288","artemciy_dice#0049","09-Jan-20 11:54 PM","yep, if the swap is ongoing then you'd usually wait till it succeeds or fails","",""
"412364440265293834","GGG#3686","09-Jan-20 11:54 PM","thank you","",""
