AuthorID;Author;Date;Content;Attachments;Reactions;
"352577127494713345";"phm87#7395";"02-Jul-19 05:08 PM";"When doom ? I'd like to buy some cheap kmd";"";"";
"403585751171989507";"LocoMB#8593";"02-Jul-19 05:08 PM";"collected Questions?";"";"";
"430772336472621056";"D3b0#9761";"02-Jul-19 05:08 PM";"never";"";"";
"412323938782150658";"SHossain#0007";"02-Jul-19 05:08 PM";"Moon on Tuesday at 7:77pm";"";"Komodo (4)";
"352577127494713345";"phm87#7395";"02-Jul-19 05:08 PM";"Thank you";"";"";
"371114647052615681";"Mylo#8306";"02-Jul-19 05:08 PM";"Pinned a message.";"";"";
"374108092419407877";"susmech#0540";"02-Jul-19 05:08 PM";"Are there established companies showing interest in Komodo platform? If so, which ones and in which sectors";"";"😃 (2),👌 (1),⬆ (1)";
"131987896084332544";"n64#7103";"02-Jul-19 05:09 PM";"wen mewn?";"";"";
"405500395578720257";"RNI#2666";"02-Jul-19 05:09 PM";"so on july 15th (with antara) the full rebrand will be completed?";"";"";
"374108092419407877";"susmech#0540";"02-Jul-19 05:10 PM";"How is the future of Komodo looking like in terms of growth, business plan and strategy?";"";"";
"131987896084332544";"n64#7103";"02-Jul-19 05:10 PM";"I am the dev for gamecredits, and I’m interested in offering GAME holders an option to migrate to an antara smart chain. Where can I get more information on ANTARA so I can evaluate the effort needed to migrate?";"";"";
"352577127494713345";"phm87#7395";"02-Jul-19 05:10 PM";"I found no roadmap. Is there one roadmap ?";"";"";
"352577127494713345";"phm87#7395";"02-Jul-19 05:11 PM";"(I am also interested in past roadmap: nxt, basilik, ...)";"";"";
"374108092419407877";"susmech#0540";"02-Jul-19 05:11 PM";"What are the weakness of Komodo platform and what are the komodo as an organization?";"";"";
"403137719049519106";"Audo#5667";"02-Jul-19 05:11 PM";"@susmech  We will revel our plans on the rebrand";"";"👍 (4)";
"371114647052615681";"Mylo#8306";"02-Jul-19 05:11 PM";"Yes there are a few strategic opportunities with established companies.   Cannot name names, this is is how the business side of things works unfortunately.";"";"👍 (5)";
"415903995547090956";"Daniel CP#2020";"02-Jul-19 05:12 PM";"@susmech  Komodo has come a long way in terms of strategy and business development. As others have noted, we can't disclose much right now because of NDAs but things are moving in the right direction for sure";"";"👍 (4)";
"235143047053180949";"Steve Lee#1967";"02-Jul-19 05:13 PM";"@n64 Please DM me and we can coordinate a call to discuss.";"";"";
"374108092419407877";"susmech#0540";"02-Jul-19 05:13 PM";"I can understand about NDA.";"";"";
